tDate,iso_code,continent,country,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2022-02-23,AUS,Oceania,Australia,3124101,24852,22397.857,5062,37,37.857,119343.396,949.368,855.618,193.373,1.413,1.446,1,157,5.998,2186,83.507,,,,,63125647,100703,2435.301,3.885,82077,3.166,0.2729,3.7,tests performed,53621446,22015487,20450588,11155371,123985,118599,204.84,84.1,78.12,42.61,4531,10274,0.039,33.53,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,26177410,,,,
2022-02-23,AUT,Europe,Austria,2530015,23772,27608.857,17756,29,26.571,283011.565,2659.174,3088.371,1986.215,3.244,2.972,0.96,190,21.254,2376,265.783,,,,,156468799,564949,17537.252,63.32,520806,58.373,0.053,18.9,tests performed,18137177,6853231,,4734082,6792,7006,202.89,76.66,,52.96,784,675,0.008,47.56,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,
2022-02-23,BEL,Europe,Belgium,3529041,8473,8003.714,30076,36,34.857,302768.043,726.927,686.665,2580.319,3.089,2.991,0.72,289,24.794,2720,233.358,,,1303,111.789,31567951,43075,2718.699,3.71,39049,3.363,0.216,4.6,tests performed,24967867,9226395,9077527,7093824,57755,28578,214.21,79.16,77.88,60.86,2452,1519,0.013,32.7,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,
2022-02-23,CAN,North America,Canada,3274692,9812,5913.429,36255,96,60.857,85157.957,255.16,153.778,942.807,2.496,1.583,0.83,651,16.929,5953,154.807,,,,,57981634,60839,1519.633,1.595,50635,1.327,0.1168,8.6,tests performed,80684862,32504553,30834207,17346102,66997,74752,209.82,84.53,80.18,45.11,1944,5214,0.014,54.14,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,38454328,,,,
2022-02-23,CHL,South America,Chile,2921131,25200,30182.429,41571,45,119.429,149008.893,1285.469,1539.626,2120.565,2.295,6.092,0.89,1043,53.204,,,498,25.403,3098,158.031,32271718,88686,1655.539,4.55,100102,5.135,0.3015,3.3,tests performed,48395949,17767583,17195060,14007615,112337,84481,246.87,90.63,87.71,71.45,4309,6153,0.031,29.35,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736,,,,
2022-02-23,CHN,Asia,China,123150,239,189.714,4636,0,0,86.367,0.168,0.133,3.251,0,0,2.04,,,,,,,,,,,,,14769984,10.358,0,77853.9,tests performed,3101760000,,,,5993000,5481286,217.53,,,,3844,160048,0.011,64.35,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360,,,,
2022-02-23,COL,South America,Colombia,6054307,2181,3311,138364,79,111.143,116711.719,42.044,63.828,2667.308,1.523,2.143,0.49,,,,,,,,,32988984,34159,640.357,0.663,31506,0.612,0.122,8.2,tests performed,76733198,41253498,33371543,8229013,175678,171324,147.92,79.53,64.33,15.86,3303,30533,0.059,47.15,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
2022-02-23,CRI,North America,Costa Rica,797030,3195,3101.714,7969,15,17.429,153841.967,616.696,598.69,1538.169,2.895,3.364,0.8,,,,,,,,,2867093,11696,556.29,2.269,9952,1.931,0.278,3.6,people tested,,,,,,56793,,,,,10962,5133,0.099,40.38,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836,,,,
2022-02-23,CZE,Europe,Czechia,3538222,14353,12414.857,38403,68,58.857,337166.511,1367.735,1183.044,3659.523,6.48,5.609,0.7,375,35.735,3489,332.476,242,23.061,3263,310.94,52646482,49163,5008.823,4.677,57119,5.434,0.202,5,tests performed,17366261,6943958,6842487,3989082,7841,7924,165.49,66.17,65.2,38.01,755,369,0.004,36.15,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
2022-02-23,DNK,Europe,Denmark,2666454,29040,31950.714,4422,47,37,453304.419,4936.879,5431.708,751.752,7.99,6.29,0.77,36,6.12,1721,292.575,,,2803,476.518,62430586,84291,10664.166,14.398,96312,16.452,0.3317,3,tests performed,13049631,4796688,4752870,3547119,2343,2062,221.85,81.54,80.8,60.3,351,96,0.002,14.42,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
