tDate,iso_code,continent,country,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2021-01-02,AUS,Oceania,Australia,28484,24,25.143,909,0,0.143,1088.114,0.917,0.96,34.725,0,0.005,1.02,0,0,26,0.993,,,,,11377594,60612,438.932,2.338,45156,1.742,0.0006,1796,tests performed,,,,,,,,,,,,,,70.83,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,26177410,,,,
2021-01-02,AUT,Europe,Austria,360777,2003,1994.429,7637,73,78.714,40357.098,224.059,223.1,854.287,8.166,8.805,0.97,385,43.067,2243,250.906,,,,,,,,,4690,0.526,,,tests performed,5324,5324,,,31,758,0.06,0.06,,,85,758,0.008,82.41,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,
2021-01-02,BEL,Europe,Belgium,649169,880,1591.286,19644,63,69.429,55694.345,75.498,136.522,1685.323,5.405,5.957,0.94,481,41.267,2122,182.053,,,1080,92.657,6997505,18676,602.64,1.608,25433,2.19,0.072,13.9,tests performed,1005,1003,34,,26,133,0.01,0.01,0,,11,133,0.001,60.19,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,
2021-01-02,CAN,North America,Canada,602396,5814,6867.857,15922,103,119.857,15665.233,151.192,178.598,414.05,2.679,3.117,1.07,793,20.622,4388,114.109,,,,,18229970,132347,477.787,3.469,99556,2.609,0.069,14.5,tests performed,110118,110115,3,,4657,8754,0.29,0.29,0,,228,8754,0.023,72.69,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,38454328,,,,
2021-01-02,CHL,South America,Chile,615902,3338,2501.143,16724,64,45.714,31417.583,170.274,127.585,853.103,3.265,2.332,1.2,791,40.349,,,352,17.956,1381,70.446,6540220,46178,335.513,2.369,34086,1.749,0.0734,13.6,tests performed,,,,,,88,,,,,4,88,0,79.17,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736,,,,
2021-01-02,CHN,Asia,China,93762,47,35.143,4634,0,0,65.757,0.033,0.025,3.25,0,0,0.99,,,,,,,,,,,,,14769984,10.358,0,420282.4,tests performed,,,,,,276786,,,,,194,,,78.24,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360,,,,
2021-01-02,COL,South America,Colombia,1666408,11528,11643.571,43765,270,260.286,32124.13,222.231,224.459,843.678,5.205,5.018,1.08,,,,,,,,,8174365,30806,158.675,0.598,52640,1.022,0.266,3.8,tests performed,,,,,,,,,,,,,,60.19,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
2021-01-02,CRI,North America,Costa Rica,169321,0,904.429,2185,0,14.143,32682.177,0,174.572,421.747,0,2.73,1.09,,,,,,,,,432850,1837,83.984,0.356,2383,0.462,0.323,3.1,people tested,,,,,,240,,,,,46,240,0.005,66.67,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836,,,,
2021-01-02,CZE,Europe,Czechia,735469,3447,9700,11827,116,125.286,70084.782,328.474,924.339,1127.026,11.054,11.939,1.2,960,91.481,5970,568.897,547,52.125,5588,532.495,4265663,29098,405.838,2.768,45728,4.351,0.22,4.5,tests performed,13446,13444,2,,1289,2026,0.13,0.13,0,,193,2026,0.019,73.15,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
2021-01-02,DNK,Europe,Denmark,167541,1611,2339.143,1345,23,27.429,28482.425,273.874,397.661,228.654,3.91,4.663,0.84,136,23.12,944,160.483,,,1023,173.913,10645683,73453,1818.457,12.547,78374,13.388,0.0298,33.5,tests performed,39404,39403,1,,7245,5625,0.67,0.67,0,,956,5625,0.096,51.85,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
2021-01-02,EST,Europe,Estonia,28789,383,537.429,241,7,5.286,21710.114,288.825,405.281,181.741,5.279,3.986,1.02,,,432,325.776,,,,,646472,3518,486.544,2.648,4206,3.165,0.1278,7.8,tests performed,2505,2505,75,,,386,0.19,0.19,0.01,,291,386,0.029,55.56,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064,,,,
2021-01-02,FIN,Europe,Finland,36804,128,250.571,601,3,3.429,6642.428,23.102,45.223,108.469,0.541,0.619,0.92,,,,,,,,,2519027,7017,455.027,1.268,10684,1.93,0.025,40,tests performed,,,,,,,,,,,,,,52.31,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745,,,,
2021-01-02,FRA,Europe,France,2683500,3466,13204.286,64933,156,335.429,39572.058,51.111,194.716,957.53,2.3,4.946,1.09,2632,38.813,24458,360.668,1173,17.298,7477,110.259,36144513,229945,536.094,3.411,258808,3.839,0.052,19.2,people tested,4117,4110,7,,368,584,0.01,0.01,0,,9,583,0.001,63.89,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000,,,,
2021-01-02,DEU,Europe,Germany,1755351,12690,18321.143,33960,336,648.286,21054.988,152.213,219.757,407.342,4.03,7.776,0.9,5724,68.658,,,,,11196,134.293,,,,,125811,1.508,,,tests performed,279964,279964,,,47804,42590,0.34,0.34,,,511,42590,0.051,82.41,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,
2021-01-02,GRC,Europe,Greece,139709,262,656.429,4921,40,52.571,13452.997,25.229,63.209,473.858,3.852,5.062,0.86,,,,,,,,,3415925,4798,327.028,0.459,20827,1.994,0.0315,31.7,samples tested,3149,3149,,,546,540,0.03,0.03,,,52,540,0.005,84.26,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,10384972,,,,
2021-01-02,HUN,Europe,Hungary,326688,1410,1618,9781,114,118.571,32775.964,141.463,162.331,981.308,11.437,11.896,0.83,,,5529,554.714,,,,,2255852,10697,232.328,1.102,11235,1.157,0.144,6.9,tests performed,,,,,,6202,,,,,622,,,72.22,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304,,,,
2021-01-02,ISL,Europe,Iceland,5754,0,10.143,29,0,0.143,15430.286,0,27.2,77.768,0,0.383,1.14,,,,,,,,,242531,1035,654.896,2.795,740,1.998,,,tests performed,,,,,,63,,,,,169,40,0.011,52.78,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903,,,,
