tDate,iso_code,continent,country,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2022-10-27,AUS,Oceania,Australia,10364635,16347,3368.143,15636,47,15.143,395938.139,624.47,128.666,597.309,1.795,0.578,,48,1.834,1348,51.495,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,26177410,,,,
2022-10-27,AUT,Europe,Austria,5421306,4440,5938.857,20946,3,8,606436.048,496.666,664.33,2343.053,0.336,0.895,,99,11.074,2096,234.462,,,,,,,,,,,,,,19772922,6891437,,6252304,13716,12096,221.18,77.09,,69.94,1353,92,0.001,35.19,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,
2022-10-27,BEL,Europe,Belgium,4612239,4943,1400.143,32902,19,8,395699.165,424.076,120.123,2822.771,1.63,0.686,,65,5.577,1218,104.496,,,582,49.932,,,,,,,,,,29243788,9261113,9163471,11249608,46316,41862,250.89,79.45,78.62,96.51,3591,89,0.001,,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,
2022-10-27,CAN,North America,Canada,4362298,8692,2943.714,46563,157,56.143,113441.015,226.034,76.551,1210.865,4.083,1.46,,249,6.475,6375,165.781,,,,,,,,,,,,,,92492874,33766246,31635193,27091435,252678,104658,240.53,87.81,82.27,70.45,2722,20093,0.052,5.56,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,38454328,,,,
2022-10-27,CHL,South America,Chile,4737212,8274,5760.571,61607,23,16,241648.429,422.062,293.851,3142.615,1.173,0.816,,98,4.999,,,63,3.214,529,26.985,,,,,,,,,,62495325,18075312,17686956,27307761,4790,3678,318.79,92.2,90.22,139.3,188,158,0.001,16.81,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736,,,,
2022-10-27,CHN,Asia,China,1024984,1241,1127.857,5226,0,0,718.839,0.87,0.791,3.665,0,0,,,,,,,,,,,,,,,,,,,3439408000,,,,109000,101571,241.21,,,,71,18259,0.001,66.2,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360,,,,
2022-10-27,COL,South America,Colombia,6309716,548,78.286,141837,10,1.429,121635.359,10.564,1.509,2734.258,0.193,0.028,,,,,,,,,,,,,,,,,,,,,,,,13039,,,,,251,1705,0.003,,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
2022-10-27,CRI,North America,Costa Rica,1133096,0,361.143,8990,0,1.143,218709.104,0,69.707,1735.241,0,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836,,,,
2022-10-27,CZE,Europe,Czechia,4156497,,,41567,18,16.143,396083.568,,,3961.029,1.715,1.538,,78,7.433,923,87.955,56,5.336,995,94.816,,,,,,,,,,18359227,6975386,6890577,4904520,14726,10478,174.95,66.47,65.66,46.74,998,45,0,11.11,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
2022-10-27,DNK,Europe,Denmark,3331865,940,984.143,7312,7,11.143,566426.096,159.803,167.307,1243.06,1.19,1.894,,14,2.38,484,82.281,,,550,93.501,,,,,,,,,,13186843,4805925,4770499,3656730,649,457,224.18,81.7,81.1,62.17,78,17,0,,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
2022-10-27,EST,Europe,Estonia,606633,0,144.429,2739,0,1.429,457468.87,0,108.915,2065.511,0,1.077,,,,216,162.888,,,,,,,,,,,,,,2073764,867683,847134,563456,1245,747,156.38,65.43,63.88,42.49,563,22,0.002,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064,,,,
2022-10-27,FIN,Europe,Finland,1348737,13419,1917,6568,161,23,243421.598,2421.876,345.982,1185.4,29.057,4.151,,16,2.888,997,179.94,,,,,,,,,,,,,,,,,,,1998,,,,,361,11,0,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745,,,,
2022-10-27,FRA,Europe,France,36806979,37089,38456,156840,71,73.571,542771.725,546.931,567.089,2312.831,1.047,1.085,,1057,15.587,19959,294.324,582,8.582,6693,98.698,,,,,,,,,,150856133,54593111,53091511,44253068,45462,35634,222.46,80.51,78.29,65.26,525,470,0.001,,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000,,,,
2022-10-27,DEU,Europe,Germany,35523412,61492,60764.286,153377,184,157,426094.281,737.581,728.852,1839.718,2.207,1.883,,1685,20.211,,,1451,17.404,12713,152.489,,,,,,,,,,187743834,64801694,63488399,61747850,131310,80065,225.19,77.73,76.15,74.06,960,728,0.001,23.15,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,
2022-10-27,GRC,Europe,Greece,5135200,0,7602.714,33574,0,21.143,494483.76,0,732.088,3232.941,0,2.036,,,,,,,,,,,,,,,,,,,21651759,7929966,7640228,6659591,14622,9442,208.49,76.36,73.57,64.13,909,62,0.001,,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,10384972,,,,
2022-10-27,HUN,Europe,Hungary,2141513,0,1289,47938,0,20,214853.786,0,129.323,4809.525,0,2.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,5.56,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304,,,,
2022-10-27,ISL,Europe,Iceland,206356,0,31.714,213,0,0,553377.152,0,85.047,571.194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903,,,,
2022-10-27,IRL,Europe,Ireland,1672319,0,277.429,8043,0,4.714,332925.153,0,55.23,1601.2,0,0.939,,,,440,87.595,,,,,,,,,,,,,,11064079,4100774,4054124,3150228,530,553,220.26,81.64,80.71,62.71,110,73,0.001,11.11,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,5023108,,,,
2022-10-27,ISR,Asia,Israel,4681217,832,829,11759,1,4.429,495419.304,88.052,87.734,1244.47,0.106,0.469,,31,3.281,375,39.687,10,1.058,225,23.812,,,,,,,,,,18251773,6719595,6155787,5376391,1584,952,193.16,71.11,65.15,56.9,101,39,0,14.81,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000,,,,
