tDate,iso_code,continent,country,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2021-07-15,AUS,Oceania,Australia,31626,113,96.429,912,0,0.286,1208.141,4.317,3.684,34.839,0,0.011,1.57,21,0.802,128,4.89,,,,,22388993,113068,863.737,4.362,107980,4.166,0.0009,1119.8,tests performed,9780543,7110598,2669945,,171692,136238,37.36,27.16,10.2,,5204,66324,0.253,68.06,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,26177410,,,,
2021-07-15,AUT,Europe,Austria,648086,273,197.286,13106,3,1.714,72495.947,30.538,22.069,1466.058,0.336,0.192,1.49,35,3.915,112,12.529,,,,,60777719,729443,6812.056,81.757,396273,44.415,0.0005,2008.6,tests performed,9063531,5200461,4028578,2242,65592,62514,101.39,58.17,45.06,0.03,6993,16808,0.188,48.97,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,
2021-07-15,BEL,Europe,Belgium,1102069,1453,1370.286,25208,1,1.714,94550.127,124.658,117.561,2162.677,0.086,0.147,1.3,86,7.378,253,21.706,,,142,12.183,16337035,87006,1406.98,7.493,66097,5.692,0.021,47.6,tests performed,12879880,7789436,5398595,,136434,122911,110.5,66.83,46.32,,10545,26003,0.223,50.93,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,
2021-07-15,CAN,North America,Canada,1426159,447,391.429,26473,14,9.571,37087.087,11.624,10.179,688.427,0.364,0.249,0.91,224,5.825,626,16.279,,,,,37679387,65627,987.534,1.72,66340,1.739,0.0059,169.5,tests performed,44565898,26519006,18043538,3354,438975,426563,115.89,68.96,46.92,0.01,11093,42089,0.109,69.91,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,38454328,,,,
2021-07-15,CHL,South America,Chile,1594496,2366,2129.286,34207,158,99,81336.333,120.691,108.616,1744.922,8.06,5.05,0.7,2184,111.407,,,567,28.923,1690,86.208,17584758,68698,902.098,3.524,55964,2.871,0.038,26.3,tests performed,24953053,13523001,11923228,,167434,126145,127.29,68.98,60.82,,6435,49920,0.255,72.81,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736,,,,
2021-07-15,CHN,Asia,China,102226,43,40.857,4636,0,0,71.693,0.03,0.029,3.251,0,0,1.08,,,,,,,,,,,,,14769984,10.358,0,361504.4,tests performed,1426347000,,,,11738000,10303000,100.03,,,,7226,5850649,0.41,81.94,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360,,,,
2021-07-15,COL,South America,Colombia,4583442,18070,19050.857,114833,496,525.429,88357.164,348.344,367.252,2213.69,9.562,10.129,0.8,,,,,,,,,21293590,95922,413.335,1.862,90382,1.754,0.249,4,tests performed,22942717,14563313,9876044,,318149,372650,44.23,28.07,19.04,,7184,274041,0.528,53.7,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
2021-07-15,CRI,North America,Costa Rica,388298,1576,1337.143,4857,15,13.857,74948.908,304.198,258.094,937.493,2.895,2.675,1.07,,,,,,,,,1356730,9273,263.24,1.799,7888,1.53,0.135,7.4,people tested,,,,,,17399,,,,,3358,16514,0.319,54.63,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836,,,,
2021-07-15,CZE,Europe,Czechia,1670348,275,247,30335,0,0.571,159171.869,26.205,23.537,2890.702,0,0.054,1.1,10,0.953,32,3.049,8,0.762,36,3.431,31887476,120170,3033.796,11.433,100171,9.53,0.002,500,tests performed,9416520,5386125,4137334,5,92921,77693,89.73,51.33,39.43,0,7404,22119,0.211,35.19,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
2021-07-15,DNK,Europe,Denmark,303469,1141,846.571,2540,1,0.286,51590.554,193.973,143.919,431.807,0.17,0.049,1.31,11,1.87,51,8.67,,,93,15.81,36775564,109679,6281.868,18.735,88793,15.167,0.0095,104.9,tests performed,6220765,3777595,2489194,297,86269,77112,105.75,64.22,42.32,0.01,13109,37323,0.635,43.3,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
