tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2021-09-29,Australia,,9,9,9,9,9,9,9,9
2021-09-29,Austria,,9,9,9,9,9,9,0,9
2021-09-29,Belgium,,1,2,1,4,0,0,0,3
2021-09-29,Canada,,9,9,9,9,9,9,9,9
2021-09-29,Canada,Alberta,9,9,9,9,9,9,9,9
2021-09-29,Canada,British Columbia,9,9,9,9,9,9,9,9
2021-09-29,Canada,Manitoba,9,9,9,9,9,9,9,9
2021-09-29,Canada,New Brunswick,9,9,9,9,9,9,9,9
2021-09-29,Canada,Newfoundland and Labrador,9,9,9,9,9,9,9,9
2021-09-29,Canada,Northwest Territories,9,9,9,9,9,9,9,9
2021-09-29,Canada,Nova Scotia,9,9,9,9,9,9,9,9
2021-09-29,Canada,Nunavut,9,9,9,9,9,9,9,9
2021-09-29,Canada,Ontario,9,9,9,9,9,9,9,9
2021-09-29,Canada,Prince Edward Island,9,9,9,9,9,9,9,9
2021-09-29,Canada,Quebec,9,9,9,9,9,9,9,9
2021-09-29,Canada,Saskatchewan,9,9,9,9,9,9,9,9
2021-09-29,Canada,Yukon,9,9,9,9,9,9,9,9
2021-09-29,Chile,,2,3,2,3,1,2,2,2
2021-09-29,China,,9,9,9,9,9,9,9,9
2021-09-29,China,Anhui,9,9,9,9,9,9,9,9
2021-09-29,China,Beijing,9,9,9,9,9,9,9,9
2021-09-29,China,Chongqing,9,9,9,9,9,9,9,9
2021-09-29,China,Fujian,9,9,9,9,9,9,9,9
2021-09-29,China,Gansu,9,9,9,9,9,9,9,9
2021-09-29,China,Guangdong,9,9,9,9,9,9,9,9
2021-09-29,China,Guangxi,9,9,9,9,9,9,9,9
2021-09-29,China,Guizhou,9,9,9,9,9,9,9,9
2021-09-29,China,Hainan,9,9,9,9,9,9,9,9
2021-09-29,China,Hebei,1,1,1,3,1,0,1,3
