Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-08-04,Australia,,3,3,2,4,1,2,2,4
2020-08-04,Austria,,1,1,1,2,0,0,0,3
2020-08-04,Belgium,,1,2,2,4,0,2,1,3
2020-08-04,Canada,,3,2,2,4,0,1,2,4
2020-08-04,Canada,Alberta,1,2,1,2,1,0,1,4
2020-08-04,Canada,British Columbia,3,1,2,3,0,0,2,4
2020-08-04,Canada,Manitoba,2,1,2,3,0,1,1,4
2020-08-04,Canada,New Brunswick,2,1,2,3,1,0,2,4
2020-08-04,Canada,Newfoundland and Labrador,2,1,2,3,0,1,2,4
2020-08-04,Canada,Northwest Territories,2,2,2,3,0,0,2,4
2020-08-04,Canada,Nova Scotia,3,0,1,3,0,0,2,4
2020-08-04,Canada,Nunavut,2,2,1,3,0,1,2,4
2020-08-04,Canada,Ontario,3,2,1,4,1,0,0,4
2020-08-04,Canada,Prince Edward Island,2,1,1,3,0,1,2,4
2020-08-04,Canada,Quebec,3,2,2,3,0,0,0,4
2020-08-04,Canada,Saskatchewan,3,2,1,3,0,1,0,9
2020-08-04,Canada,Yukon,3,1,1,3,1,0,2,9
2020-08-04,Chile,,3,3,2,4,2,3,2,4
2020-08-04,China,,2,3,2,4,2,3,2,3
2020-08-04,China,Anhui,1,1,1,2,1,0,1,4
2020-08-04,China,Beijing,2,1,1,0,1,2,1,4
2020-08-04,China,Chongqing,1,1,1,3,1,1,1,4
2020-08-04,China,Fujian,1,1,1,3,1,1,1,4
2020-08-04,China,Gansu,1,1,1,0,1,1,1,4
2020-08-04,China,Guangdong,1,1,1,3,1,1,1,4
2020-08-04,China,Guangxi,1,1,1,0,1,0,1,4
2020-08-04,China,Guizhou,1,1,1,0,0,0,1,4
2020-08-04,China,Hainan,1,0,0,0,1,0,1,4
2020-08-04,China,Hebei,2,1,1,1,1,0,0,9
2020-08-04,China,Heilongjiang,2,2,1,3,1,1,1,4
2020-08-04,China,Henan,1,1,2,3,1,1,1,4
2020-08-04,China,Hubei,1,1,1,3,1,1,1,4
2020-08-04,China,Hunan,1,1,1,0,0,0,1,4
2020-08-04,China,Inner Mongolia,1,1,1,0,1,1,1,4
2020-08-04,China,Jiangsu,1,1,1,1,1,1,1,4
2020-08-04,China,Jiangxi,1,2,1,1,0,1,1,4
2020-08-04,China,Jilin,2,1,1,2,1,1,1,4
2020-08-04,China,Liaoning,1,2,1,0,1,0,2,4
2020-08-04,China,Ningxia,1,0,2,3,1,1,1,4
2020-08-04,China,Qinghai,1,1,1,1,1,1,1,4
2020-08-04,China,Shaanxi,1,1,2,3,1,1,1,4
2020-08-04,China,Shandong,1,0,2,2,0,0,0,4
2020-08-04,China,Shanghai,2,1,1,3,1,1,1,4
2020-08-04,China,Shanxi,1,1,1,1,1,1,1,4
2020-08-04,China,Sichuan,1,1,1,0,1,1,1,4
2020-08-04,China,Tianjin,1,1,2,0,1,1,2,4
2020-08-04,China,Tibet,1,1,2,3,0,1,1,4
2020-08-04,China,Xinjiang,1,3,2,4,2,3,2,4
2020-08-04,China,Yunnan,1,1,1,1,1,1,1,4
2020-08-04,China,Zhejiang,1,1,1,1,1,1,1,4
2020-08-04,Colombia,,3,3,2,4,1,2,2,4
2020-08-04,Costa Rica,,3,1,2,3,0,1,2,1
2020-08-04,Czechia,,1,1,1,1,0,0,1,3
2020-08-04,Denmark,,1,2,1,2,1,1,0,3
2020-08-04,Estonia,,1,1,1,1,0,0,0,2
2020-08-04,Finland,,1,1,1,1,0,0,0,3
2020-08-04,France,,1,1,1,4,0,0,1,3
2020-08-04,Germany,,1,2,2,4,0,0,2,3
2020-08-04,Greece,,1,1,0,3,1,1,1,3
2020-08-04,Hungary,,2,1,1,2,1,1,1,3
2020-08-04,Iceland,,1,1,2,3,0,0,0,3
2020-08-04,Ireland,,2,1,0,2,1,0,0,2
2020-08-04,Israel,,1,1,2,3,1,0,0,4
2020-08-04,Italy,,3,1,2,2,0,0,0,3
2020-08-04,Japan,,1,1,1,0,0,1,1,3
2020-08-04,Latvia,,3,2,1,1,0,1,0,2
2020-08-04,Lithuania,,1,0,0,3,1,0,0,2
2020-08-04,Luxembourg,,1,1,0,4,0,1,0,0
2020-08-04,Mexico,,3,2,2,3,1,2,2,3
2020-08-04,Netherlands,,1,2,0,2,0,1,0,3
2020-08-04,New Zealand,,0,0,0,0,0,0,0,4
2020-08-04,Norway,,1,1,0,3,0,0,1,3
2020-08-04,Poland,,2,2,0,2,0,0,0,3
2020-08-04,Portugal,,2,2,2,4,1,0,0,3
2020-08-04,Slovakia,,2,1,0,2,0,0,1,2
2020-08-04,Slovenia,,1,2,2,3,0,0,0,3
2020-08-04,South Korea,,2,2,2,4,0,1,1,3
2020-08-04,Spain,,2,2,2,4,0,2,2,3
2020-08-04,Sweden,,2,1,2,3,1,1,0,3
2020-08-04,Switzerland,,0,2,2,3,0,0,0,3
2020-08-04,Taiwan,,1,0,0,0,0,0,0,3
2020-08-04,Turkey,,3,1,1,0,0,2,1,1
2020-08-04,United Kingdom,,3,2,2,4,1,1,2,2
2020-08-04,United Kingdom,England,2,2,2,4,1,0,2,2
2020-08-04,United Kingdom,Northern Ireland,3,2,2,4,1,0,0,2
2020-08-04,United Kingdom,Scotland,2,2,2,4,1,1,1,2
2020-08-04,United Kingdom,Wales,2,2,2,4,1,1,0,2
2020-08-04,United States,,3,2,2,4,1,1,2,3
2020-08-04,United States,Alabama,3,1,1,0,1,1,1,3
2020-08-04,United States,Alaska,3,2,1,3,0,1,2,3
2020-08-04,United States,Arizona,3,2,2,3,1,1,1,3
2020-08-04,United States,Arkansas,3,2,1,3,1,1,1,3
2020-08-04,United States,California,3,2,2,4,0,1,1,3
2020-08-04,United States,Colorado,2,2,1,4,1,1,1,3
2020-08-04,United States,Connecticut,3,2,1,3,1,1,2,3
2020-08-04,United States,Delaware,3,2,2,2,1,1,1,3
2020-08-04,United States,Florida,2,2,2,4,1,2,2,3
2020-08-04,United States,Georgia,3,1,2,3,1,2,1,3
2020-08-04,United States,Hawaii,3,2,2,4,1,2,2,3
2020-08-04,United States,Idaho,3,2,1,3,0,1,2,3
2020-08-04,United States,Illinois,3,1,1,3,0,1,2,3
2020-08-04,United States,Indiana,3,1,1,2,0,1,1,3
2020-08-04,United States,Iowa,3,1,1,0,1,1,1,3
2020-08-04,United States,Kansas,3,1,1,3,1,1,1,3
2020-08-04,United States,Kentucky,3,2,1,4,2,1,1,3
2020-08-04,United States,Louisiana,3,2,2,3,1,1,1,3
2020-08-04,United States,Maine,3,2,2,3,2,1,2,3
2020-08-04,United States,Maryland,3,1,2,3,0,1,1,3
2020-08-04,United States,Massachusetts,3,2,1,3,1,1,1,3
2020-08-04,United States,Michigan,3,2,2,4,1,1,1,3
2020-08-04,United States,Minnesota,3,1,2,3,0,1,1,3
2020-08-04,United States,Mississippi,3,2,1,4,0,1,1,3
2020-08-04,United States,Missouri,3,1,2,3,0,1,1,3
2020-08-04,United States,Montana,3,1,1,3,1,2,1,3
2020-08-04,United States,Nebraska,3,1,2,1,1,1,1,3
2020-08-04,United States,Nevada,2,2,2,3,0,1,1,3
2020-08-04,United States,New Hampshire,3,1,1,0,1,1,1,3
2020-08-04,United States,New Jersey,3,2,1,4,0,1,1,3
2020-08-04,United States,New Mexico,3,2,2,4,2,1,2,3
2020-08-04,United States,New York,3,2,1,3,1,1,2,3
2020-08-04,United States,North Carolina,3,2,1,3,1,1,1,3
2020-08-04,United States,North Dakota,3,1,1,0,0,1,1,3
2020-08-04,United States,Ohio,3,2,2,4,0,1,1,3
2020-08-04,United States,Oklahoma,3,1,1,2,0,1,1,3
2020-08-04,United States,Oregon,3,3,2,4,0,2,1,3
2020-08-04,United States,Pennsylvania,3,2,2,3,1,1,1,3
2020-08-04,United States,Rhode Island,3,1,1,3,0,1,2,3
2020-08-04,United States,South Carolina,3,1,1,4,0,1,1,3
2020-08-04,United States,South Dakota,3,1,1,0,0,1,1,3
2020-08-04,United States,Tennessee,3,2,2,3,1,1,1,3
2020-08-04,United States,Texas,3,2,2,4,0,1,1,3
2020-08-04,United States,Utah,3,2,2,3,0,1,1,3
2020-08-04,United States,Vermont,3,1,2,3,0,1,2,3
2020-08-04,United States,Virginia,3,1,1,3,0,1,2,3
2020-08-04,United States,Washington,3,2,2,4,1,1,1,3
2020-08-04,United States,Washington DC,3,2,2,3,1,1,2,3
