tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-05-02,Australia,,2,2,2,4,0,2,2,4
2020-05-02,Austria,,2,2,2,3,1,0,1,3
2020-05-02,Belgium,,2,3,2,4,0,2,2,4
2020-05-02,Canada,,3,3,2,4,0,1,2,4
2020-05-02,Canada,Alberta,3,2,2,3,1,1,1,4
2020-05-02,Canada,British Columbia,3,3,2,3,0,1,2,4
2020-05-02,Canada,Manitoba,2,3,2,3,0,1,2,4
2020-05-02,Canada,New Brunswick,3,2,2,4,1,0,2,4
2020-05-02,Canada,Newfoundland and Labrador,2,3,2,4,1,1,2,4
2020-05-02,Canada,Northwest Territories,2,3,2,4,0,1,2,4
2020-05-02,Canada,Nova Scotia,3,2,2,4,0,1,2,4
2020-05-02,Canada,Nunavut,3,2,2,4,0,1,2,4
2020-05-02,Canada,Ontario,3,3,2,4,1,1,0,4
2020-05-02,Canada,Prince Edward Island,3,2,2,4,0,1,2,4
2020-05-02,Canada,Quebec,3,3,2,4,0,2,2,4
2020-05-02,Canada,Saskatchewan,3,3,2,4,0,1,2,9
2020-05-02,Canada,Yukon,3,2,2,4,1,0,2,9
2020-05-02,Chile,,3,2,2,3,0,2,2,3
2020-05-02,China,,3,2,2,4,0,1,1,3
2020-05-02,China,Anhui,2,1,1,3,1,0,1,4
2020-05-02,China,Beijing,2,2,2,0,1,2,1,4
2020-05-02,China,Chongqing,2,2,1,3,1,1,1,4
2020-05-02,China,Fujian,1,2,2,3,1,1,1,4
2020-05-02,China,Gansu,1,2,1,3,1,1,1,4
2020-05-02,China,Guangdong,2,2,2,4,1,1,1,4
2020-05-02,China,Guangxi,1,2,1,4,1,0,1,4
2020-05-02,China,Guizhou,2,2,2,0,0,0,1,4
2020-05-02,China,Hainan,2,2,1,0,1,0,1,4
2020-05-02,China,Hebei,2,3,2,2,1,2,0,9
2020-05-02,China,Heilongjiang,2,2,2,3,1,3,2,4
2020-05-02,China,Henan,2,2,2,4,1,1,1,4
2020-05-02,China,Hubei,3,2,2,4,1,1,1,4
2020-05-02,China,Hunan,2,2,1,0,0,0,1,4
2020-05-02,China,Inner Mongolia,2,2,1,0,1,1,1,4
2020-05-02,China,Jiangsu,1,1,1,3,1,1,1,4
2020-05-02,China,Jiangxi,2,2,2,1,0,1,1,4
2020-05-02,China,Jilin,2,2,2,2,2,1,1,4
2020-05-02,China,Liaoning,2,2,1,0,1,0,1,4
2020-05-02,China,Ningxia,2,2,2,4,1,1,1,4
2020-05-02,China,Qinghai,1,2,1,1,1,1,1,4
2020-05-02,China,Shaanxi,1,2,2,3,1,1,1,4
2020-05-02,China,Shandong,2,2,2,1,1,3,1,4
2020-05-02,China,Shanghai,2,2,2,3,1,1,1,4
2020-05-02,China,Shanxi,2,2,1,3,1,1,2,4
2020-05-02,China,Sichuan,2,1,1,0,1,1,1,4
2020-05-02,China,Tianjin,2,2,2,0,1,1,2,4
2020-05-02,China,Tibet,1,2,2,3,0,1,1,4
2020-05-02,China,Xinjiang,1,2,1,1,1,0,1,4
2020-05-02,China,Yunnan,2,2,1,2,1,1,1,4
2020-05-02,China,Zhejiang,1,2,1,1,1,1,1,4
2020-05-02,Colombia,,3,3,2,4,1,2,2,4
2020-05-02,Costa Rica,,3,2,2,2,0,1,2,4
2020-05-02,Czechia,,2,2,2,3,0,1,0,2
2020-05-02,Denmark,,2,2,1,4,1,1,1,4
2020-05-02,Estonia,,3,3,2,4,0,2,2,2
2020-05-02,Finland,,2,2,2,4,0,1,1,4
2020-05-02,France,,3,3,2,4,1,2,2,3
2020-05-02,Germany,,3,2,2,4,0,2,2,4
2020-05-02,Greece,,3,2,2,4,1,2,2,3
2020-05-02,Hungary,,3,2,2,1,1,2,2,4
2020-05-02,Iceland,,2,2,2,3,0,0,0,3
2020-05-02,Ireland,,3,3,2,4,2,2,2,2
2020-05-02,Israel,,3,2,2,4,1,2,2,4
2020-05-02,Italy,,3,3,2,4,2,2,2,3
2020-05-02,Japan,,3,1,1,0,0,1,1,3
2020-05-02,Latvia,,3,2,2,3,1,1,0,4
2020-05-02,Lithuania,,3,2,2,4,1,1,1,4
2020-05-02,Luxembourg,,3,3,2,4,1,1,1,0
2020-05-02,Mexico,,3,3,2,3,1,2,2,3
2020-05-02,Netherlands,,3,2,2,4,1,2,1,3
2020-05-02,New Zealand,,2,2,2,4,1,2,2,4
2020-05-02,Norway,,2,2,2,3,1,0,1,4
2020-05-02,Poland,,3,2,2,4,1,1,2,4
2020-05-02,Portugal,,3,3,2,4,1,2,2,3
2020-05-02,Slovakia,,3,2,2,3,1,1,1,4
2020-05-02,Slovenia,,3,2,2,4,2,1,0,3
2020-05-02,South Korea,,3,2,1,0,0,0,0,3
2020-05-02,Spain,,3,3,2,4,1,2,1,4
2020-05-02,Sweden,,2,1,2,3,1,1,1,3
2020-05-02,Switzerland,,3,2,2,4,0,1,1,3
2020-05-02,Taiwan,,1,0,1,0,0,0,0,4
2020-05-02,Turkey,,3,2,2,0,1,2,2,4
2020-05-02,United Kingdom,,3,3,2,4,1,2,2,0
2020-05-02,United Kingdom,England,3,3,2,4,1,2,2,0
2020-05-02,United Kingdom,Northern Ireland,3,3,2,4,1,2,2,0
2020-05-02,United Kingdom,Scotland,3,3,2,4,1,2,2,0
2020-05-02,United Kingdom,Wales,3,3,2,4,1,2,2,0
2020-05-02,United States,,3,3,2,4,1,2,2,3
2020-05-02,United States,Alabama,3,2,2,4,1,2,1,3
