tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-07-26,Australia,,2,2,2,4,1,2,2,4
2020-07-26,Austria,,1,1,1,2,0,0,0,3
2020-07-26,Belgium,,1,2,2,3,0,0,0,3
2020-07-26,Canada,,3,2,2,4,0,1,2,4
2020-07-26,Canada,Alberta,1,2,1,2,1,0,1,4
2020-07-26,Canada,British Columbia,3,1,2,3,0,0,1,4
2020-07-26,Canada,Manitoba,2,1,2,3,0,1,1,4
2020-07-26,Canada,New Brunswick,2,1,2,3,1,0,2,4
2020-07-26,Canada,Newfoundland and Labrador,2,1,2,3,0,1,2,4
2020-07-26,Canada,Northwest Territories,2,2,2,3,0,0,2,4
2020-07-26,Canada,Nova Scotia,3,0,1,3,0,0,2,4
2020-07-26,Canada,Nunavut,2,2,1,3,0,1,2,4
2020-07-26,Canada,Ontario,3,2,1,4,1,0,0,4
2020-07-26,Canada,Prince Edward Island,2,1,1,3,0,1,2,4
2020-07-26,Canada,Quebec,3,2,2,3,0,0,0,4
2020-07-26,Canada,Saskatchewan,3,2,1,3,0,1,0,9
2020-07-26,Canada,Yukon,3,1,2,3,1,0,2,9
2020-07-26,Chile,,3,3,2,4,2,3,2,3
2020-07-26,China,,2,3,2,4,2,3,2,3
2020-07-26,China,Anhui,1,1,1,2,1,0,1,4
2020-07-26,China,Beijing,2,1,1,0,1,2,1,4
2020-07-26,China,Chongqing,1,1,1,3,1,1,1,4
2020-07-26,China,Fujian,1,1,1,3,1,1,1,4
2020-07-26,China,Gansu,1,1,1,0,1,1,1,4
2020-07-26,China,Guangdong,1,1,1,3,1,1,1,4
2020-07-26,China,Guangxi,1,1,1,0,1,0,1,4
2020-07-26,China,Guizhou,1,1,1,0,0,0,1,4
2020-07-26,China,Hainan,1,0,0,0,1,0,1,4
2020-07-26,China,Hebei,2,1,1,1,1,0,0,9
2020-07-26,China,Heilongjiang,2,2,1,3,1,1,1,4
2020-07-26,China,Henan,1,1,2,3,1,1,1,4
2020-07-26,China,Hubei,1,1,1,3,1,1,1,4
2020-07-26,China,Hunan,1,1,1,0,0,0,1,4
2020-07-26,China,Inner Mongolia,1,1,1,0,1,1,1,4
2020-07-26,China,Jiangsu,1,1,1,1,1,1,1,4
2020-07-26,China,Jiangxi,1,2,1,1,0,1,1,4
2020-07-26,China,Jilin,2,1,1,2,1,1,1,4
2020-07-26,China,Liaoning,1,2,1,0,1,0,2,4
2020-07-26,China,Ningxia,1,0,2,3,1,1,1,4
2020-07-26,China,Qinghai,1,1,1,1,1,1,1,4
2020-07-26,China,Shaanxi,1,1,2,3,1,1,1,4
2020-07-26,China,Shandong,1,0,2,2,0,0,0,4
2020-07-26,China,Shanghai,2,1,1,3,1,1,1,4
2020-07-26,China,Shanxi,1,1,1,1,1,1,1,4
2020-07-26,China,Sichuan,1,1,1,0,1,1,1,4
2020-07-26,China,Tianjin,1,1,2,0,1,1,2,4
2020-07-26,China,Tibet,1,1,2,3,0,1,1,4
2020-07-26,China,Xinjiang,1,3,2,4,2,3,2,4
2020-07-26,China,Yunnan,1,1,1,1,1,1,1,4
2020-07-26,China,Zhejiang,1,1,1,1,1,1,1,4
2020-07-26,Colombia,,3,3,2,4,1,2,2,4
2020-07-26,Costa Rica,,3,2,2,3,0,1,2,4
2020-07-26,Czechia,,1,1,1,2,0,0,1,3
2020-07-26,Denmark,,2,2,1,3,1,1,0,3
2020-07-26,Estonia,,1,1,1,2,0,0,0,2
2020-07-26,Finland,,1,1,1,1,0,0,0,3
2020-07-26,France,,1,1,1,4,0,0,1,3
2020-07-26,Germany,,1,2,2,3,0,0,2,3
2020-07-26,Greece,,1,1,2,3,1,1,1,3
2020-07-26,Hungary,,2,1,1,2,1,1,1,3
2020-07-26,Iceland,,1,0,2,2,0,0,0,3
2020-07-26,Ireland,,2,1,0,2,1,0,0,2
2020-07-26,Israel,,1,1,2,3,1,0,0,4
2020-07-26,Italy,,3,2,2,2,0,1,0,3
2020-07-26,Japan,,1,1,1,0,0,1,1,3
2020-07-26,Latvia,,3,2,1,2,0,1,0,2
2020-07-26,Lithuania,,1,0,0,2,1,0,0,2
2020-07-26,Luxembourg,,1,1,0,4,0,1,0,0
2020-07-26,Mexico,,3,2,2,3,1,2,2,3
2020-07-26,Netherlands,,1,2,0,2,0,1,0,3
2020-07-26,New Zealand,,0,0,0,0,0,0,0,4
2020-07-26,Norway,,1,1,0,3,0,0,1,3
2020-07-26,Poland,,2,2,0,2,0,0,0,3
2020-07-26,Portugal,,2,2,2,4,1,1,0,3
2020-07-26,Slovakia,,2,1,0,2,0,0,1,2
2020-07-26,Slovenia,,1,2,2,3,0,0,0,3
2020-07-26,South Korea,,2,2,2,4,0,1,1,3
2020-07-26,Spain,,2,2,2,4,0,2,2,3
2020-07-26,Sweden,,2,1,2,3,1,1,0,3
2020-07-26,Switzerland,,0,1,2,3,0,0,0,3
2020-07-26,Taiwan,,1,0,0,0,0,0,0,3
2020-07-26,Turkey,,3,1,1,0,0,2,1,1
2020-07-26,United Kingdom,,3,2,2,4,1,1,1,2
2020-07-26,United Kingdom,England,2,2,2,4,1,1,1,2
2020-07-26,United Kingdom,Northern Ireland,3,2,2,4,1,1,0,2
2020-07-26,United Kingdom,Scotland,2,2,2,4,1,1,1,2
2020-07-26,United Kingdom,Wales,2,2,2,4,1,1,0,2
2020-07-26,United States,,3,2,2,4,1,1,2,3
2020-07-26,United States,Alabama,3,1,1,0,1,1,1,3
2020-07-26,United States,Alaska,3,1,1,3,0,1,2,3
2020-07-26,United States,Arizona,3,2,2,0,0,1,1,3
