Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2022-06-08,Australia,,9,9,9,9,9,9,9,9
2022-06-08,Australia,Australian Capital Territory,9,9,9,9,9,9,9,9
2022-06-08,Australia,New South Wales,9,9,9,9,9,9,9,9
2022-06-08,Australia,Northern Territory,9,9,9,9,9,9,9,9
2022-06-08,Australia,Queensland,9,9,9,9,9,9,9,9
2022-06-08,Australia,South Australia,9,9,9,9,9,9,9,9
2022-06-08,Australia,Tasmania,9,9,9,9,9,9,9,9
2022-06-08,Australia,Victoria,9,9,9,9,9,9,9,9
2022-06-08,Australia,Western Australia,9,9,9,9,9,9,9,9
2022-06-08,Austria,,9,9,9,9,9,9,9,9
2022-06-08,Belgium,,9,9,9,9,9,9,9,9
2022-06-08,Canada,,9,9,9,9,9,9,9,9
2022-06-08,Canada,Alberta,9,9,9,9,9,9,9,9
2022-06-08,Canada,British Columbia,9,9,9,9,9,9,9,9
2022-06-08,Canada,Manitoba,9,9,9,9,9,9,9,9
2022-06-08,Canada,New Brunswick,9,9,9,9,9,9,9,9
2022-06-08,Canada,Newfoundland and Labrador,9,9,9,9,9,9,9,9
2022-06-08,Canada,Northwest Territories,9,9,9,9,9,9,9,9
2022-06-08,Canada,Nova Scotia,9,9,9,9,9,9,9,9
2022-06-08,Canada,Nunavut,9,9,9,9,9,9,9,9
2022-06-08,Canada,Ontario,9,9,9,9,9,9,9,9
2022-06-08,Canada,Prince Edward Island,9,9,9,9,9,9,9,9
2022-06-08,Canada,Quebec,9,9,9,9,9,9,9,9
2022-06-08,Canada,Saskatchewan,9,9,9,9,9,9,9,9
2022-06-08,Canada,Yukon,9,9,9,9,9,9,9,9
2022-06-08,Chile,,9,9,9,9,9,9,9,9
2022-06-08,China,,9,9,9,9,9,9,9,9
2022-06-08,China,Anhui,9,9,9,9,9,9,9,9
2022-06-08,China,Beijing,9,9,9,9,9,9,9,9
2022-06-08,China,Chongqing,9,9,9,9,9,9,9,9
2022-06-08,China,Fujian,9,9,9,9,9,9,9,9
2022-06-08,China,Gansu,9,9,9,9,9,9,9,9
2022-06-08,China,Guangdong,9,9,9,9,9,9,9,9
2022-06-08,China,Guangxi,9,9,9,9,9,9,9,9
2022-06-08,China,Guizhou,9,9,9,9,9,9,9,9
2022-06-08,China,Hainan,9,9,9,9,9,9,9,9
2022-06-08,China,Hebei,9,9,9,9,9,9,9,9
2022-06-08,China,Heilongjiang,9,9,9,9,9,9,9,9
2022-06-08,China,Henan,9,9,9,9,9,9,9,9
2022-06-08,China,Hubei,9,9,9,9,9,9,9,9
2022-06-08,China,Hunan,9,9,9,9,9,9,9,9
2022-06-08,China,Inner Mongolia,9,9,9,9,9,9,9,9
2022-06-08,China,Jiangsu,9,9,9,9,9,9,9,9
2022-06-08,China,Jiangxi,9,9,9,9,9,9,9,9
2022-06-08,China,Jilin,9,9,9,9,9,9,9,9
2022-06-08,China,Liaoning,9,9,9,9,9,9,9,9
2022-06-08,China,Ningxia,9,9,9,9,9,9,9,9
2022-06-08,China,Qinghai,9,9,9,9,9,9,9,9
2022-06-08,China,Shaanxi,9,9,9,9,9,9,9,9
2022-06-08,China,Shandong,9,9,9,9,9,9,9,9
2022-06-08,China,Shanghai,9,9,9,9,9,9,9,9
2022-06-08,China,Shanxi,9,9,9,9,9,9,9,9
2022-06-08,China,Sichuan,9,9,9,9,9,9,9,9
2022-06-08,China,Tianjin,9,9,9,9,9,9,9,9
2022-06-08,China,Tibet,9,9,9,9,9,9,9,9
2022-06-08,China,Xinjiang,9,9,9,9,9,9,9,9
2022-06-08,China,Yunnan,9,9,9,9,9,9,9,9
2022-06-08,China,Zhejiang,9,9,9,9,9,9,9,9
2022-06-08,Colombia,,9,9,9,9,9,9,9,9
2022-06-08,Costa Rica,,9,9,9,9,9,9,9,9
2022-06-08,Czechia,,9,9,9,9,9,9,9,9
2022-06-08,Denmark,,9,9,9,9,9,9,9,9
2022-06-08,Estonia,,9,9,9,9,9,9,9,9
2022-06-08,Finland,,9,9,9,9,9,9,9,9
2022-06-08,France,,9,9,9,9,9,9,9,9
2022-06-08,Germany,,9,9,9,9,9,9,9,9
2022-06-08,Greece,,9,9,9,9,9,9,9,9
2022-06-08,Hungary,,9,9,9,9,9,9,9,9
2022-06-08,Iceland,,9,9,9,9,9,9,9,9
2022-06-08,Ireland,,9,9,9,9,9,9,9,9
2022-06-08,Israel,,9,9,9,9,9,9,9,9
2022-06-08,Italy,,9,9,9,9,9,9,9,9
2022-06-08,Japan,,9,9,9,9,9,9,9,9
2022-06-08,Latvia,,9,9,9,9,9,9,9,9
2022-06-08,Lithuania,,9,9,9,9,9,9,9,9
2022-06-08,Luxembourg,,9,9,9,9,9,9,9,9
2022-06-08,Mexico,,9,9,9,9,9,9,9,9
2022-06-08,Netherlands,,9,9,9,9,9,9,9,9
2022-06-08,New Zealand,,9,9,9,9,9,9,9,9
2022-06-08,Norway,,9,9,9,9,9,9,9,9
2022-06-08,Poland,,9,9,9,9,9,9,9,9
2022-06-08,Portugal,,9,9,9,9,9,9,9,9
2022-06-08,Slovakia,,9,9,9,9,9,9,9,9
2022-06-08,Slovenia,,9,9,9,9,9,9,9,9
2022-06-08,South Korea,,9,9,9,9,9,9,9,9
2022-06-08,Spain,,9,9,9,9,9,9,9,9
2022-06-08,Sweden,,9,9,9,9,9,9,9,9
2022-06-08,Switzerland,,0,0,0,0,0,0,0,0
2022-06-08,Taiwan,,9,9,9,9,9,9,9,9
2022-06-08,Turkey,,9,9,9,9,9,9,9,9
2022-06-08,United Kingdom,,9,9,9,9,9,9,9,9
2022-06-08,United Kingdom,England,9,9,9,9,9,9,9,9
2022-06-08,United Kingdom,Northern Ireland,9,9,9,9,9,9,9,9
2022-06-08,United Kingdom,Scotland,9,9,9,9,9,9,9,9
2022-06-08,United Kingdom,Wales,9,9,9,9,9,9,9,9
2022-06-08,United States,,9,9,9,9,9,9,9,9
2022-06-08,United States,Alabama,9,9,9,9,9,9,9,9
2022-06-08,United States,Alaska,9,9,9,9,9,9,9,9
2022-06-08,United States,Arizona,9,9,9,9,9,9,9,9
2022-06-08,United States,Arkansas,9,9,9,9,9,9,9,9
2022-06-08,United States,California,9,9,9,9,9,9,9,9
2022-06-08,United States,Colorado,9,9,9,9,9,9,9,9
2022-06-08,United States,Connecticut,9,9,9,9,9,9,9,9
2022-06-08,United States,Delaware,9,9,9,9,9,9,9,9
2022-06-08,United States,Florida,9,9,9,9,9,9,9,9
2022-06-08,United States,Georgia,9,9,9,9,9,9,9,9
2022-06-08,United States,Hawaii,9,9,9,9,9,9,9,9
2022-06-08,United States,Idaho,9,9,9,9,9,9,9,9
2022-06-08,United States,Illinois,9,9,9,9,9,9,9,9
2022-06-08,United States,Indiana,9,9,9,9,9,9,9,9
2022-06-08,United States,Iowa,9,9,9,9,9,9,9,9
2022-06-08,United States,Kansas,9,9,9,9,9,9,9,9
2022-06-08,United States,Kentucky,9,9,9,9,9,9,9,9
2022-06-08,United States,Louisiana,9,9,9,9,9,9,9,9
2022-06-08,United States,Maine,9,9,9,9,9,9,9,9
2022-06-08,United States,Maryland,9,9,9,9,9,9,9,9
2022-06-08,United States,Massachusetts,9,9,9,9,9,9,9,9
2022-06-08,United States,Michigan,9,9,9,9,9,9,9,9
2022-06-08,United States,Minnesota,9,9,9,9,9,9,9,9
2022-06-08,United States,Mississippi,9,9,9,9,9,9,9,9
2022-06-08,United States,Missouri,9,9,9,9,9,9,9,9
2022-06-08,United States,Montana,9,9,9,9,9,9,9,9
2022-06-08,United States,Nebraska,9,9,9,9,9,9,9,9
2022-06-08,United States,Nevada,9,9,9,9,9,9,9,9
2022-06-08,United States,New Hampshire,9,9,9,9,9,9,9,9
2022-06-08,United States,New Jersey,9,9,9,9,9,9,9,9
2022-06-08,United States,New Mexico,9,9,9,9,9,9,9,9
2022-06-08,United States,New York,9,9,9,9,9,9,9,9
2022-06-08,United States,North Carolina,9,9,9,9,9,9,9,9
2022-06-08,United States,North Dakota,9,9,9,9,9,9,9,9
2022-06-08,United States,Ohio,9,9,9,9,9,9,9,9
2022-06-08,United States,Oklahoma,9,9,9,9,9,9,9,9
2022-06-08,United States,Oregon,9,9,9,9,9,9,9,9
2022-06-08,United States,Pennsylvania,9,9,9,9,9,9,9,9
2022-06-08,United States,Rhode Island,9,9,9,9,9,9,9,9
2022-06-08,United States,South Carolina,9,9,9,9,9,9,9,9
2022-06-08,United States,South Dakota,9,9,9,9,9,9,9,9
2022-06-08,United States,Tennessee,9,9,9,9,9,9,9,9
2022-06-08,United States,Texas,9,9,9,9,9,9,9,9
2022-06-08,United States,Utah,9,9,9,9,9,9,9,9
2022-06-08,United States,Vermont,9,9,9,9,9,9,9,9
2022-06-08,United States,Virginia,9,9,9,9,9,9,9,9
2022-06-08,United States,Washington,9,9,9,9,9,9,9,9
2022-06-08,United States,Washington DC,9,9,9,9,9,9,9,9
2022-06-08,United States,West Virginia,9,9,9,9,9,9,9,9
2022-06-08,United States,Wisconsin,9,9,9,9,9,9,9,9
2022-06-08,United States,Wyoming,9,9,9,9,9,9,9,9
