tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2022-11-20,Australia,,0,0,0,0,0,0,0,0
2022-11-20,Austria,,2,2,1,2,0,0,0,0
2022-11-20,Belgium,,9,9,9,9,9,9,9,9
2022-11-20,Canada,,0,0,0,0,0,0,0,0
2022-11-20,Chile,,9,9,9,9,9,9,9,9
2022-11-20,China,,9,9,9,9,9,9,9,9
2022-11-20,Colombia,,9,9,9,9,9,9,9,9
2022-11-20,Costa Rica,,9,9,9,9,9,9,9,9
2022-11-20,Czechia,,9,9,9,9,9,9,9,9
2022-11-20,Denmark,,9,9,9,9,9,9,9,9
2022-11-20,Estonia,,9,9,9,9,9,9,9,9
2022-11-20,Finland,,9,9,9,9,9,9,9,9
2022-11-20,France,,9,9,9,9,9,9,9,9
2022-11-20,Germany,,0,0,0,0,0,1,0,0
2022-11-20,Greece,,9,9,9,9,9,9,9,9
2022-11-20,Hungary,,9,9,9,9,9,9,9,9
2022-11-20,Iceland,,9,9,9,9,9,9,9,9
2022-11-20,Ireland,,9,9,9,9,9,9,9,9
2022-11-20,Israel,,1,0,0,0,0,0,0,0
2022-11-20,Italy,,9,9,9,9,9,9,9,9
2022-11-20,Japan,,1,1,1,1,0,1,1,1
2022-11-20,Latvia,,9,9,9,9,9,9,9,9
2022-11-20,Lithuania,,9,9,9,9,9,9,9,9
2022-11-20,Luxembourg,,0,0,0,0,0,0,0,0
2022-11-20,Mexico,,9,9,9,9,9,9,9,9
2022-11-20,Netherlands,,9,9,9,9,9,9,9,9
2022-11-20,New Zealand,,0,0,0,0,0,0,0,0
2022-11-20,Norway,,9,9,9,9,9,9,9,9
2022-11-20,Poland,,1,0,0,0,0,0,0,0
2022-11-20,Portugal,,9,9,9,9,9,9,9,9
2022-11-20,Slovakia,,9,9,9,9,9,9,9,9
2022-11-20,Slovenia,,9,9,9,9,9,9,9,9
2022-11-20,South Korea,,9,9,9,9,9,9,9,9
2022-11-20,Spain,,9,9,9,9,9,9,9,9
2022-11-20,Sweden,,9,9,9,9,9,9,9,9
2022-11-20,Switzerland,,9,9,9,9,9,9,9,9
2022-11-20,Taiwan,,1,1,0,0,0,0,0,1
2022-11-20,Turkey,,9,9,9,9,9,9,9,9
2022-11-20,United Kingdom,,9,9,9,9,9,9,9,9
2022-11-20,United States,,9,9,9,9,9,9,9,9
