tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2021-08-29,Australia,,9,9,9,9,9,9,9,4
2021-08-29,Austria,,2,2,1,3,1,0,2,3
2021-08-29,Belgium,,1,2,1,4,0,0,0,3
2021-08-29,Canada,,2,3,2,4,1,1,2,4
2021-08-29,Canada,Alberta,1,0,1,0,0,1,0,4
2021-08-29,Canada,British Columbia,0,1,1,4,0,1,2,4
2021-08-29,Canada,Manitoba,2,0,1,1,0,1,2,4
2021-08-29,Canada,New Brunswick,1,0,1,0,0,1,0,4
2021-08-29,Canada,Newfoundland and Labrador,1,1,1,2,1,1,2,4
2021-08-29,Canada,Northwest Territories,3,2,2,4,1,1,2,4
2021-08-29,Canada,Nova Scotia,9,9,9,9,9,9,9,9
2021-08-29,Canada,Nunavut,2,1,1,3,0,1,2,9
2021-08-29,Canada,Ontario,9,9,9,9,9,9,9,9
2021-08-29,Canada,Prince Edward Island,9,9,9,9,9,9,9,9
2021-08-29,Canada,Quebec,9,9,9,9,9,9,9,9
2021-08-29,Canada,Saskatchewan,9,9,9,9,9,9,9,9
2021-08-29,Canada,Yukon,1,1,1,4,0,1,0,9
2021-08-29,Chile,,2,3,2,3,1,2,2,2
2021-08-29,China,,9,9,9,9,9,9,9,9
2021-08-29,China,Anhui,1,2,2,4,1,1,2,3
2021-08-29,China,Beijing,1,1,2,2,0,1,2,3
2021-08-29,China,Chongqing,1,2,1,1,1,1,1,3
2021-08-29,China,Fujian,1,1,1,1,0,0,1,3
2021-08-29,China,Gansu,1,2,2,3,0,0,1,3
2021-08-29,China,Guangdong,1,2,1,1,1,1,1,3
2021-08-29,China,Guangxi,1,1,2,0,2,0,2,3
2021-08-29,China,Guizhou,1,2,1,3,0,1,1,3
2021-08-29,China,Hainan,1,1,1,0,1,1,2,3
2021-08-29,China,Hebei,1,1,2,4,1,0,1,3
2021-08-29,China,Heilongjiang,1,1,1,0,1,1,1,3
2021-08-29,China,Henan,2,3,2,4,2,2,2,3
2021-08-29,China,Hubei,1,2,1,0,1,3,2,3
2021-08-29,China,Hunan,1,2,1,0,0,1,0,3
2021-08-29,China,Inner Mongolia,1,1,1,0,1,1,1,3
2021-08-29,China,Jiangsu,2,1,1,1,0,3,2,3
2021-08-29,China,Jiangxi,2,1,2,4,0,1,2,3
2021-08-29,China,Jilin,1,1,1,2,0,1,2,3
2021-08-29,China,Liaoning,1,2,2,3,1,0,0,3
2021-08-29,China,Ningxia,2,2,2,2,0,0,2,3
2021-08-29,China,Qinghai,1,1,1,1,1,1,2,3
2021-08-29,China,Shaanxi,1,2,2,0,0,1,2,3
