Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-05-22,United States,Iowa,3,2,2,4,1,1,1,3
2020-05-22,United States,Kansas,3,2,2,3,1,1,1,3
2020-05-22,United States,Kentucky,3,2,2,4,2,1,1,3
2020-05-22,United States,Louisiana,3,2,2,2,1,1,1,3
2020-05-22,United States,Maine,3,2,2,4,2,2,2,3
2020-05-22,United States,Maryland,3,3,2,4,2,2,2,3
2020-05-22,United States,Massachusetts,3,3,2,3,1,1,1,3
2020-05-22,United States,Michigan,3,2,2,4,1,1,2,3
2020-05-22,United States,Minnesota,3,2,2,4,0,1,1,3
2020-05-22,United States,Mississippi,3,2,2,4,1,2,1,3
2020-05-22,United States,Missouri,3,2,2,4,0,1,1,3
2020-05-22,United States,Montana,3,2,2,4,1,2,1,3
2020-05-22,United States,Nebraska,3,2,2,4,1,1,1,3
2020-05-22,United States,Nevada,3,2,2,4,0,1,1,3
2020-05-22,United States,New Hampshire,3,2,2,4,2,2,1,3
2020-05-22,United States,New Jersey,3,2,2,4,1,2,1,3
2020-05-22,United States,New Mexico,3,2,2,4,2,1,2,3
2020-05-22,United States,New York,3,3,2,4,1,2,1,3
2020-05-22,United States,North Carolina,3,2,1,3,1,1,1,3
2020-05-22,United States,North Dakota,3,1,1,0,0,1,1,3
2020-05-22,United States,Ohio,3,2,2,4,0,1,1,3
2020-05-22,United States,Oklahoma,3,1,1,3,1,1,1,3
2020-05-22,United States,Oregon,3,2,2,4,0,2,1,3
2020-05-22,United States,Pennsylvania,3,2,2,4,1,2,1,3
2020-05-22,United States,Rhode Island,3,3,2,4,0,1,2,3
2020-05-22,United States,South Carolina,3,2,2,4,1,1,1,3
2020-05-22,United States,South Dakota,3,1,1,0,0,1,1,3
2020-05-22,United States,Tennessee,3,2,2,3,1,1,1,3
2020-05-22,United States,Texas,3,2,2,4,0,1,1,3
2020-05-22,United States,Utah,3,1,1,3,0,1,1,3
2020-05-22,United States,Vermont,3,2,2,4,0,1,2,3
2020-05-22,United States,Virginia,3,2,2,4,0,1,2,3
2020-05-22,United States,Washington,3,2,2,4,1,2,1,3
2020-05-22,United States,Washington DC,2,3,2,3,2,2,2,3
2020-05-22,United States,West Virginia,3,2,2,3,0,1,1,3
2020-05-22,United States,Wisconsin,3,2,2,4,1,1,1,3
2020-05-22,United States,Wyoming,3,1,2,3,2,1,1,3
