Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2021-08-19,Australia,,2,3,2,4,1,2,2,4
2021-08-19,Austria,,2,2,1,2,1,0,2,3
2021-08-19,Belgium,,1,2,1,4,0,0,0,3
2021-08-19,Canada,,2,2,1,4,1,1,2,4
2021-08-19,Canada,Alberta,1,0,1,0,0,1,0,4
2021-08-19,Canada,British Columbia,1,1,1,3,0,1,2,4
2021-08-19,Canada,Manitoba,2,0,1,1,0,1,2,4
2021-08-19,Canada,New Brunswick,0,0,1,0,0,1,0,4
2021-08-19,Canada,Newfoundland and Labrador,1,1,1,2,1,1,2,4
2021-08-19,Canada,Northwest Territories,3,2,2,4,1,1,2,4
2021-08-19,Canada,Nova Scotia,1,1,1,3,0,1,2,4
2021-08-19,Canada,Nunavut,2,1,1,3,0,1,2,9
2021-08-19,Canada,Ontario,9,9,9,9,9,9,9,9
2021-08-19,Canada,Prince Edward Island,9,9,9,9,9,9,9,9
2021-08-19,Canada,Quebec,9,9,9,9,9,9,9,9
2021-08-19,Canada,Saskatchewan,9,9,9,9,9,9,9,9
2021-08-19,Canada,Yukon,1,1,1,4,0,1,0,9
2021-08-19,Chile,,2,3,2,3,1,2,2,2
2021-08-19,China,,9,9,9,9,9,9,9,9
2021-08-19,China,Anhui,1,2,2,4,1,1,2,3
2021-08-19,China,Beijing,1,1,2,2,1,1,2,3
2021-08-19,China,Chongqing,1,2,1,1,1,1,1,3
2021-08-19,China,Fujian,1,2,2,3,0,0,1,3
2021-08-19,China,Gansu,1,2,2,3,0,0,1,3
2021-08-19,China,Guangdong,1,2,2,3,2,1,1,3
2021-08-19,China,Guangxi,1,1,2,0,2,0,2,3
2021-08-19,China,Guizhou,1,2,1,3,0,1,1,3
2021-08-19,China,Hainan,1,1,1,0,1,1,2,3
2021-08-19,China,Hebei,2,2,2,4,2,0,2,3
2021-08-19,China,Heilongjiang,1,2,2,3,1,1,1,3
2021-08-19,China,Henan,2,3,2,4,2,2,2,3
2021-08-19,China,Hubei,2,2,2,4,2,3,2,3
2021-08-19,China,Hunan,1,3,2,4,2,3,2,3
2021-08-19,China,Inner Mongolia,1,2,2,4,1,1,2,3
2021-08-19,China,Jiangsu,2,2,2,4,2,3,2,3
2021-08-19,China,Jiangxi,2,1,2,4,0,1,2,3
2021-08-19,China,Jilin,1,2,2,4,0,1,2,3
2021-08-19,China,Liaoning,1,2,2,3,0,0,2,3
2021-08-19,China,Ningxia,2,2,2,2,0,0,2,3
2021-08-19,China,Qinghai,1,1,1,1,1,1,2,3
2021-08-19,China,Shaanxi,1,2,2,4,0,1,2,3
2021-08-19,China,Shandong,1,2,2,4,0,0,1,3
2021-08-19,China,Shanghai,1,2,1,4,1,1,2,3
2021-08-19,China,Shanxi,1,1,1,3,1,1,1,3
2021-08-19,China,Sichuan,1,1,1,1,1,0,2,3
2021-08-19,China,Tianjin,1,1,1,1,1,0,1,3
2021-08-19,China,Tibet,1,1,1,2,1,1,1,3
2021-08-19,China,Xinjiang,1,1,1,1,0,0,1,3
2021-08-19,China,Yunnan,1,2,2,4,1,1,2,3
2021-08-19,China,Zhejiang,1,2,2,4,1,1,2,3
2021-08-19,Colombia,,3,1,1,3,2,2,1,1
2021-08-19,Costa Rica,,2,2,2,3,0,1,1,1
2021-08-19,Czechia,,1,1,0,1,0,0,0,2
2021-08-19,Denmark,,1,2,1,2,0,0,0,2
2021-08-19,Estonia,,1,0,0,1,0,0,0,2
2021-08-19,Finland,,1,1,1,4,0,1,0,2
2021-08-19,France,,1,2,2,3,1,0,2,3
2021-08-19,Germany,,1,2,2,4,1,1,0,2
2021-08-19,Greece,,1,1,1,4,1,1,2,1
2021-08-19,Hungary,,0,0,0,3,0,0,0,3
2021-08-19,Iceland,,2,1,1,2,0,0,0,3
2021-08-19,Ireland,,1,2,1,3,0,1,0,3
2021-08-19,Israel,,2,2,2,3,0,0,0,4
2021-08-19,Italy,,1,2,1,1,1,0,1,3
2021-08-19,Japan,,1,2,1,2,0,1,1,4
2021-08-19,Latvia,,2,1,1,3,0,0,0,2
2021-08-19,Lithuania,,1,1,1,0,0,0,0,2
2021-08-19,Luxembourg,,1,1,1,2,0,0,0,3
2021-08-19,Mexico,,3,3,2,4,1,2,2,1
2021-08-19,Netherlands,,1,2,1,0,1,0,0,3
2021-08-19,New Zealand,,3,3,2,4,2,2,2,4
2021-08-19,Norway,,1,1,1,0,1,1,0,2
2021-08-19,Poland,,1,1,1,2,0,1,0,2
2021-08-19,Portugal,,1,2,2,4,1,0,0,3
2021-08-19,Slovakia,,1,1,1,3,0,0,0,2
2021-08-19,Slovenia,,1,1,1,3,0,0,0,1
2021-08-19,South Korea,,3,2,2,4,0,0,0,2
2021-08-19,Spain,,1,1,2,4,0,2,0,2
2021-08-19,Sweden,,0,0,1,3,0,1,0,3
2021-08-19,Switzerland,,1,1,1,3,0,1,0,3
2021-08-19,Taiwan,,2,2,1,3,0,0,1,4
2021-08-19,Turkey,,1,1,1,0,0,0,0,3
2021-08-19,United Kingdom,,1,2,1,4,1,0,0,3
2021-08-19,United Kingdom,England,1,0,0,0,0,0,0,3
2021-08-19,United Kingdom,Northern Ireland,1,2,1,4,1,0,0,3
2021-08-19,United Kingdom,Scotland,1,0,1,0,0,0,0,3
2021-08-19,United Kingdom,Wales,1,0,0,0,0,0,0,3
2021-08-19,United States,,2,2,1,4,1,1,2,3
2021-08-19,United States,Alabama,0,0,0,0,0,0,1,3
2021-08-19,United States,Alaska,1,1,1,3,0,1,1,3
2021-08-19,United States,Arizona,0,0,0,0,0,0,1,3
2021-08-19,United States,Arkansas,0,0,0,0,0,0,1,3
2021-08-19,United States,California,1,0,1,1,0,0,1,3
2021-08-19,United States,Colorado,1,1,1,1,1,0,1,3
2021-08-19,United States,Connecticut,0,0,0,0,0,0,1,3
2021-08-19,United States,Delaware,2,0,0,0,0,0,1,3
2021-08-19,United States,Florida,0,0,0,0,0,0,1,3
2021-08-19,United States,Georgia,1,1,1,0,0,0,1,3
2021-08-19,United States,Hawaii,9,9,9,9,9,9,9,9
2021-08-19,United States,Idaho,1,1,0,0,0,0,1,3
2021-08-19,United States,Illinois,0,0,0,0,0,0,1,3
2021-08-19,United States,Indiana,2,0,0,0,0,0,1,3
2021-08-19,United States,Iowa,0,0,0,0,0,0,1,3
2021-08-19,United States,Kansas,9,9,9,9,9,9,9,9
2021-08-19,United States,Kentucky,1,1,1,1,0,1,1,3
2021-08-19,United States,Louisiana,1,2,2,2,0,1,1,3
2021-08-19,United States,Maine,1,0,0,0,0,0,1,3
2021-08-19,United States,Maryland,1,0,0,0,0,0,1,3
2021-08-19,United States,Massachusetts,1,0,0,0,1,0,1,3
2021-08-19,United States,Michigan,1,0,0,0,0,0,1,3
2021-08-19,United States,Minnesota,2,0,0,0,0,0,1,3
2021-08-19,United States,Mississippi,1,1,1,0,0,0,1,3
2021-08-19,United States,Missouri,1,0,0,0,0,0,1,3
2021-08-19,United States,Montana,1,1,1,0,0,0,1,3
2021-08-19,United States,Nebraska,0,0,0,0,0,1,1,3
2021-08-19,United States,Nevada,1,0,0,0,0,0,1,3
2021-08-19,United States,New Hampshire,1,1,1,0,0,0,1,3
2021-08-19,United States,New Jersey,0,0,0,0,0,0,1,3
2021-08-19,United States,New Mexico,2,1,0,0,0,0,1,3
2021-08-19,United States,New York,2,1,1,1,0,0,1,3
2021-08-19,United States,North Carolina,1,1,1,0,1,0,1,3
2021-08-19,United States,North Dakota,1,0,1,1,0,0,1,3
2021-08-19,United States,Ohio,1,0,0,0,0,0,1,3
2021-08-19,United States,Oklahoma,1,1,1,0,1,1,1,3
2021-08-19,United States,Oregon,9,9,9,9,9,9,9,9
2021-08-19,United States,Pennsylvania,0,0,0,0,0,0,1,3
2021-08-19,United States,Rhode Island,1,0,1,0,0,0,1,3
2021-08-19,United States,South Carolina,1,1,1,0,0,0,1,3
2021-08-19,United States,South Dakota,1,0,0,0,0,0,1,3
2021-08-19,United States,Tennessee,1,0,0,0,0,0,1,3
2021-08-19,United States,Texas,2,1,1,0,0,1,1,3
2021-08-19,United States,Utah,1,1,1,9,9,9,9,9
2021-08-19,United States,Vermont,0,0,0,0,0,0,1,3
2021-08-19,United States,Virginia,0,0,0,0,0,0,2,3
2021-08-19,United States,Washington,9,9,9,9,9,9,9,9
2021-08-19,United States,Washington DC,9,9,9,9,9,9,9,9
2021-08-19,United States,West Virginia,9,9,9,9,9,9,9,9
2021-08-19,United States,Wisconsin,0,0,0,0,0,0,1,3
2021-08-19,United States,Wyoming,1,1,0,0,2,0,1,3
