Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-11-23,Australia,,0,1,1,3,1,1,2,4
2020-11-23,Austria,,3,3,2,4,1,2,1,3
2020-11-23,Belgium,,1,3,2,4,0,2,0,3
2020-11-23,Canada,,3,3,2,4,0,1,2,4
2020-11-23,Canada,Alberta,1,2,1,3,0,0,0,4
2020-11-23,Canada,British Columbia,1,2,2,4,0,1,1,4
2020-11-23,Canada,Manitoba,2,3,2,4,0,2,2,4
2020-11-23,Canada,New Brunswick,1,1,2,4,1,0,2,4
2020-11-23,Canada,Newfoundland and Labrador,1,1,1,3,0,1,2,4
2020-11-23,Canada,Northwest Territories,0,2,2,3,1,0,2,4
2020-11-23,Canada,Nova Scotia,2,0,1,4,0,0,2,4
2020-11-23,Canada,Nunavut,3,3,2,4,0,2,2,4
2020-11-23,Canada,Ontario,2,3,2,4,1,1,0,4
2020-11-23,Canada,Prince Edward Island,1,1,1,3,0,1,2,4
2020-11-23,Canada,Quebec,2,2,2,4,0,1,1,4
2020-11-23,Canada,Saskatchewan,2,2,1,4,0,1,0,9
2020-11-23,Canada,Yukon,1,1,1,3,1,0,2,9
2020-11-23,Chile,,3,3,2,4,1,3,2,2
2020-11-23,China,,3,3,2,4,1,3,2,3
2020-11-23,China,Anhui,1,1,1,2,1,0,1,3
2020-11-23,China,Beijing,1,1,1,0,1,1,1,3
2020-11-23,China,Chongqing,1,1,1,2,1,1,1,3
2020-11-23,China,Fujian,1,1,1,3,1,1,1,3
2020-11-23,China,Gansu,1,1,1,0,1,1,1,3
2020-11-23,China,Guangdong,1,1,1,1,1,1,1,3
2020-11-23,China,Guangxi,1,1,1,0,1,0,1,3
2020-11-23,China,Guizhou,1,1,1,0,0,0,1,3
2020-11-23,China,Hainan,1,0,0,0,1,0,1,3
2020-11-23,China,Hebei,1,1,1,0,1,0,0,9
2020-11-23,China,Heilongjiang,1,2,1,3,1,1,1,3
2020-11-23,China,Henan,1,1,2,3,1,1,1,3
2020-11-23,China,Hubei,1,1,1,3,1,1,1,3
2020-11-23,China,Hunan,1,1,1,0,0,0,1,3
2020-11-23,China,Inner Mongolia,3,2,2,4,1,3,1,3
2020-11-23,China,Jiangsu,1,1,1,1,1,1,1,3
2020-11-23,China,Jiangxi,1,1,1,1,0,1,1,3
2020-11-23,China,Jilin,1,1,1,2,1,1,1,3
2020-11-23,China,Liaoning,1,1,1,0,0,0,1,3
2020-11-23,China,Ningxia,1,0,2,3,1,1,1,3
2020-11-23,China,Qinghai,1,1,1,1,1,1,1,3
2020-11-23,China,Shaanxi,1,1,1,3,1,1,1,3
2020-11-23,China,Shandong,1,2,1,1,0,0,0,3
2020-11-23,China,Shanghai,1,1,1,3,1,1,1,3
2020-11-23,China,Shanxi,1,1,1,1,1,1,1,3
2020-11-23,China,Sichuan,1,1,1,0,1,1,1,3
2020-11-23,China,Tianjin,1,1,1,4,1,3,2,3
2020-11-23,China,Tibet,1,1,2,3,0,1,1,3
2020-11-23,China,Xinjiang,1,1,1,1,1,0,1,3
2020-11-23,China,Yunnan,1,1,1,1,1,1,1,3
2020-11-23,China,Zhejiang,1,1,1,1,1,1,1,3
2020-11-23,Colombia,,3,1,1,3,1,1,1,4
2020-11-23,Costa Rica,,3,2,2,3,0,1,0,1
2020-11-23,Czechia,,2,2,1,4,0,2,2,3
2020-11-23,Denmark,,1,1,1,4,0,1,0,3
2020-11-23,Estonia,,1,1,1,4,0,0,0,3
2020-11-23,Finland,,1,1,2,3,0,0,0,3
2020-11-23,France,,2,3,2,4,0,2,2,3
2020-11-23,Germany,,1,2,2,4,0,1,1,3
2020-11-23,Greece,,2,2,2,4,1,2,2,3
2020-11-23,Hungary,,2,2,2,4,1,2,0,4
2020-11-23,Iceland,,1,2,2,4,0,0,0,3
2020-11-23,Ireland,,2,3,2,4,1,2,2,2
2020-11-23,Israel,,2,2,2,3,0,2,2,3
2020-11-23,Italy,,2,3,2,4,1,2,2,3
2020-11-23,Japan,,1,1,1,0,0,1,1,3
2020-11-23,Latvia,,2,2,2,4,0,0,0,2
2020-11-23,Lithuania,,2,2,2,4,0,1,1,2
2020-11-23,Luxembourg,,1,1,2,4,0,2,0,3
2020-11-23,Mexico,,3,3,2,3,1,2,2,1
2020-11-23,Netherlands,,1,2,2,4,0,1,0,3
2020-11-23,New Zealand,,0,0,0,0,0,0,0,4
2020-11-23,Norway,,1,2,2,4,0,1,1,2
2020-11-23,Poland,,3,2,2,4,1,1,1,3
2020-11-23,Portugal,,1,2,2,4,1,2,0,3
2020-11-23,Slovakia,,2,2,2,4,0,2,2,2
2020-11-23,Slovenia,,3,2,2,4,2,2,2,2
2020-11-23,South Korea,,1,1,2,4,0,1,2,2
2020-11-23,Spain,,1,2,2,4,0,2,2,3
2020-11-23,Sweden,,1,1,2,3,1,1,1,3
2020-11-23,Switzerland,,2,2,2,4,0,1,0,3
2020-11-23,Taiwan,,1,0,0,0,0,0,0,3
2020-11-23,Turkey,,3,2,2,4,1,1,1,1
2020-11-23,United Kingdom,,1,2,2,4,1,1,2,2
2020-11-23,United Kingdom,England,1,3,2,4,1,2,2,2
2020-11-23,United Kingdom,Northern Ireland,1,2,2,4,1,1,1,2
2020-11-23,United Kingdom,Scotland,1,2,2,4,1,1,2,2
2020-11-23,United Kingdom,Wales,2,2,2,4,1,1,2,2
2020-11-23,United States,,3,3,2,4,1,2,2,3
2020-11-23,United States,Alabama,2,1,1,0,0,1,1,3
2020-11-23,United States,Alaska,3,1,1,3,0,1,2,3
2020-11-23,United States,Arizona,2,2,1,3,0,1,1,3
2020-11-23,United States,Arkansas,2,1,1,3,1,1,1,3
2020-11-23,United States,California,3,2,2,3,0,2,1,3
2020-11-23,United States,Colorado,2,2,1,4,1,1,1,3
2020-11-23,United States,Connecticut,2,2,1,4,1,1,2,3
2020-11-23,United States,Delaware,2,2,1,4,0,1,1,3
2020-11-23,United States,Florida,1,1,1,0,0,2,1,3
2020-11-23,United States,Georgia,2,1,2,3,0,2,1,3
2020-11-23,United States,Hawaii,2,2,2,4,1,1,2,3
2020-11-23,United States,Idaho,2,2,2,4,0,1,1,3
2020-11-23,United States,Illinois,2,1,1,4,0,2,2,3
2020-11-23,United States,Indiana,2,1,1,3,0,1,1,3
2020-11-23,United States,Iowa,2,1,1,3,0,1,1,3
2020-11-23,United States,Kansas,2,1,2,4,1,1,1,3
2020-11-23,United States,Kentucky,2,1,1,4,2,1,1,3
2020-11-23,United States,Louisiana,2,1,1,3,1,1,1,3
2020-11-23,United States,Maine,1,1,1,3,1,1,2,3
2020-11-23,United States,Maryland,2,2,2,4,0,1,2,3
2020-11-23,United States,Massachusetts,2,2,1,4,1,1,2,3
2020-11-23,United States,Michigan,2,2,2,4,1,1,1,3
2020-11-23,United States,Minnesota,2,2,2,4,1,1,1,3
2020-11-23,United States,Mississippi,2,1,1,4,0,1,1,3
2020-11-23,United States,Missouri,2,1,2,4,0,2,1,3
2020-11-23,United States,Montana,2,1,1,3,0,1,1,3
2020-11-23,United States,Nebraska,1,1,1,4,1,1,1,3
2020-11-23,United States,Nevada,2,1,1,2,0,1,1,3
2020-11-23,United States,New Hampshire,2,1,1,0,0,1,2,3
2020-11-23,United States,New Jersey,2,1,1,4,0,1,1,3
2020-11-23,United States,New Mexico,2,3,2,4,2,1,2,3
2020-11-23,United States,New York,2,3,2,4,1,1,2,3
2020-11-23,United States,North Carolina,2,2,1,4,1,1,1,3
2020-11-23,United States,North Dakota,2,1,1,2,0,1,1,3
2020-11-23,United States,Ohio,2,1,1,4,0,2,1,3
2020-11-23,United States,Oklahoma,2,1,1,2,1,1,1,3
2020-11-23,United States,Oregon,2,2,2,4,0,1,1,3
2020-11-23,United States,Pennsylvania,2,1,1,4,0,1,2,3
2020-11-23,United States,Rhode Island,2,2,1,3,0,2,2,3
2020-11-23,United States,South Carolina,2,1,1,4,0,1,1,3
2020-11-23,United States,South Dakota,2,1,1,0,0,1,1,3
2020-11-23,United States,Tennessee,2,1,2,4,1,1,1,3
2020-11-23,United States,Texas,2,2,2,4,0,1,1,3
2020-11-23,United States,Utah,2,1,1,4,0,1,1,3
2020-11-23,United States,Vermont,2,2,2,4,0,1,2,3
2020-11-23,United States,Virginia,2,1,1,3,0,1,1,3
2020-11-23,United States,Washington,2,2,2,4,1,1,1,3
2020-11-23,United States,Washington DC,1,2,2,3,0,1,2,3
2020-11-23,United States,West Virginia,2,1,2,3,0,1,1,3
2020-11-23,United States,Wisconsin,2,1,1,4,1,1,1,3
2020-11-23,United States,Wyoming,2,1,1,3,2,1,1,3
