Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-10-05,Australia,,2,2,2,4,1,2,2,4
2020-10-05,Austria,,1,1,1,3,0,1,0,3
2020-10-05,Belgium,,1,2,1,4,0,0,0,3
2020-10-05,Canada,,2,2,2,4,0,1,2,4
2020-10-05,Canada,Alberta,1,2,1,2,0,0,0,4
2020-10-05,Canada,British Columbia,1,2,2,3,0,0,1,4
2020-10-05,Canada,Manitoba,1,1,2,3,0,2,2,4
2020-10-05,Canada,New Brunswick,1,1,2,3,1,0,2,4
2020-10-05,Canada,Newfoundland and Labrador,1,1,1,3,0,1,2,4
2020-10-05,Canada,Northwest Territories,0,2,2,3,0,0,2,4
2020-10-05,Canada,Nova Scotia,1,0,1,3,0,0,2,4
2020-10-05,Canada,Nunavut,1,2,1,3,0,1,2,4
2020-10-05,Canada,Ontario,2,2,1,3,1,0,0,4
2020-10-05,Canada,Prince Edward Island,1,1,1,3,0,1,2,4
2020-10-05,Canada,Quebec,2,2,2,4,0,1,1,4
2020-10-05,Canada,Saskatchewan,2,2,1,3,0,1,0,9
2020-10-05,Canada,Yukon,1,1,1,3,1,0,2,9
2020-10-05,Chile,,3,3,2,3,2,3,2,4
2020-10-05,China,,2,2,2,3,0,0,2,3
2020-10-05,China,Anhui,1,1,1,2,1,0,1,2
2020-10-05,China,Beijing,1,1,1,0,1,1,1,2
2020-10-05,China,Chongqing,1,1,1,2,1,1,1,3
2020-10-05,China,Fujian,1,1,1,3,1,1,1,2
2020-10-05,China,Gansu,1,1,1,0,1,1,1,2
2020-10-05,China,Guangdong,1,1,1,1,1,1,1,2
2020-10-05,China,Guangxi,1,1,1,0,1,0,1,2
2020-10-05,China,Guizhou,1,1,1,0,0,0,1,2
2020-10-05,China,Hainan,1,0,0,0,1,0,1,2
2020-10-05,China,Hebei,1,1,1,0,1,0,0,9
2020-10-05,China,Heilongjiang,1,2,1,3,1,1,1,2
2020-10-05,China,Henan,1,1,2,3,1,1,1,2
2020-10-05,China,Hubei,1,1,1,3,1,1,1,2
2020-10-05,China,Hunan,1,1,1,0,0,0,1,2
2020-10-05,China,Inner Mongolia,1,1,1,0,1,1,1,2
2020-10-05,China,Jiangsu,1,1,1,1,1,1,1,2
2020-10-05,China,Jiangxi,2,2,1,1,0,1,1,2
2020-10-05,China,Jilin,1,1,1,2,1,1,1,2
2020-10-05,China,Liaoning,1,1,1,0,0,0,2,2
2020-10-05,China,Ningxia,1,0,2,3,1,1,1,2
2020-10-05,China,Qinghai,1,1,1,1,1,1,1,2
2020-10-05,China,Shaanxi,1,1,1,3,1,1,1,2
2020-10-05,China,Shandong,1,0,1,1,0,0,0,2
2020-10-05,China,Shanghai,1,1,1,3,1,1,1,2
2020-10-05,China,Shanxi,1,1,1,1,1,1,1,2
2020-10-05,China,Sichuan,1,1,1,0,1,1,1,2
2020-10-05,China,Tianjin,1,1,1,0,1,1,1,2
2020-10-05,China,Tibet,1,1,2,3,0,1,1,2
2020-10-05,China,Xinjiang,1,1,0,1,1,0,1,2
2020-10-05,China,Yunnan,1,1,1,1,1,1,1,2
2020-10-05,China,Zhejiang,1,1,1,1,1,1,1,2
2020-10-05,Colombia,,3,1,2,3,1,1,1,4
2020-10-05,Costa Rica,,3,2,2,3,0,1,0,3
2020-10-05,Czechia,,2,1,1,4,0,0,1,3
2020-10-05,Denmark,,1,2,1,3,1,1,0,3
2020-10-05,Estonia,,1,1,1,1,0,0,0,3
2020-10-05,Finland,,1,1,1,0,0,0,0,3
2020-10-05,France,,1,2,2,4,0,0,1,3
2020-10-05,Germany,,1,2,2,4,0,0,0,3
2020-10-05,Greece,,1,1,2,4,1,1,1,3
2020-10-05,Hungary,,1,1,1,2,0,0,0,4
2020-10-05,Iceland,,1,1,1,3,0,0,0,3
2020-10-05,Ireland,,1,2,2,3,1,1,1,2
2020-10-05,Israel,,3,3,2,4,1,2,2,2
2020-10-05,Italy,,1,2,2,2,0,0,0,3
2020-10-05,Japan,,1,0,1,0,0,1,1,1
2020-10-05,Latvia,,1,1,0,2,0,0,0,3
2020-10-05,Lithuania,,2,1,0,2,0,1,0,2
2020-10-05,Luxembourg,,1,1,1,4,0,1,0,3
2020-10-05,Mexico,,3,3,2,3,1,2,2,1
2020-10-05,Netherlands,,1,2,2,4,0,1,1,3
2020-10-05,New Zealand,,1,1,2,3,0,0,0,4
2020-10-05,Norway,,1,1,0,3,0,0,0,2
2020-10-05,Poland,,1,0,0,0,0,0,0,3
2020-10-05,Portugal,,1,2,2,4,1,0,0,3
2020-10-05,Slovakia,,2,1,2,3,0,0,0,2
2020-10-05,Slovenia,,1,2,2,3,0,0,0,2
2020-10-05,South Korea,,3,2,2,3,0,1,2,2
2020-10-05,Spain,,2,2,2,4,0,1,2,3
2020-10-05,Sweden,,1,1,2,3,1,1,0,3
2020-10-05,Switzerland,,0,2,0,3,0,0,0,3
2020-10-05,Taiwan,,1,0,0,0,0,0,0,3
2020-10-05,Turkey,,2,2,2,4,1,1,2,1
2020-10-05,United Kingdom,,1,2,2,4,1,1,2,2
2020-10-05,United Kingdom,England,1,2,2,4,1,0,2,2
2020-10-05,United Kingdom,Northern Ireland,0,2,2,4,1,0,0,2
2020-10-05,United Kingdom,Scotland,1,2,2,4,1,1,1,2
2020-10-05,United Kingdom,Wales,1,2,2,4,1,1,2,2
2020-10-05,United States,,3,2,2,3,1,1,2,3
2020-10-05,United States,Alabama,2,1,1,0,0,1,1,3
