tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2022-10-08,Australia,,9,9,9,9,9,9,9,9
2022-10-08,Austria,,9,9,9,9,9,9,9,9
2022-10-08,Belgium,,9,9,9,9,9,9,9,9
2022-10-08,Canada,,9,9,9,9,9,9,9,9
2022-10-08,Chile,,9,9,9,9,9,9,9,9
2022-10-08,China,,2,3,2,4,1,3,2,2
2022-10-08,Colombia,,9,9,9,9,9,9,9,9
2022-10-08,Costa Rica,,9,9,9,9,9,9,9,9
2022-10-08,Czechia,,9,9,9,9,9,9,9,9
2022-10-08,Denmark,,9,9,9,9,9,9,9,9
2022-10-08,Estonia,,9,9,9,9,9,9,9,9
2022-10-08,Finland,,9,9,9,9,9,9,9,9
2022-10-08,France,,9,9,9,9,9,9,9,9
2022-10-08,Germany,,0,0,0,0,0,9,9,9
2022-10-08,Greece,,9,9,9,9,9,9,9,9
2022-10-08,Hungary,,9,9,9,9,9,9,9,9
2022-10-08,Iceland,,9,9,9,9,9,9,9,9
2022-10-08,Ireland,,9,9,9,9,9,9,9,9
2022-10-08,Israel,,9,9,9,9,9,9,9,9
2022-10-08,Italy,,9,9,9,9,9,9,9,9
2022-10-08,Japan,,9,9,9,9,9,9,9,9
2022-10-08,Latvia,,9,9,9,9,9,9,9,9
2022-10-08,Lithuania,,9,9,9,9,9,9,9,9
2022-10-08,Luxembourg,,9,9,9,9,9,9,9,9
2022-10-08,Mexico,,9,9,9,9,9,9,9,9
2022-10-08,Netherlands,,9,9,9,9,9,9,9,9
2022-10-08,New Zealand,,9,9,9,9,9,9,9,9
2022-10-08,Norway,,9,9,9,9,9,9,9,9
2022-10-08,Poland,,9,9,9,9,9,9,9,9
2022-10-08,Portugal,,9,9,9,9,9,9,9,9
2022-10-08,Slovakia,,9,9,9,9,9,9,9,9
2022-10-08,Slovenia,,9,9,9,9,9,9,9,9
2022-10-08,South Korea,,9,9,9,9,9,9,9,9
2022-10-08,Spain,,9,9,9,9,9,9,9,9
2022-10-08,Sweden,,9,9,9,9,9,9,9,9
2022-10-08,Switzerland,,9,9,9,9,9,9,9,9
2022-10-08,Taiwan,,9,9,9,9,9,9,9,9
2022-10-08,Turkey,,9,9,9,9,9,9,9,9
2022-10-08,United Kingdom,,9,9,9,9,9,9,9,9
2022-10-08,United States,,9,9,9,9,9,9,9,9
