STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202012,1,46,전라남도,1252042,3,7882,1626332265,1525044636,1244818794,280225842,101287629,7639190
202012,1,47,경상북도,1922792,3,8276,2410539208,2245873522,1839825748,406047774,164665686,13704792
202012,1,48,경상남도,2444248,4,9653,3358005850,3100007666,2498184948,601822718,257998185,20231549
202012,1,50,제주특별자치도,500637,4,9027,786839841,734437540,597014053,137423486,52402301,5387075
202101,1,11,서울특별시,8061584,4,11914,12483074618,11648762470,9660057219,1988705251,834312148,173264981
202101,1,26,부산광역시,2626481,4,11097,3756682618,3451578664,2738934254,712644410,305103954,27124725
202101,1,27,대구광역시,1947871,4,10600,2699121077,2514701176,2032202314,482498863,184419901,18306312
202101,1,28,인천광역시,2303481,4,10532,3202585467,2948791409,2367523639,581267770,253794058,26937705
202101,1,29,광주광역시,1146403,4,10717,1750410616,1639884305,1340030945,299853360,110526311,8790534
202101,1,30,대전광역시,1191859,4,10698,1796183865,1680965322,1390893603,290071719,115218543,11977095
202101,1,31,울산광역시,877571,4,11017,1290759068,1195626704,977876048,217750656,95132364,6970045
202101,1,36,세종특별자치시,249739,5,14536,465572660,443110082,373920920,69189162,22462578,3642429
202101,1,41,경기도,10474316,4,11615,16177590208,15081586238,12380584325,2701001913,1096003971,148820546
202101,1,42,강원도,1123026,3,9158,1494109917,1385941809,1122643499,263298311,108168108,7780997
202101,1,43,충청북도,1221410,3,8912,1647079973,1539821521,1266452597,273368924,107258453,8437064
202101,1,44,충청남도,1570710,3,8722,2124916938,1991457894,1634932193,356525701,133459044,11987914
202101,1,45,전라북도,1319746,4,8885,1755347224,1643976098,1343236172,300739926,111371126,8846438
202101,1,46,전라남도,1248739,3,7931,1578792262,1479330154,1206424425,272905729,99462108,6504606
202101,1,47,경상북도,1918071,3,8324,2336042764,2174577379,1772499958,402077422,161465384,11799717
202101,1,48,경상남도,2440539,4,9705,3320000472,3069710529,2461658892,608051637,250289943,17211466
202101,1,50,제주특별자치도,500199,4,9080,742107116,690765394,559560557,131204837,51341721,4693142
202102,1,11,서울특별시,8061839,4,11999,12113323116,11355611714,9434393803,1921217911,757711402,160680397
202102,1,26,부산광역시,2626745,4,11174,3585900348,3306664992,2643290008,663374984,279235357,25647484
202102,1,27,대구광역시,1948709,4,10662,2561472273,2389379856,1934214877,455164979,172092417,17611358
202102,1,28,인천광역시,2304304,4,10600,3117843904,2885964945,2322887808,563077137,231878959,25320603
202102,1,29,광주광역시,1147356,4,10778,1674744130,1574669466,1299065280,275604186,100074664,8279991
202102,1,30,대전광역시,1192364,4,10760,1730103810,1625760607,1352276207,273484401,104343202,11652285
202102,1,31,울산광역시,877842,4,11071,1202727750,1114089534,917566478,196523057,88638216,6870820
202102,1,36,세종특별자치시,249875,5,14621,443127855,422718705,358827019,63891686,20409150,3329383
