Date,Country,Vaccine,NumberOfVaccinated
2021-10-19,Chile,CanSino,570208
2021-10-19,Chile,Oxford/AstraZeneca,521111
2021-10-19,Chile,Pfizer/BioNTech,7358771
2021-10-19,Chile,Sinovac,21698661
2021-10-19,Czechia,Johnson&Johnson,251735
2021-10-19,Czechia,Moderna,933087
2021-10-19,Czechia,Oxford/AstraZeneca,882198
2021-10-19,Czechia,Pfizer/BioNTech,9921522
2021-10-19,France,Johnson&Johnson,1046876
2021-10-19,France,Moderna,10999985
2021-10-19,France,Oxford/AstraZeneca,7794205
2021-10-19,France,Pfizer/BioNTech,77776207
2021-10-19,Germany,Johnson&Johnson,3273814
2021-10-19,Germany,Moderna,9742075
2021-10-19,Germany,Oxford/AstraZeneca,12700716
2021-10-19,Germany,Pfizer/BioNTech,84592872
2021-10-19,Iceland,Johnson&Johnson,53984
2021-10-19,Iceland,Moderna,62817
2021-10-19,Iceland,Oxford/AstraZeneca,115521
2021-10-19,Iceland,Pfizer/BioNTech,333943
2021-10-19,Italy,Johnson&Johnson,1489331
2021-10-19,Italy,Moderna,11164990
2021-10-19,Italy,Oxford/AstraZeneca,12155807
2021-10-19,Italy,Pfizer/BioNTech,63247478
2021-10-19,Latvia,Johnson&Johnson,192392
2021-10-19,Latvia,Moderna,255239
2021-10-19,Latvia,Oxford/AstraZeneca,262378
2021-10-19,Latvia,Pfizer/BioNTech,1108720
2021-10-19,South Korea,Johnson&Johnson,1474533
2021-10-19,South Korea,Moderna,9959422
2021-10-19,South Korea,Oxford/AstraZeneca,21976189
2021-10-19,South Korea,Pfizer/BioNTech,39955846
2021-10-19,Switzerland,Johnson&Johnson,11987
2021-10-19,Switzerland,Moderna,7143578
2021-10-19,Switzerland,Pfizer/BioNTech,3732523
2021-10-19,United States,Johnson&Johnson,15336709
2021-10-19,United States,Moderna,153970330
2021-10-19,United States,Pfizer/BioNTech,239709996
