Date,Country,Vaccine,NumberOfVaccinated
2021-05-28,Chile,Oxford/AstraZeneca,227387
2021-05-28,Chile,Pfizer/BioNTech,3279153
2021-05-28,Chile,Sinovac,14923650
2021-05-28,Czechia,Johnson&Johnson,38307
2021-05-28,Czechia,Moderna,485805
2021-05-28,Czechia,Oxford/AstraZeneca,522322
2021-05-28,Czechia,Pfizer/BioNTech,4112297
2021-05-28,France,Johnson&Johnson,259935
2021-05-28,France,Moderna,3215238
2021-05-28,France,Oxford/AstraZeneca,4997473
2021-05-28,France,Pfizer/BioNTech,27298513
2021-05-28,Germany,Johnson&Johnson,408720
2021-05-28,Germany,Moderna,3843047
2021-05-28,Germany,Oxford/AstraZeneca,9100231
2021-05-28,Germany,Pfizer/BioNTech,36146170
2021-05-28,Iceland,Johnson&Johnson,13532
2021-05-28,Iceland,Moderna,22562
2021-05-28,Iceland,Oxford/AstraZeneca,67737
2021-05-28,Iceland,Pfizer/BioNTech,146260
2021-05-28,Italy,Johnson&Johnson,560004
2021-05-28,Italy,Moderna,3057295
2021-05-28,Italy,Oxford/AstraZeneca,7023776
2021-05-28,Italy,Pfizer/BioNTech,23101059
2021-05-28,Latvia,Johnson&Johnson,17070
2021-05-28,Latvia,Moderna,148138
2021-05-28,Latvia,Oxford/AstraZeneca,192222
2021-05-28,Latvia,Pfizer/BioNTech,372390
2021-05-28,Lithuania,Johnson&Johnson,27956
2021-05-28,Lithuania,Moderna,144535
2021-05-28,Lithuania,Oxford/AstraZeneca,322036
2021-05-28,Lithuania,Pfizer/BioNTech,1101017
2021-05-28,Switzerland,Moderna,2650110
2021-05-28,Switzerland,Pfizer/BioNTech,2123935
2021-05-28,United States,Johnson&Johnson,10621136
2021-05-28,United States,Moderna,123479196
2021-05-28,United States,Pfizer/BioNTech,157783315
