Date,Country,Vaccine,NumberOfVaccinated
2021-09-11,Chile,CanSino,556608
2021-09-11,Chile,Oxford/AstraZeneca,496216
2021-09-11,Chile,Pfizer/BioNTech,7251376
2021-09-11,Chile,Sinovac,19518502
2021-09-11,Czechia,Johnson&Johnson,215236
2021-09-11,Czechia,Moderna,906942
2021-09-11,Czechia,Pfizer/BioNTech,9633366
2021-09-11,France,Johnson&Johnson,1030883
2021-09-11,France,Moderna,9691181
2021-09-11,France,Oxford/AstraZeneca,7784572
2021-09-11,France,Pfizer/BioNTech,72957594
2021-09-11,Germany,Johnson&Johnson,2992159
2021-09-11,Germany,Moderna,9521185
2021-09-11,Germany,Oxford/AstraZeneca,12671704
2021-09-11,Germany,Pfizer/BioNTech,79035885
2021-09-11,Iceland,Johnson&Johnson,53765
2021-09-11,Iceland,Moderna,62368
2021-09-11,Iceland,Oxford/AstraZeneca,115436
2021-09-11,Iceland,Pfizer/BioNTech,304270
2021-09-11,Italy,Johnson&Johnson,1457278
2021-09-11,Italy,Moderna,9928149
2021-09-11,Italy,Oxford/AstraZeneca,12132315
2021-09-11,Italy,Pfizer/BioNTech,57285284
2021-09-11,Latvia,Johnson&Johnson,110609
2021-09-11,Latvia,Moderna,237857
2021-09-11,Latvia,Oxford/AstraZeneca,286956
2021-09-11,Latvia,Pfizer/BioNTech,918688
2021-09-11,Lithuania,Johnson&Johnson,365266
2021-09-11,Lithuania,Moderna,254387
2021-09-11,Lithuania,Oxford/AstraZeneca,532574
2021-09-11,Lithuania,Pfizer/BioNTech,2111179
2021-09-11,South Korea,Johnson&Johnson,1348267
2021-09-11,South Korea,Moderna,3640277
2021-09-11,South Korea,Oxford/AstraZeneca,21408296
2021-09-11,South Korea,Pfizer/BioNTech,25476841
2021-09-11,Switzerland,Moderna,6571119
2021-09-11,Switzerland,Pfizer/BioNTech,3339120
2021-09-11,United States,Johnson&Johnson,14643267
2021-09-11,United States,Moderna,148045563
2021-09-11,United States,Pfizer/BioNTech,216417387
