Date,Country,Vaccine,NumberOfVaccinated
2021-09-05,Chile,CanSino,549947
2021-09-05,Chile,Oxford/AstraZeneca,492331
2021-09-05,Chile,Pfizer/BioNTech,7219317
2021-09-05,Chile,Sinovac,19362645
2021-09-05,Czechia,Johnson&Johnson,207527
2021-09-05,Czechia,Moderna,901297
2021-09-05,Czechia,Pfizer/BioNTech,9562930
2021-09-05,France,Johnson&Johnson,1021881
2021-09-05,France,Moderna,9341432
2021-09-05,France,Oxford/AstraZeneca,7781087
2021-09-05,France,Pfizer/BioNTech,71571186
2021-09-05,Germany,Johnson&Johnson,2919243
2021-09-05,Germany,Moderna,9457375
2021-09-05,Germany,Oxford/AstraZeneca,12663327
2021-09-05,Germany,Pfizer/BioNTech,77914576
2021-09-05,Iceland,Johnson&Johnson,53718
2021-09-05,Iceland,Moderna,60672
2021-09-05,Iceland,Oxford/AstraZeneca,115413
2021-09-05,Iceland,Pfizer/BioNTech,300745
2021-09-05,Italy,Johnson&Johnson,1447809
2021-09-05,Italy,Moderna,9472068
2021-09-05,Italy,Oxford/AstraZeneca,12124583
2021-09-05,Italy,Pfizer/BioNTech,56147960
2021-09-05,Latvia,Johnson&Johnson,111682
2021-09-05,Latvia,Moderna,234850
2021-09-05,Latvia,Oxford/AstraZeneca,289832
2021-09-05,Latvia,Pfizer/BioNTech,890400
2021-09-05,Lithuania,Johnson&Johnson,358142
2021-09-05,Lithuania,Moderna,250042
2021-09-05,Lithuania,Oxford/AstraZeneca,531755
2021-09-05,Lithuania,Pfizer/BioNTech,2068123
2021-09-05,South Korea,Johnson&Johnson,1268950
2021-09-05,South Korea,Moderna,2538863
2021-09-05,South Korea,Oxford/AstraZeneca,21336241
2021-09-05,South Korea,Pfizer/BioNTech,21348040
2021-09-05,Switzerland,Moderna,6451650
2021-09-05,Switzerland,Pfizer/BioNTech,3271157
