Date,Country,Vaccine,NumberOfVaccinated
2021-11-08,Chile,CanSino,572194
2021-11-08,Chile,Oxford/AstraZeneca,533005
2021-11-08,Chile,Pfizer/BioNTech,7426949
2021-11-08,Chile,Sinovac,23027629
2021-11-08,Czechia,Johnson&Johnson,313966
2021-11-08,Czechia,Moderna,980834
2021-11-08,Czechia,Oxford/AstraZeneca,882688
2021-11-08,Czechia,Pfizer/BioNTech,10395152
2021-11-08,France,Johnson&Johnson,1049595
2021-11-08,France,Moderna,11213076
2021-11-08,France,Oxford/AstraZeneca,7796832
2021-11-08,France,Pfizer/BioNTech,80213162
2021-11-08,Germany,Johnson&Johnson,3332365
2021-11-08,Germany,Moderna,9838582
2021-11-08,Germany,Oxford/AstraZeneca,12709098
2021-11-08,Germany,Pfizer/BioNTech,87513672
2021-11-08,Iceland,Johnson&Johnson,54070
2021-11-08,Iceland,Moderna,63151
2021-11-08,Iceland,Oxford/AstraZeneca,115564
2021-11-08,Iceland,Pfizer/BioNTech,345665
2021-11-08,Italy,Johnson&Johnson,1492621
2021-11-08,Italy,Moderna,11492106
2021-11-08,Italy,Oxford/AstraZeneca,12154726
2021-11-08,Italy,Pfizer/BioNTech,65945369
2021-11-08,Latvia,Johnson&Johnson,246794
2021-11-08,Latvia,Moderna,312633
2021-11-08,Latvia,Pfizer/BioNTech,1236460
2021-11-08,South Korea,Johnson&Johnson,1492013
2021-11-08,South Korea,Moderna,12655979
2021-11-08,South Korea,Oxford/AstraZeneca,22119245
2021-11-08,South Korea,Pfizer/BioNTech,43936834
2021-11-08,Switzerland,Johnson&Johnson,25660
2021-11-08,Switzerland,Moderna,7304097
2021-11-08,Switzerland,Pfizer/BioNTech,3841199
2021-11-08,United States,Johnson&Johnson,15944839
2021-11-08,United States,Moderna,163930600
2021-11-08,United States,Pfizer/BioNTech,251645451
