tDate,Country,Vaccine,NumberOfVaccinated
2021-11-17,Chile,CanSino,572680
2021-11-17,Chile,Oxford/AstraZeneca,537142
2021-11-17,Chile,Pfizer/BioNTech,7474691
2021-11-17,Chile,Sinovac,23470949
2021-11-17,Czechia,Johnson&Johnson,346389
2021-11-17,Czechia,Moderna,1013320
2021-11-17,Czechia,Oxford/AstraZeneca,882909
2021-11-17,Czechia,Pfizer/BioNTech,10655481
2021-11-17,France,Johnson&Johnson,1051444
2021-11-17,France,Moderna,11310640
2021-11-17,France,Oxford/AstraZeneca,7798773
2021-11-17,France,Pfizer/BioNTech,81840723
2021-11-17,Germany,Johnson&Johnson,3366677
2021-11-17,Germany,Moderna,9928486
2021-11-17,Germany,Oxford/AstraZeneca,12713223
2021-11-17,Germany,Pfizer/BioNTech,90255714
2021-11-17,Iceland,Johnson&Johnson,54121
2021-11-17,Iceland,Moderna,63207
2021-11-17,Iceland,Oxford/AstraZeneca,115597
2021-11-17,Iceland,Pfizer/BioNTech,375311
2021-11-17,Italy,Johnson&Johnson,1494059
2021-11-17,Italy,Moderna,11761285
2021-11-17,Italy,Oxford/AstraZeneca,12155119
2021-11-17,Italy,Pfizer/BioNTech,67381542
2021-11-17,Latvia,Johnson&Johnson,261457
2021-11-17,Latvia,Moderna,347468
2021-11-17,Latvia,Pfizer/BioNTech,1293518
2021-11-17,South Korea,Johnson&Johnson,1502482
2021-11-17,South Korea,Moderna,13361853
2021-11-17,South Korea,Oxford/AstraZeneca,22133188
2021-11-17,South Korea,Pfizer/BioNTech,45423202
2021-11-17,Switzerland,Johnson&Johnson,32389
2021-11-17,Switzerland,Moderna,7414288
2021-11-17,Switzerland,Pfizer/BioNTech,3946184
2021-11-17,United States,Johnson&Johnson,16274660
2021-11-17,United States,Moderna,169412238
2021-11-17,United States,Pfizer/BioNTech,258642454
