Date,Country,Vaccine,NumberOfVaccinated
2021-09-25,Chile,CanSino,564560
2021-09-25,Chile,Oxford/AstraZeneca,504754
2021-09-25,Chile,Pfizer/BioNTech,7286207
2021-09-25,Chile,Sinovac,20183687
2021-09-25,Czechia,Johnson&Johnson,231755
2021-09-25,Czechia,Moderna,917191
2021-09-25,Czechia,Oxford/AstraZeneca,881301
2021-09-25,Czechia,Pfizer/BioNTech,9748768
2021-09-25,France,Johnson&Johnson,1039275
2021-09-25,France,Moderna,10268769
2021-09-25,France,Oxford/AstraZeneca,7788398
2021-09-25,France,Pfizer/BioNTech,75151433
2021-09-25,Germany,Johnson&Johnson,3150008
2021-09-25,Germany,Moderna,9644391
2021-09-25,Germany,Oxford/AstraZeneca,12688425
2021-09-25,Germany,Pfizer/BioNTech,81544652
2021-09-25,Iceland,Johnson&Johnson,53840
2021-09-25,Iceland,Moderna,62514
2021-09-25,Iceland,Oxford/AstraZeneca,115464
2021-09-25,Iceland,Pfizer/BioNTech,320964
2021-09-25,Italy,Johnson&Johnson,1471098
2021-09-25,Italy,Moderna,10519231
2021-09-25,Italy,Oxford/AstraZeneca,12145023
2021-09-25,Italy,Pfizer/BioNTech,59758276
2021-09-25,Latvia,Johnson&Johnson,123406
2021-09-25,Latvia,Moderna,244320
2021-09-25,Latvia,Oxford/AstraZeneca,272846
2021-09-25,Latvia,Pfizer/BioNTech,975198
2021-09-25,South Korea,Johnson&Johnson,1426852
2021-09-25,South Korea,Moderna,6303200
2021-09-25,South Korea,Oxford/AstraZeneca,21432726
2021-09-25,South Korea,Pfizer/BioNTech,30699350
2021-09-25,Switzerland,Moderna,6824096
2021-09-25,Switzerland,Pfizer/BioNTech,3505959
2021-09-25,United States,Johnson&Johnson,14925576
2021-09-25,United States,Moderna,150832560
2021-09-25,United States,Pfizer/BioNTech,223228392
