tDate,Country,Vaccine,NumberOfVaccinated
2022-11-21,Czechia,Johnson&Johnson,413924
2022-11-21,Czechia,Moderna,1639305
2022-11-21,Czechia,Novavax,10870
2022-11-21,Czechia,Pfizer/BioNTech,15553592
2022-11-21,France,Moderna,24039253
2022-11-21,France,Novavax,34819
2022-11-21,France,Pfizer/BioNTech,118475904
2022-11-21,Germany,Johnson&Johnson,3754272
2022-11-21,Germany,Moderna,31549699
2022-11-21,Germany,Novavax,153847
2022-11-21,Germany,Oxford/AstraZeneca,12795462
2022-11-21,Germany,Pfizer/BioNTech,137836576
2022-11-21,Germany,Valneva,3887
2022-11-21,Italy,Moderna,34262889
2022-11-21,Italy,Pfizer/BioNTech,94543959
2022-11-21,Japan,Moderna,80845307
2022-11-21,Japan,Novavax,248550
2022-11-21,Japan,Pfizer/BioNTech,262171052
2022-11-21,South Korea,Johnson&Johnson,1544872
2022-11-21,South Korea,Moderna,25273261
2022-11-21,South Korea,Novavax,871071
2022-11-21,South Korea,Pfizer/BioNTech,81386230
2022-11-21,South Korea,SKYCovione,2006
2022-11-21,Switzerland,Johnson&Johnson,63093
2022-11-21,Switzerland,Moderna,10470163
2022-11-21,Switzerland,Novavax,2355
2022-11-21,Switzerland,Pfizer/BioNTech,6110037
