tDate,Country,Vaccine,NumberOfVaccinated
2021-10-29,Austria,Johnson&Johnson,327012
2021-10-29,Austria,Moderna,1035550
2021-10-29,Austria,Oxford/AstraZeneca,1573573
2021-10-29,Austria,Pfizer/BioNTech,7777828
2021-10-29,Belgium,Johnson&Johnson,392916
2021-10-29,Belgium,Moderna,1342051
2021-10-29,Belgium,Oxford/AstraZeneca,2835838
2021-10-29,Belgium,Pfizer/BioNTech,11039437
2021-10-29,Chile,CanSino,571383
2021-10-29,Chile,Oxford/AstraZeneca,528748
2021-10-29,Chile,Pfizer/BioNTech,7391813
2021-10-29,Chile,Sinovac,22549435
2021-10-29,Czechia,Johnson&Johnson,277009
2021-10-29,Czechia,Moderna,951058
2021-10-29,Czechia,Oxford/AstraZeneca,882421
2021-10-29,Czechia,Pfizer/BioNTech,10132000
2021-10-29,Denmark,Johnson&Johnson,45856
2021-10-29,Denmark,Moderna,1145210
2021-10-29,Denmark,Oxford/AstraZeneca,153305
2021-10-29,Denmark,Pfizer/BioNTech,6902948
2021-10-29,Estonia,Johnson&Johnson,63010
2021-10-29,Estonia,Moderna,146597
2021-10-29,Estonia,Oxford/AstraZeneca,235724
2021-10-29,Estonia,Pfizer/BioNTech,948618
2021-10-29,Finland,Johnson&Johnson,0
2021-10-29,Finland,Moderna,873691
2021-10-29,Finland,Oxford/AstraZeneca,553260
2021-10-29,Finland,Pfizer/BioNTech,6183413
2021-10-29,France,Johnson&Johnson,1048082
2021-10-29,France,Moderna,11130204
2021-10-29,France,Oxford/AstraZeneca,7795437
2021-10-29,France,Pfizer/BioNTech,79101614
2021-10-29,Germany,Johnson&Johnson,3306384
2021-10-29,Germany,Moderna,9786771
2021-10-29,Germany,Oxford/AstraZeneca,12704677
2021-10-29,Germany,Pfizer/BioNTech,86133599
2021-10-29,Hungary,Johnson&Johnson,165495
2021-10-29,Hungary,Moderna,689808
2021-10-29,Hungary,Oxford/AstraZeneca,1245729
2021-10-29,Hungary,Pfizer/BioNTech,4826587
2021-10-29,Hungary,Sinopharm/Beijing,2119412
2021-10-29,Hungary,Sputnik V,1806491
2021-10-29,Iceland,Johnson&Johnson,54033
2021-10-29,Iceland,Moderna,63044
2021-10-29,Iceland,Oxford/AstraZeneca,115550
2021-10-29,Iceland,Pfizer/BioNTech,339226
2021-10-29,Ireland,Johnson&Johnson,236143
2021-10-29,Ireland,Moderna,568961
2021-10-29,Ireland,Oxford/AstraZeneca,1189708
2021-10-29,Ireland,Pfizer/BioNTech,4761430
2021-10-29,Italy,Johnson&Johnson,1491614
2021-10-29,Italy,Moderna,11340144
2021-10-29,Italy,Oxford/AstraZeneca,12157265
2021-10-29,Italy,Pfizer/BioNTech,64703439
2021-10-29,Latvia,Johnson&Johnson,227332
2021-10-29,Latvia,Moderna,283615
2021-10-29,Latvia,Oxford/AstraZeneca,262437
2021-10-29,Latvia,Pfizer/BioNTech,1175169
2021-10-29,Lithuania,Johnson&Johnson,225845
2021-10-29,Lithuania,Moderna,269870
2021-10-29,Lithuania,Oxford/AstraZeneca,535166
2021-10-29,Lithuania,Pfizer/BioNTech,2152188
2021-10-29,Luxembourg,Johnson&Johnson,39116
2021-10-29,Luxembourg,Moderna,70232
2021-10-29,Luxembourg,Oxford/AstraZeneca,105292
2021-10-29,Luxembourg,Pfizer/BioNTech,522425
2021-10-29,Netherlands,Johnson&Johnson,845033
2021-10-29,Netherlands,Moderna,1970903
2021-10-29,Netherlands,Oxford/AstraZeneca,2800813
2021-10-29,Netherlands,Pfizer/BioNTech,17074599
2021-10-29,Norway,Johnson&Johnson,5456
2021-10-29,Norway,Moderna,1542163
2021-10-29,Norway,Oxford/AstraZeneca,145743
2021-10-29,Norway,Pfizer/BioNTech,5925147
2021-10-29,Poland,Johnson&Johnson,2148247
2021-10-29,Poland,Moderna,3042281
2021-10-29,Poland,Oxford/AstraZeneca,5283705
2021-10-29,Poland,Pfizer/BioNTech,26822918
2021-10-29,Portugal,Johnson&Johnson,1125174
2021-10-29,Portugal,Moderna,2012260
2021-10-29,Portugal,Oxford/AstraZeneca,2215625
2021-10-29,Portugal,Pfizer/BioNTech,9844379
2021-10-29,Slovakia,Johnson&Johnson,99683
2021-10-29,Slovakia,Moderna,487276
2021-10-29,Slovakia,Pfizer/BioNTech,3202059
2021-10-29,Slovenia,Johnson&Johnson,136230
2021-10-29,Slovenia,Moderna,195424
2021-10-29,Slovenia,Oxford/AstraZeneca,326811
2021-10-29,Slovenia,Pfizer/BioNTech,1444995
2021-10-29,South Korea,Johnson&Johnson,1485304
2021-10-29,South Korea,Moderna,11797107
2021-10-29,South Korea,Oxford/AstraZeneca,22092368
2021-10-29,South Korea,Pfizer/BioNTech,42640151
2021-10-29,Spain,Johnson&Johnson,1974492
2021-10-29,Spain,Moderna,8400429
2021-10-29,Spain,Oxford/AstraZeneca,9785380
2021-10-29,Spain,Pfizer/BioNTech,46204519
2021-10-29,Sweden,Moderna,1783442
2021-10-29,Sweden,Oxford/AstraZeneca,1334520
2021-10-29,Sweden,Pfizer/BioNTech,10567038
2021-10-29,Switzerland,Johnson&Johnson,20764
2021-10-29,Switzerland,Moderna,7248008
2021-10-29,Switzerland,Pfizer/BioNTech,3801944
2021-10-29,United States,Johnson&Johnson,15549336
2021-10-29,United States,Moderna,157205236
2021-10-29,United States,Pfizer/BioNTech,245831871
