Date,Country,Vaccine,NumberOfVaccinated
2021-07-02,Austria,Johnson&Johnson,126437
2021-07-02,Austria,Moderna,796810
2021-07-02,Austria,Oxford/AstraZeneca,1376187
2021-07-02,Austria,Pfizer/BioNTech,5823371
2021-07-02,Belgium,Johnson&Johnson,268603
2021-07-02,Belgium,Moderna,1038887
2021-07-02,Belgium,Oxford/AstraZeneca,2050278
2021-07-02,Belgium,Pfizer/BioNTech,7972541
2021-07-02,Chile,CanSino,440924
2021-07-02,Chile,Oxford/AstraZeneca,372108
2021-07-02,Chile,Pfizer/BioNTech,4904413
2021-07-02,Chile,Sinovac,17548526
2021-07-02,Czechia,Johnson&Johnson,94181
2021-07-02,Czechia,Moderna,732821
2021-07-02,Czechia,Oxford/AstraZeneca,757571
2021-07-02,Czechia,Pfizer/BioNTech,6885816
2021-07-02,Denmark,Johnson&Johnson,46515
2021-07-02,Denmark,Moderna,475151
2021-07-02,Denmark,Oxford/AstraZeneca,153819
2021-07-02,Denmark,Pfizer/BioNTech,4736551
2021-07-02,Estonia,Johnson&Johnson,23790
2021-07-02,Estonia,Moderna,94723
2021-07-02,Estonia,Oxford/AstraZeneca,233248
2021-07-02,Estonia,Pfizer/BioNTech,642956
2021-07-02,Finland,Moderna,408088
2021-07-02,Finland,Oxford/AstraZeneca,470097
2021-07-02,Finland,Pfizer/BioNTech,3615162
2021-07-02,France,Johnson&Johnson,577256
2021-07-02,France,Moderna,5273430
2021-07-02,France,Oxford/AstraZeneca,6974296
2021-07-02,France,Pfizer/BioNTech,43052420
2021-07-02,Germany,Johnson&Johnson,1982710
2021-07-02,Germany,Moderna,6663635
2021-07-02,Germany,Oxford/AstraZeneca,11753335
2021-07-02,Germany,Pfizer/BioNTech,56436238
2021-07-02,Hungary,Johnson&Johnson,87198
2021-07-02,Hungary,Moderna,666832
2021-07-02,Hungary,Oxford/AstraZeneca,1167032
2021-07-02,Hungary,Pfizer/BioNTech,4587890
2021-07-02,Hungary,Sinopharm/Beijing,2067615
2021-07-02,Hungary,Sputnik V,1806918
2021-07-02,Iceland,Johnson&Johnson,50458
2021-07-02,Iceland,Moderna,38121
2021-07-02,Iceland,Oxford/AstraZeneca,110197
2021-07-02,Iceland,Pfizer/BioNTech,236875
2021-07-02,Ireland,Johnson&Johnson,72047
2021-07-02,Ireland,Moderna,397954
2021-07-02,Ireland,Oxford/AstraZeneca,1018974
2021-07-02,Ireland,Pfizer/BioNTech,2893099
2021-07-02,Italy,Johnson&Johnson,1241887
2021-07-02,Italy,Moderna,5021790
2021-07-02,Italy,Oxford/AstraZeneca,8958528
2021-07-02,Italy,Pfizer/BioNTech,37013833
2021-07-02,Japan,Moderna,1247771
2021-07-02,Japan,Pfizer/BioNTech,47726805
2021-07-02,Latvia,Johnson&Johnson,61228
2021-07-02,Latvia,Moderna,205556
2021-07-02,Latvia,Oxford/AstraZeneca,282246
2021-07-02,Latvia,Pfizer/BioNTech,625432
2021-07-02,Lithuania,Johnson&Johnson,102642
2021-07-02,Lithuania,Moderna,206087
2021-07-02,Lithuania,Oxford/AstraZeneca,452441
2021-07-02,Lithuania,Pfizer/BioNTech,1566764
2021-07-02,Luxembourg,Johnson&Johnson,28590
2021-07-02,Luxembourg,Moderna,56184
2021-07-02,Luxembourg,Oxford/AstraZeneca,103616
2021-07-02,Luxembourg,Pfizer/BioNTech,388934
2021-07-02,Netherlands,Johnson&Johnson,669335
2021-07-02,Netherlands,Moderna,1295142
2021-07-02,Netherlands,Oxford/AstraZeneca,2799821
2021-07-02,Netherlands,Pfizer/BioNTech,11920821
2021-07-02,Poland,Johnson&Johnson,997018
2021-07-02,Poland,Moderna,2958073
2021-07-02,Poland,Oxford/AstraZeneca,4882643
2021-07-02,Poland,Pfizer/BioNTech,21270377
2021-07-02,Portugal,Johnson&Johnson,288452
2021-07-02,Portugal,Moderna,899986
2021-07-02,Portugal,Oxford/AstraZeneca,1658144
2021-07-02,Portugal,Pfizer/BioNTech,6322914
2021-07-02,Slovakia,Johnson&Johnson,5206
2021-07-02,Slovakia,Moderna,385142
2021-07-02,Slovakia,Oxford/AstraZeneca,786565
2021-07-02,Slovakia,Pfizer/BioNTech,2502975
2021-07-02,Slovakia,Sputnik V,17660
2021-07-02,Slovenia,Johnson&Johnson,47016
2021-07-02,Slovenia,Moderna,160642
2021-07-02,Slovenia,Oxford/AstraZeneca,297488
2021-07-02,Slovenia,Pfizer/BioNTech,962684
2021-07-02,Spain,Johnson&Johnson,1324854
2021-07-02,Spain,Moderna,3990137
2021-07-02,Spain,Oxford/AstraZeneca,7650778
2021-07-02,Spain,Pfizer/BioNTech,30868533
2021-07-02,Sweden,Moderna,830483
2021-07-02,Sweden,Oxford/AstraZeneca,1251425
2021-07-02,Sweden,Pfizer/BioNTech,6631591
2021-07-02,Switzerland,Moderna,4922080
2021-07-02,Switzerland,Pfizer/BioNTech,2758168
2021-07-02,United States,Johnson&Johnson,12510528
2021-07-02,United States,Moderna,134263339
2021-07-02,United States,Pfizer/BioNTech,181776100
