Date,Country,Vaccine,NumberOfVaccinated
2022-06-23,Chile,Pfizer/BioNTech,8009338
2022-06-23,Chile,Sinovac,25850663
2022-06-23,Czechia,Johnson&Johnson,413038
2022-06-23,Czechia,Moderna,1601308
2022-06-23,Czechia,Novavax,8512
2022-06-23,Czechia,Pfizer/BioNTech,14754357
2022-06-23,France,Johnson&Johnson,1087954
2022-06-23,France,Moderna,23735409
2022-06-23,France,Novavax,24245
2022-06-23,France,Pfizer/BioNTech,112771800
2022-06-23,Germany,Johnson&Johnson,3747228
2022-06-23,Germany,Moderna,31191698
2022-06-23,Germany,Novavax,127802
2022-06-23,Germany,Oxford/AstraZeneca,12794545
2022-06-23,Germany,Pfizer/BioNTech,134727412
2022-06-23,Italy,Moderna,34148499
2022-06-23,Italy,Novavax,42161
2022-06-23,Italy,Pfizer/BioNTech,90295624
2022-06-23,Japan,Moderna,65056325
2022-06-23,Japan,Novavax,20709
2022-06-23,Japan,Oxford/AstraZeneca,117475
2022-06-23,Japan,Pfizer/BioNTech,218754120
2022-06-23,South Korea,Johnson&Johnson,1543489
2022-06-23,South Korea,Moderna,24725202
2022-06-23,South Korea,Novavax,565713
2022-06-23,South Korea,Pfizer/BioNTech,78566196
