Date,Country,Vaccine,NumberOfVaccinated
2021-09-21,Austria,Johnson&Johnson,297288
2021-09-21,Austria,Moderna,1020822
2021-09-21,Austria,Oxford/AstraZeneca,1594782
2021-09-21,Austria,Pfizer/BioNTech,7459523
2021-09-21,Belgium,Johnson&Johnson,366916
2021-09-21,Belgium,Moderna,1325510
2021-09-21,Belgium,Oxford/AstraZeneca,2831361
2021-09-21,Belgium,Pfizer/BioNTech,10837766
2021-09-21,Chile,CanSino,562681
2021-09-21,Chile,Oxford/AstraZeneca,502241
2021-09-21,Chile,Pfizer/BioNTech,7275662
2021-09-21,Chile,Sinovac,19961839
2021-09-21,Czechia,Johnson&Johnson,227200
2021-09-21,Czechia,Moderna,914568
2021-09-21,Czechia,Oxford/AstraZeneca,881060
2021-09-21,Czechia,Pfizer/BioNTech,9718735
2021-09-21,Estonia,Johnson&Johnson,47491
2021-09-21,Estonia,Moderna,134842
2021-09-21,Estonia,Oxford/AstraZeneca,236360
2021-09-21,Estonia,Pfizer/BioNTech,897493
2021-09-21,Finland,Johnson&Johnson,0
2021-09-21,Finland,Moderna,782629
2021-09-21,Finland,Oxford/AstraZeneca,553015
2021-09-21,Finland,Pfizer/BioNTech,5797040
2021-09-21,France,Johnson&Johnson,1037189
2021-09-21,France,Moderna,10082976
2021-09-21,France,Oxford/AstraZeneca,7786813
2021-09-21,France,Pfizer/BioNTech,74491818
2021-09-21,Germany,Johnson&Johnson,3102403
2021-09-21,Germany,Moderna,9609068
2021-09-21,Germany,Oxford/AstraZeneca,12683044
2021-09-21,Germany,Pfizer/BioNTech,80724608
2021-09-21,Hungary,Johnson&Johnson,149431
2021-09-21,Hungary,Moderna,684563
2021-09-21,Hungary,Oxford/AstraZeneca,1244530
2021-09-21,Hungary,Pfizer/BioNTech,4709570
2021-09-21,Hungary,Sinopharm/Beijing,2100685
2021-09-21,Hungary,Sputnik V,1803893
2021-09-21,Iceland,Johnson&Johnson,53821
2021-09-21,Iceland,Moderna,62382
2021-09-21,Iceland,Oxford/AstraZeneca,115455
2021-09-21,Iceland,Pfizer/BioNTech,317550
2021-09-21,Ireland,Johnson&Johnson,234947
2021-09-21,Ireland,Moderna,568023
2021-09-21,Ireland,Oxford/AstraZeneca,1189231
2021-09-21,Ireland,Pfizer/BioNTech,4667529
2021-09-21,Italy,Johnson&Johnson,1466508
2021-09-21,Italy,Moderna,10361943
2021-09-21,Italy,Oxford/AstraZeneca,12141165
2021-09-21,Italy,Pfizer/BioNTech,58997669
2021-09-21,Latvia,Johnson&Johnson,114697
2021-09-21,Latvia,Moderna,242297
2021-09-21,Latvia,Oxford/AstraZeneca,277227
2021-09-21,Latvia,Pfizer/BioNTech,957749
2021-09-21,Luxembourg,Johnson&Johnson,37048
2021-09-21,Luxembourg,Moderna,69884
2021-09-21,Luxembourg,Oxford/AstraZeneca,105300
2021-09-21,Luxembourg,Pfizer/BioNTech,503832
2021-09-21,Netherlands,Johnson&Johnson,806763
2021-09-21,Netherlands,Moderna,1963454
2021-09-21,Netherlands,Oxford/AstraZeneca,2801068
2021-09-21,Netherlands,Pfizer/BioNTech,16700637
2021-09-21,Poland,Johnson&Johnson,1934680
2021-09-21,Poland,Moderna,3030569
2021-09-21,Poland,Oxford/AstraZeneca,5278699
2021-09-21,Poland,Pfizer/BioNTech,25272290
2021-09-21,Portugal,Johnson&Johnson,1118768
2021-09-21,Portugal,Moderna,1880198
2021-09-21,Portugal,Oxford/AstraZeneca,2199922
2021-09-21,Portugal,Pfizer/BioNTech,9717971
2021-09-21,Slovakia,Johnson&Johnson,77605
2021-09-21,Slovakia,Moderna,478350
2021-09-21,Slovakia,Oxford/AstraZeneca,840223
2021-09-21,Slovakia,Pfizer/BioNTech,3081076
2021-09-21,South Korea,Johnson&Johnson,1415793
2021-09-21,South Korea,Moderna,5299657
2021-09-21,South Korea,Oxford/AstraZeneca,21406974
2021-09-21,South Korea,Pfizer/BioNTech,29199465
2021-09-21,Spain,Johnson&Johnson,1956790
2021-09-21,Spain,Moderna,8205664
2021-09-21,Spain,Oxford/AstraZeneca,9768723
2021-09-21,Spain,Pfizer/BioNTech,45259070
2021-09-21,Sweden,Moderna,1674037
2021-09-21,Sweden,Oxford/AstraZeneca,1330449
2021-09-21,Sweden,Pfizer/BioNTech,10201248
2021-09-21,Switzerland,Moderna,6746466
2021-09-21,Switzerland,Pfizer/BioNTech,3453392
2021-09-21,United States,Johnson&Johnson,14863714
2021-09-21,United States,Moderna,150094768
2021-09-21,United States,Pfizer/BioNTech,221445415
