Date,Country,Vaccine,NumberOfVaccinated
2021-07-27,Austria,Johnson&Johnson,192084
2021-07-27,Austria,Moderna,950422
2021-07-27,Austria,Oxford/AstraZeneca,1546419
2021-07-27,Austria,Pfizer/BioNTech,6711417
2021-07-27,Belgium,Johnson&Johnson,311927
2021-07-27,Belgium,Moderna,1225002
2021-07-27,Belgium,Oxford/AstraZeneca,2592881
2021-07-27,Belgium,Pfizer/BioNTech,9679264
2021-07-27,Chile,CanSino,505002
2021-07-27,Chile,Oxford/AstraZeneca,407386
2021-07-27,Chile,Pfizer/BioNTech,6058383
2021-07-27,Chile,Sinovac,18477042
2021-07-27,Czechia,Johnson&Johnson,127405
2021-07-27,Czechia,Moderna,845905
2021-07-27,Czechia,Oxford/AstraZeneca,841818
2021-07-27,Czechia,Pfizer/BioNTech,8321461
2021-07-27,Estonia,Johnson&Johnson,35153
2021-07-27,Estonia,Moderna,103974
2021-07-27,Estonia,Oxford/AstraZeneca,235807
2021-07-27,Estonia,Pfizer/BioNTech,745215
2021-07-27,Finland,Moderna,510961
2021-07-27,Finland,Oxford/AstraZeneca,549848
2021-07-27,Finland,Pfizer/BioNTech,4359494
2021-07-27,France,Johnson&Johnson,819687
2021-07-27,France,Moderna,6811114
2021-07-27,France,Oxford/AstraZeneca,7647702
2021-07-27,France,Pfizer/BioNTech,55908658
2021-07-27,Germany,Johnson&Johnson,2362088
2021-07-27,Germany,Moderna,8316646
2021-07-27,Germany,Oxford/AstraZeneca,12423654
2021-07-27,Germany,Pfizer/BioNTech,67282888
2021-07-27,Hungary,Johnson&Johnson,116499
2021-07-27,Hungary,Moderna,679335
2021-07-27,Hungary,Oxford/AstraZeneca,1230485
2021-07-27,Hungary,Pfizer/BioNTech,4504436
2021-07-27,Hungary,Sinopharm/Beijing,2091344
2021-07-27,Hungary,Sputnik V,1811507
2021-07-27,Iceland,Johnson&Johnson,53142
2021-07-27,Iceland,Moderna,40269
2021-07-27,Iceland,Oxford/AstraZeneca,115080
2021-07-27,Iceland,Pfizer/BioNTech,260667
2021-07-27,Ireland,Johnson&Johnson,208875
2021-07-27,Ireland,Moderna,504400
2021-07-27,Ireland,Oxford/AstraZeneca,1183377
2021-07-27,Ireland,Pfizer/BioNTech,3803279
2021-07-27,Italy,Johnson&Johnson,1331727
2021-07-27,Italy,Moderna,6700215
2021-07-27,Italy,Oxford/AstraZeneca,11357107
2021-07-27,Italy,Pfizer/BioNTech,47135901
2021-07-27,Japan,Moderna,4406612
2021-07-27,Japan,Pfizer/BioNTech,78653691
2021-07-27,Latvia,Johnson&Johnson,97570
2021-07-27,Latvia,Moderna,219107
2021-07-27,Latvia,Oxford/AstraZeneca,293777
2021-07-27,Latvia,Pfizer/BioNTech,720663
2021-07-27,Lithuania,Johnson&Johnson,158874
2021-07-27,Lithuania,Moderna,221234
2021-07-27,Lithuania,Oxford/AstraZeneca,499079
2021-07-27,Lithuania,Pfizer/BioNTech,1716626
2021-07-27,Luxembourg,Johnson&Johnson,32227
2021-07-27,Luxembourg,Moderna,64498
2021-07-27,Luxembourg,Oxford/AstraZeneca,104033
2021-07-27,Luxembourg,Pfizer/BioNTech,458161
2021-07-27,Poland,Johnson&Johnson,1333699
2021-07-27,Poland,Moderna,3011504
2021-07-27,Poland,Oxford/AstraZeneca,5239496
2021-07-27,Poland,Pfizer/BioNTech,24683895
2021-07-27,Portugal,Johnson&Johnson,616823
2021-07-27,Portugal,Moderna,1262969
2021-07-27,Portugal,Oxford/AstraZeneca,2097272
2021-07-27,Portugal,Pfizer/BioNTech,7961248
2021-07-27,Slovakia,Johnson&Johnson,30030
2021-07-27,Slovakia,Moderna,436008
2021-07-27,Slovakia,Oxford/AstraZeneca,834173
2021-07-27,Slovakia,Pfizer/BioNTech,2762039
2021-07-27,Slovakia,Sputnik V,32459
2021-07-27,Spain,Johnson&Johnson,1787302
2021-07-27,Spain,Moderna,5680742
2021-07-27,Spain,Oxford/AstraZeneca,9488879
2021-07-27,Spain,Pfizer/BioNTech,38160464
2021-07-27,Sweden,Moderna,1118551
2021-07-27,Sweden,Oxford/AstraZeneca,1324141
2021-07-27,Sweden,Pfizer/BioNTech,7991418
2021-07-27,Switzerland,Moderna,5893581
2021-07-27,Switzerland,Pfizer/BioNTech,2983271
2021-07-27,United States,Johnson&Johnson,13257878
2021-07-27,United States,Moderna,138031642
2021-07-27,United States,Pfizer/BioNTech,191021446
