tDate,Country,Vaccine,NumberOfVaccinated
2021-06-28,Chile,CanSino,360713
2021-06-28,Chile,Oxford/AstraZeneca,359123
2021-06-28,Chile,Pfizer/BioNTech,4428879
2021-06-28,Chile,Sinovac,17363519
2021-06-28,Czechia,Johnson&Johnson,88156
2021-06-28,Czechia,Moderna,688051
2021-06-28,Czechia,Oxford/AstraZeneca,722342
2021-06-28,Czechia,Pfizer/BioNTech,6519346
2021-06-28,France,Johnson&Johnson,547430
2021-06-28,France,Moderna,4955695
2021-06-28,France,Oxford/AstraZeneca,6711339
2021-06-28,France,Pfizer/BioNTech,40907434
2021-06-28,Germany,Johnson&Johnson,1891733
2021-06-28,Germany,Moderna,6287864
2021-06-28,Germany,Oxford/AstraZeneca,11247547
2021-06-28,Germany,Pfizer/BioNTech,53529906
2021-06-28,Iceland,Johnson&Johnson,49749
2021-06-28,Iceland,Moderna,38101
2021-06-28,Iceland,Oxford/AstraZeneca,83708
2021-06-28,Iceland,Pfizer/BioNTech,219453
2021-06-28,Italy,Johnson&Johnson,1223699
2021-06-28,Italy,Moderna,4845562
2021-06-28,Italy,Oxford/AstraZeneca,8716426
2021-06-28,Italy,Pfizer/BioNTech,35723102
2021-06-28,Japan,Moderna,1026141
2021-06-28,Japan,Pfizer/BioNTech,42641734
2021-06-28,Latvia,Johnson&Johnson,53841
2021-06-28,Latvia,Moderna,197188
2021-06-28,Latvia,Oxford/AstraZeneca,274885
2021-06-28,Latvia,Pfizer/BioNTech,594830
2021-06-28,Lithuania,Johnson&Johnson,91022
2021-06-28,Lithuania,Moderna,200638
2021-06-28,Lithuania,Oxford/AstraZeneca,428995
2021-06-28,Lithuania,Pfizer/BioNTech,1516384
2021-06-28,Switzerland,Moderna,4659087
2021-06-28,Switzerland,Pfizer/BioNTech,2701130
2021-06-28,United States,Johnson&Johnson,12291007
2021-06-28,United States,Moderna,132904311
2021-06-28,United States,Pfizer/BioNTech,178965469
