tDate,Country,Vaccine,NumberOfVaccinated
2021-05-24,Chile,Oxford/AstraZeneca,118458
2021-05-24,Chile,Pfizer/BioNTech,2991690
2021-05-24,Chile,Sinovac,14458909
2021-05-24,Czechia,Johnson&Johnson,30419
2021-05-24,Czechia,Moderna,447475
2021-05-24,Czechia,Oxford/AstraZeneca,481683
2021-05-24,Czechia,Pfizer/BioNTech,3800559
2021-05-24,France,Johnson&Johnson,204567
2021-05-24,France,Moderna,3073207
2021-05-24,France,Oxford/AstraZeneca,4701863
2021-05-24,France,Pfizer/BioNTech,25281081
2021-05-24,Germany,Johnson&Johnson,142004
2021-05-24,Germany,Moderna,3512662
2021-05-24,Germany,Oxford/AstraZeneca,8607825
2021-05-24,Germany,Pfizer/BioNTech,33483585
2021-05-24,Iceland,Johnson&Johnson,13258
2021-05-24,Iceland,Moderna,22561
2021-05-24,Iceland,Oxford/AstraZeneca,64571
2021-05-24,Iceland,Pfizer/BioNTech,131432
2021-05-24,Italy,Johnson&Johnson,459736
2021-05-24,Italy,Moderna,2713862
2021-05-24,Italy,Oxford/AstraZeneca,6621082
2021-05-24,Italy,Pfizer/BioNTech,21773410
2021-05-24,Latvia,Johnson&Johnson,12353
2021-05-24,Latvia,Moderna,132415
2021-05-24,Latvia,Oxford/AstraZeneca,181957
2021-05-24,Latvia,Pfizer/BioNTech,314222
2021-05-24,Lithuania,Johnson&Johnson,19398
2021-05-24,Lithuania,Moderna,137364
2021-05-24,Lithuania,Oxford/AstraZeneca,308636
2021-05-24,Lithuania,Pfizer/BioNTech,1012192
2021-05-24,Switzerland,Moderna,2374300
2021-05-24,Switzerland,Pfizer/BioNTech,1989542
2021-05-24,United States,Johnson&Johnson,10323402
2021-05-24,United States,Moderna,121500687
2021-05-24,United States,Pfizer/BioNTech,154856445
