tDate,Country,Vaccine,NumberOfVaccinated
2022-09-29,Czechia,Johnson&Johnson,413766
2022-09-29,Czechia,Moderna,1630928
2022-09-29,Czechia,Novavax,10293
2022-09-29,Czechia,Pfizer/BioNTech,15128611
2022-09-29,France,Johnson&Johnson,1089532
2022-09-29,France,Moderna,23931275
2022-09-29,France,Novavax,32423
2022-09-29,France,Pfizer/BioNTech,117084387
2022-09-29,Italy,Moderna,34235127
2022-09-29,Italy,Novavax,42922
2022-09-29,Italy,Pfizer/BioNTech,92795748
2022-09-29,Japan,Moderna,78487973
2022-09-29,Japan,Novavax,212005
2022-09-29,Japan,Pfizer/BioNTech,245012306
2022-09-29,South Korea,Johnson&Johnson,1544449
2022-09-29,South Korea,Moderna,25239437
2022-09-29,South Korea,Novavax,826301
2022-09-29,South Korea,Pfizer/BioNTech,81200322
2022-09-29,South Korea,SKYCovione,357
