tDate,Country,Vaccine,NumberOfVaccinated
2021-08-10,Austria,Johnson&Johnson,217339
2021-08-10,Austria,Moderna,983492
2021-08-10,Austria,Oxford/AstraZeneca,1577355
2021-08-10,Austria,Pfizer/BioNTech,7033464
2021-08-10,Belgium,Johnson&Johnson,326471
2021-08-10,Belgium,Moderna,1265878
2021-08-10,Belgium,Oxford/AstraZeneca,2713683
2021-08-10,Belgium,Pfizer/BioNTech,10367255
2021-08-10,Chile,CanSino,509337
2021-08-10,Chile,Oxford/AstraZeneca,467872
2021-08-10,Chile,Pfizer/BioNTech,6574131
2021-08-10,Chile,Sinovac,18921980
2021-08-10,Czechia,Johnson&Johnson,164292
2021-08-10,Czechia,Moderna,869444
2021-08-10,Czechia,Oxford/AstraZeneca,868259
2021-08-10,Czechia,Pfizer/BioNTech,8894800
2021-08-10,Estonia,Johnson&Johnson,42014
2021-08-10,Estonia,Moderna,109683
2021-08-10,Estonia,Oxford/AstraZeneca,236281
2021-08-10,Estonia,Pfizer/BioNTech,793208
2021-08-10,Finland,Moderna,579646
2021-08-10,Finland,Oxford/AstraZeneca,552231
2021-08-10,Finland,Pfizer/BioNTech,4715960
2021-08-10,France,Johnson&Johnson,933390
2021-08-10,France,Moderna,7733339
2021-08-10,France,Oxford/AstraZeneca,7744943
2021-08-10,France,Pfizer/BioNTech,62357007
2021-08-10,Germany,Johnson&Johnson,2538395
2021-08-10,Germany,Moderna,8846892
2021-08-10,Germany,Oxford/AstraZeneca,12562162
2021-08-10,Germany,Pfizer/BioNTech,71966434
2021-08-10,Ireland,Johnson&Johnson,223587
2021-08-10,Ireland,Moderna,532772
2021-08-10,Ireland,Oxford/AstraZeneca,1186473
2021-08-10,Ireland,Pfizer/BioNTech,4123311
2021-08-10,Italy,Johnson&Johnson,1385096
2021-08-10,Italy,Moderna,7910146
2021-08-10,Italy,Oxford/AstraZeneca,11927520
2021-08-10,Italy,Pfizer/BioNTech,51396070
2021-08-10,Latvia,Johnson&Johnson,106544
2021-08-10,Latvia,Moderna,223859
2021-08-10,Latvia,Oxford/AstraZeneca,293801
2021-08-10,Latvia,Pfizer/BioNTech,777014
2021-08-10,Lithuania,Johnson&Johnson,245586
2021-08-10,Lithuania,Moderna,231323
2021-08-10,Lithuania,Oxford/AstraZeneca,524172
2021-08-10,Lithuania,Pfizer/BioNTech,1836616
2021-08-10,Luxembourg,Johnson&Johnson,33233
2021-08-10,Luxembourg,Moderna,68431
2021-08-10,Luxembourg,Oxford/AstraZeneca,104977
2021-08-10,Luxembourg,Pfizer/BioNTech,479296
2021-08-10,Poland,Johnson&Johnson,1497168
2021-08-10,Poland,Moderna,3013451
2021-08-10,Poland,Oxford/AstraZeneca,5263631
2021-08-10,Poland,Pfizer/BioNTech,24066760
2021-08-10,Spain,Johnson&Johnson,1877195
2021-08-10,Spain,Moderna,6589097
2021-08-10,Spain,Oxford/AstraZeneca,9662260
2021-08-10,Spain,Pfizer/BioNTech,40916178
2021-08-10,Switzerland,Moderna,6100420
2021-08-10,Switzerland,Pfizer/BioNTech,3069334
2021-08-10,United States,Johnson&Johnson,13711856
2021-08-10,United States,Moderna,140678574
2021-08-10,United States,Pfizer/BioNTech,197837608
