Date,Country,Vaccine,NumberOfVaccinated
2021-07-22,Chile,CanSino,500439
2021-07-22,Chile,Oxford/AstraZeneca,399923
2021-07-22,Chile,Pfizer/BioNTech,5880414
2021-07-22,Chile,Sinovac,18411207
2021-07-22,Czechia,Johnson&Johnson,116800
2021-07-22,Czechia,Moderna,833530
2021-07-22,Czechia,Oxford/AstraZeneca,831066
2021-07-22,Czechia,Pfizer/BioNTech,8084223
2021-07-22,France,Johnson&Johnson,763330
2021-07-22,France,Moderna,6469721
2021-07-22,France,Oxford/AstraZeneca,7572838
2021-07-22,France,Pfizer/BioNTech,53289133
2021-07-22,Germany,Johnson&Johnson,2302048
2021-07-22,Germany,Moderna,8120073
2021-07-22,Germany,Oxford/AstraZeneca,12360081
2021-07-22,Germany,Pfizer/BioNTech,65792665
2021-07-22,Iceland,Johnson&Johnson,53061
2021-07-22,Iceland,Moderna,40237
2021-07-22,Iceland,Oxford/AstraZeneca,115009
2021-07-22,Iceland,Pfizer/BioNTech,259929
2021-07-22,Italy,Johnson&Johnson,1308544
2021-07-22,Italy,Moderna,6351621
2021-07-22,Italy,Oxford/AstraZeneca,10939210
2021-07-22,Italy,Pfizer/BioNTech,45345949
2021-07-22,Japan,Moderna,3507430
2021-07-22,Japan,Pfizer/BioNTech,73730116
2021-07-22,Latvia,Johnson&Johnson,93995
2021-07-22,Latvia,Moderna,217099
2021-07-22,Latvia,Oxford/AstraZeneca,293493
2021-07-22,Latvia,Pfizer/BioNTech,701114
2021-07-22,Lithuania,Johnson&Johnson,148300
2021-07-22,Lithuania,Moderna,218042
2021-07-22,Lithuania,Oxford/AstraZeneca,491626
2021-07-22,Lithuania,Pfizer/BioNTech,1680019
2021-07-22,Switzerland,Moderna,5769342
2021-07-22,Switzerland,Pfizer/BioNTech,2949203
2021-07-22,United States,Johnson&Johnson,13126443
2021-07-22,United States,Moderna,137291239
2021-07-22,United States,Pfizer/BioNTech,189056672
