Date,Country,Vaccine,NumberOfVaccinated
2021-07-21,Chile,CanSino,498869
2021-07-21,Chile,Oxford/AstraZeneca,397949
2021-07-21,Chile,Pfizer/BioNTech,5836066
2021-07-21,Chile,Sinovac,18382314
2021-07-21,Czechia,Johnson&Johnson,113560
2021-07-21,Czechia,Moderna,827780
2021-07-21,Czechia,Oxford/AstraZeneca,826395
2021-07-21,Czechia,Pfizer/BioNTech,8020707
2021-07-21,France,Johnson&Johnson,745595
2021-07-21,France,Moderna,6373814
2021-07-21,France,Oxford/AstraZeneca,7543312
2021-07-21,France,Pfizer/BioNTech,52614282
2021-07-21,Germany,Johnson&Johnson,2288424
2021-07-21,Germany,Moderna,8072449
2021-07-21,Germany,Oxford/AstraZeneca,12340435
2021-07-21,Germany,Pfizer/BioNTech,65254831
2021-07-21,Iceland,Johnson&Johnson,53054
2021-07-21,Iceland,Moderna,40237
2021-07-21,Iceland,Oxford/AstraZeneca,114998
2021-07-21,Iceland,Pfizer/BioNTech,259758
2021-07-21,Italy,Johnson&Johnson,1303869
2021-07-21,Italy,Moderna,6277212
2021-07-21,Italy,Oxford/AstraZeneca,10828335
2021-07-21,Italy,Pfizer/BioNTech,44923450
2021-07-21,Japan,Moderna,3336192
2021-07-21,Japan,Pfizer/BioNTech,73032398
2021-07-21,Latvia,Johnson&Johnson,92714
2021-07-21,Latvia,Moderna,216588
2021-07-21,Latvia,Oxford/AstraZeneca,293294
2021-07-21,Latvia,Pfizer/BioNTech,696260
2021-07-21,Lithuania,Johnson&Johnson,145206
2021-07-21,Lithuania,Moderna,217084
2021-07-21,Lithuania,Oxford/AstraZeneca,489998
2021-07-21,Lithuania,Pfizer/BioNTech,1667203
2021-07-21,Switzerland,Moderna,5725826
2021-07-21,Switzerland,Pfizer/BioNTech,2939810
2021-07-21,United States,Johnson&Johnson,13092976
2021-07-21,United States,Moderna,137121107
2021-07-21,United States,Pfizer/BioNTech,188601917
