Date,Country,Vaccine,NumberOfVaccinated
2021-05-19,Chile,Oxford/AstraZeneca,98776
2021-05-19,Chile,Pfizer/BioNTech,2829266
2021-05-19,Chile,Sinovac,14169139
2021-05-19,Czechia,Johnson&Johnson,25916
2021-05-19,Czechia,Moderna,417872
2021-05-19,Czechia,Oxford/AstraZeneca,459767
2021-05-19,Czechia,Pfizer/BioNTech,3509630
2021-05-19,France,Johnson&Johnson,176542
2021-05-19,France,Moderna,2803399
2021-05-19,France,Oxford/AstraZeneca,4511969
2021-05-19,France,Pfizer/BioNTech,23571502
2021-05-19,Germany,Johnson&Johnson,87559
2021-05-19,Germany,Moderna,3141953
2021-05-19,Germany,Oxford/AstraZeneca,8166720
2021-05-19,Germany,Pfizer/BioNTech,31462664
2021-05-19,Iceland,Johnson&Johnson,10570
2021-05-19,Iceland,Moderna,22548
2021-05-19,Iceland,Oxford/AstraZeneca,63610
2021-05-19,Iceland,Pfizer/BioNTech,128579
2021-05-19,Italy,Johnson&Johnson,315307
2021-05-19,Italy,Moderna,2439186
2021-05-19,Italy,Oxford/AstraZeneca,6211960
2021-05-19,Italy,Pfizer/BioNTech,20103908
2021-05-19,Latvia,Johnson&Johnson,6061
2021-05-19,Latvia,Moderna,117462
2021-05-19,Latvia,Oxford/AstraZeneca,176166
2021-05-19,Latvia,Pfizer/BioNTech,273432
2021-05-19,Lithuania,Johnson&Johnson,11870
2021-05-19,Lithuania,Moderna,127638
2021-05-19,Lithuania,Oxford/AstraZeneca,295812
2021-05-19,Lithuania,Pfizer/BioNTech,958224
2021-05-19,Switzerland,Moderna,2152281
2021-05-19,Switzerland,Pfizer/BioNTech,1888969
2021-05-19,United States,Johnson&Johnson,9836616
2021-05-19,United States,Moderna,118181211
2021-05-19,United States,Pfizer/BioNTech,149068615
