tDate,Country,Vaccine,NumberOfVaccinated
2021-07-11,Chile,CanSino,477376
2021-07-11,Chile,Oxford/AstraZeneca,385742
2021-07-11,Chile,Pfizer/BioNTech,5367532
2021-07-11,Chile,Sinovac,17875445
2021-07-11,Czechia,Johnson&Johnson,98056
2021-07-11,Czechia,Moderna,763874
2021-07-11,Czechia,Oxford/AstraZeneca,778914
2021-07-11,Czechia,Pfizer/BioNTech,7338340
2021-07-11,France,Johnson&Johnson,626031
2021-07-11,France,Moderna,5701617
2021-07-11,France,Oxford/AstraZeneca,7313277
2021-07-11,France,Pfizer/BioNTech,46927324
2021-07-11,Germany,Johnson&Johnson,2116708
2021-07-11,Germany,Moderna,7460624
2021-07-11,Germany,Oxford/AstraZeneca,12067263
2021-07-11,Germany,Pfizer/BioNTech,60450580
2021-07-11,Iceland,Johnson&Johnson,52661
2021-07-11,Iceland,Moderna,38166
2021-07-11,Iceland,Oxford/AstraZeneca,112798
2021-07-11,Iceland,Pfizer/BioNTech,248517
2021-07-11,Italy,Johnson&Johnson,1271156
2021-07-11,Italy,Moderna,5596015
2021-07-11,Italy,Oxford/AstraZeneca,9899936
2021-07-11,Italy,Pfizer/BioNTech,40941427
2021-07-11,Japan,Moderna,2000270
2021-07-11,Japan,Pfizer/BioNTech,60905942
2021-07-11,Latvia,Johnson&Johnson,76864
2021-07-11,Latvia,Moderna,211478
2021-07-11,Latvia,Oxford/AstraZeneca,291425
2021-07-11,Latvia,Pfizer/BioNTech,663517
2021-07-11,Lithuania,Johnson&Johnson,119816
2021-07-11,Lithuania,Moderna,210474
2021-07-11,Lithuania,Oxford/AstraZeneca,470428
2021-07-11,Lithuania,Pfizer/BioNTech,1612237
2021-07-11,Switzerland,Moderna,5292437
2021-07-11,Switzerland,Pfizer/BioNTech,2836506
2021-07-11,United States,Johnson&Johnson,12825967
2021-07-11,United States,Moderna,135804688
2021-07-11,United States,Pfizer/BioNTech,185249718
