Date,Country,Vaccine,NumberOfVaccinated
2021-08-11,Chile,CanSino,509443
2021-08-11,Chile,Oxford/AstraZeneca,469753
2021-08-11,Chile,Pfizer/BioNTech,6688470
2021-08-11,Chile,Sinovac,18926096
2021-08-11,Czechia,Johnson&Johnson,166568
2021-08-11,Czechia,Moderna,871362
2021-08-11,Czechia,Oxford/AstraZeneca,869751
2021-08-11,Czechia,Pfizer/BioNTech,8942086
2021-08-11,France,Johnson&Johnson,941148
2021-08-11,France,Moderna,7794842
2021-08-11,France,Oxford/AstraZeneca,7748392
2021-08-11,France,Pfizer/BioNTech,62833019
2021-08-11,Germany,Johnson&Johnson,2554229
2021-08-11,Germany,Moderna,8894145
2021-08-11,Germany,Oxford/AstraZeneca,12571878
2021-08-11,Germany,Pfizer/BioNTech,72440873
2021-08-11,Italy,Johnson&Johnson,1389105
2021-08-11,Italy,Moderna,7987590
2021-08-11,Italy,Oxford/AstraZeneca,11947480
2021-08-11,Italy,Pfizer/BioNTech,51657166
2021-08-11,Latvia,Johnson&Johnson,107149
2021-08-11,Latvia,Moderna,224311
2021-08-11,Latvia,Oxford/AstraZeneca,293805
2021-08-11,Latvia,Pfizer/BioNTech,783541
2021-08-11,Lithuania,Johnson&Johnson,254922
2021-08-11,Lithuania,Moderna,231959
2021-08-11,Lithuania,Oxford/AstraZeneca,525034
2021-08-11,Lithuania,Pfizer/BioNTech,1848453
2021-08-11,South Korea,Johnson&Johnson,1129777
2021-08-11,South Korea,Moderna,996847
2021-08-11,South Korea,Oxford/AstraZeneca,12699827
2021-08-11,South Korea,Pfizer/BioNTech,14088278
2021-08-11,Switzerland,Moderna,6114947
2021-08-11,Switzerland,Pfizer/BioNTech,3078783
2021-08-11,United States,Johnson&Johnson,13746323
2021-08-11,United States,Moderna,140845833
2021-08-11,United States,Pfizer/BioNTech,198288731
