tDate,Country,Vaccine,NumberOfVaccinated
2023-03-21,Czechia,Moderna,1641417
2023-03-21,Czechia,Pfizer/BioNTech,15667185
2023-03-21,France,Johnson&Johnson,1090940
2023-03-21,France,Moderna,24126552
2023-03-21,France,Novavax,39234
2023-03-21,France,Pfizer/BioNTech,121247542
2023-03-21,France,Sanofi/GSK,4241
2023-03-21,Germany,Johnson&Johnson,3761361
2023-03-21,Germany,Moderna,31586047
2023-03-21,Germany,Novavax,160019
2023-03-21,Germany,Pfizer/BioNTech,138198920
2023-03-21,Germany,Valneva,7601
2023-03-21,Italy,Moderna,34334375
2023-03-21,Italy,Pfizer/BioNTech,95767320
2023-03-21,Japan,Moderna,83358487
2023-03-21,Japan,Novavax,309398
2023-03-21,Japan,Pfizer/BioNTech,299122393
2023-03-21,South Korea,Johnson&Johnson,1516687
2023-03-21,South Korea,Novavax,260964
2023-03-21,South Korea,Pfizer/BioNTech,52258288
2023-03-21,South Korea,SKYCovione,557
