tDate,Country,Vaccine,NumberOfVaccinated
2021-06-12,Chile,CanSino,200959
2021-06-12,Chile,Oxford/AstraZeneca,371486
2021-06-12,Chile,Pfizer/BioNTech,3686473
2021-06-12,Chile,Sinovac,16185458
2021-06-12,Czechia,Johnson&Johnson,67047
2021-06-12,Czechia,Moderna,581237
2021-06-12,Czechia,Oxford/AstraZeneca,634740
2021-06-12,Czechia,Pfizer/BioNTech,5239408
2021-06-12,France,Johnson&Johnson,444338
2021-06-12,France,Moderna,4023204
2021-06-12,France,Oxford/AstraZeneca,5838949
2021-06-12,France,Pfizer/BioNTech,33878211
2021-06-12,Germany,Johnson&Johnson,1290360
2021-06-12,Germany,Moderna,4876045
2021-06-12,Germany,Oxford/AstraZeneca,9968653
2021-06-12,Germany,Pfizer/BioNTech,44380342
2021-06-12,Iceland,Johnson&Johnson,26545
2021-06-12,Iceland,Moderna,28307
2021-06-12,Iceland,Oxford/AstraZeneca,78294
2021-06-12,Iceland,Pfizer/BioNTech,184078
2021-06-12,Italy,Johnson&Johnson,1136864
2021-06-12,Italy,Moderna,3853321
2021-06-12,Italy,Oxford/AstraZeneca,7994814
2021-06-12,Italy,Pfizer/BioNTech,28893015
2021-06-12,Latvia,Johnson&Johnson,37916
2021-06-12,Latvia,Moderna,178582
2021-06-12,Latvia,Oxford/AstraZeneca,254602
2021-06-12,Latvia,Pfizer/BioNTech,520445
2021-06-12,Lithuania,Johnson&Johnson,66944
2021-06-12,Lithuania,Moderna,173366
2021-06-12,Lithuania,Oxford/AstraZeneca,373037
2021-06-12,Lithuania,Pfizer/BioNTech,1329448
2021-06-12,Switzerland,Moderna,3630545
2021-06-12,Switzerland,Pfizer/BioNTech,2460756
2021-06-12,United States,Johnson&Johnson,11457011
2021-06-12,United States,Moderna,128444425
2021-06-12,United States,Pfizer/BioNTech,167978845
