tDate,Country,Vaccine,NumberOfVaccinated
2022-12-05,Czechia,Johnson&Johnson,413950
2022-12-05,Czechia,Moderna,1640222
2022-12-05,Czechia,Novavax,10950
2022-12-05,Czechia,Pfizer/BioNTech,15605743
2022-12-05,France,Moderna,24054583
2022-12-05,France,Novavax,35451
2022-12-05,France,Pfizer/BioNTech,118965644
2022-12-05,Germany,Johnson&Johnson,3756379
2022-12-05,Germany,Moderna,31555572
2022-12-05,Germany,Novavax,155274
2022-12-05,Germany,Pfizer/BioNTech,137893059
2022-12-05,Germany,Valneva,4405
2022-12-05,Italy,Moderna,34268816
2022-12-05,Italy,Pfizer/BioNTech,94932342
2022-12-05,Japan,Moderna,81629143
2022-12-05,Japan,Novavax,260700
2022-12-05,Japan,Pfizer/BioNTech,271797628
2022-12-05,South Korea,Johnson&Johnson,1545007
2022-12-05,South Korea,Moderna,25278347
2022-12-05,South Korea,Novavax,881029
2022-12-05,South Korea,Pfizer/BioNTech,81414749
2022-12-05,South Korea,SKYCovione,2195
