tDate,Country,Vaccine,NumberOfVaccinated
2022-08-27,Czechia,Moderna,1621232
2022-08-27,Czechia,Novavax,9920
2022-08-27,Czechia,Pfizer/BioNTech,14959411
2022-08-27,Germany,Johnson&Johnson,3750267
2022-08-27,Germany,Moderna,31440286
2022-08-27,Germany,Novavax,140229
2022-08-27,Germany,Pfizer/BioNTech,136481592
2022-08-27,Italy,Moderna,34229337
2022-08-27,Italy,Novavax,42839
2022-08-27,Italy,Pfizer/BioNTech,92343231
2022-08-27,Japan,Moderna,74564030
2022-08-27,Japan,Novavax,162778
2022-08-27,Japan,Pfizer/BioNTech,238419581
2022-08-27,South Korea,Moderna,25175089
2022-08-27,South Korea,Novavax,785200
2022-08-27,South Korea,Pfizer/BioNTech,80902925
