Date,Country,Vaccine,NumberOfVaccinated
2021-11-11,Chile,CanSino,572458
2021-11-11,Chile,Oxford/AstraZeneca,534471
2021-11-11,Chile,Pfizer/BioNTech,7446235
2021-11-11,Chile,Sinovac,23238534
2021-11-11,Czechia,Johnson&Johnson,326340
2021-11-11,Czechia,Moderna,997076
2021-11-11,Czechia,Oxford/AstraZeneca,882772
2021-11-11,Czechia,Pfizer/BioNTech,10507209
2021-11-11,France,Johnson&Johnson,1050206
2021-11-11,France,Moderna,11241266
2021-11-11,France,Oxford/AstraZeneca,7797567
2021-11-11,France,Pfizer/BioNTech,80719708
2021-11-11,Germany,Johnson&Johnson,3345948
2021-11-11,Germany,Moderna,9873355
2021-11-11,Germany,Oxford/AstraZeneca,12711236
2021-11-11,Germany,Pfizer/BioNTech,88602377
2021-11-11,Iceland,Johnson&Johnson,54112
2021-11-11,Iceland,Moderna,63167
2021-11-11,Iceland,Oxford/AstraZeneca,115580
2021-11-11,Iceland,Pfizer/BioNTech,349873
2021-11-11,Italy,Johnson&Johnson,1493068
2021-11-11,Italy,Moderna,11581472
2021-11-11,Italy,Oxford/AstraZeneca,12154863
2021-11-11,Italy,Pfizer/BioNTech,66482256
2021-11-11,Latvia,Johnson&Johnson,252332
2021-11-11,Latvia,Moderna,325600
2021-11-11,Latvia,Oxford/AstraZeneca,262316
2021-11-11,Latvia,Pfizer/BioNTech,1262534
2021-11-11,South Korea,Johnson&Johnson,1495834
2021-11-11,South Korea,Moderna,12965265
2021-11-11,South Korea,Oxford/AstraZeneca,22125633
2021-11-11,South Korea,Pfizer/BioNTech,44450042
2021-11-11,Switzerland,Johnson&Johnson,28771
2021-11-11,Switzerland,Moderna,7332218
2021-11-11,Switzerland,Pfizer/BioNTech,3866266
