Date,Country,Vaccine,NumberOfVaccinated
2021-06-24,Chile,CanSino,297943
2021-06-24,Chile,Oxford/AstraZeneca,355007
2021-06-24,Chile,Pfizer/BioNTech,4335320
2021-06-24,Chile,Sinovac,17253557
2021-06-24,Czechia,Johnson&Johnson,85112
2021-06-24,Czechia,Moderna,667381
2021-06-24,Czechia,Oxford/AstraZeneca,706919
2021-06-24,Czechia,Pfizer/BioNTech,6239546
2021-06-24,France,Johnson&Johnson,527790
2021-06-24,France,Moderna,4685196
2021-06-24,France,Oxford/AstraZeneca,6548618
2021-06-24,France,Pfizer/BioNTech,39253815
2021-06-24,Germany,Johnson&Johnson,1808722
2021-06-24,Germany,Moderna,5984095
2021-06-24,Germany,Oxford/AstraZeneca,10948605
2021-06-24,Germany,Pfizer/BioNTech,51942676
2021-06-24,Iceland,Johnson&Johnson,49688
2021-06-24,Iceland,Moderna,34118
2021-06-24,Iceland,Oxford/AstraZeneca,83644
2021-06-24,Iceland,Pfizer/BioNTech,219420
2021-06-24,Italy,Johnson&Johnson,1207409
2021-06-24,Italy,Moderna,4631656
2021-06-24,Italy,Oxford/AstraZeneca,8489687
2021-06-24,Italy,Pfizer/BioNTech,34042760
2021-06-24,Japan,Moderna,835634
2021-06-24,Japan,Pfizer/BioNTech,38104229
2021-06-24,Latvia,Johnson&Johnson,51006
2021-06-24,Latvia,Pfizer/BioNTech,582716
2021-06-24,Lithuania,Johnson&Johnson,89320
2021-06-24,Lithuania,Moderna,196693
2021-06-24,Lithuania,Oxford/AstraZeneca,419328
2021-06-24,Lithuania,Pfizer/BioNTech,1467015
2021-06-24,Switzerland,Moderna,4448285
2021-06-24,Switzerland,Pfizer/BioNTech,2662839
2021-06-24,United States,Johnson&Johnson,12139564
2021-06-24,United States,Moderna,132013506
2021-06-24,United States,Pfizer/BioNTech,176285416
