tDate,Country,Vaccine,NumberOfVaccinated
2021-04-21,Chile,Pfizer/BioNTech,1868781
2021-04-21,Chile,Sinovac,11838158
2021-04-21,Czechia,Moderna,289224
2021-04-21,Czechia,Oxford/AstraZeneca,336080
2021-04-21,Czechia,Pfizer/BioNTech,2046567
2021-04-21,France,Moderna,1448744
2021-04-21,France,Oxford/AstraZeneca,3597891
2021-04-21,France,Pfizer/BioNTech,13427292
2021-04-21,Germany,Johnson&Johnson,24
2021-04-21,Germany,Moderna,1329594
2021-04-21,Germany,Oxford/AstraZeneca,5048873
2021-04-21,Germany,Pfizer/BioNTech,17456811
2021-04-21,Iceland,Johnson&Johnson,0
2021-04-21,Iceland,Moderna,12472
2021-04-21,Iceland,Oxford/AstraZeneca,24044
2021-04-21,Iceland,Pfizer/BioNTech,77077
2021-04-21,Italy,Moderna,1118199
2021-04-21,Italy,Oxford/AstraZeneca,3642050
2021-04-21,Italy,Pfizer/BioNTech,11747347
2021-04-21,Latvia,Moderna,47665
2021-04-21,Latvia,Oxford/AstraZeneca,129672
2021-04-21,Latvia,Pfizer/BioNTech,60362
2021-04-21,Lithuania,Moderna,67269
2021-04-21,Lithuania,Oxford/AstraZeneca,191926
2021-04-21,Lithuania,Pfizer/BioNTech,567699
2021-04-21,Switzerland,Moderna,1116183
2021-04-21,Switzerland,Pfizer/BioNTech,1170216
2021-04-21,United States,Johnson&Johnson,7993255
2021-04-21,United States,Moderna,94684047
2021-04-21,United States,Pfizer/BioNTech,113104771
