Date,Country,Vaccine,NumberOfVaccinated
2021-10-01,Austria,Johnson&Johnson,311396
2021-10-01,Austria,Moderna,1024742
2021-10-01,Austria,Oxford/AstraZeneca,1596719
2021-10-01,Austria,Pfizer/BioNTech,7532435
2021-10-01,Belgium,Johnson&Johnson,376665
2021-10-01,Belgium,Moderna,1332190
2021-10-01,Belgium,Oxford/AstraZeneca,2832828
2021-10-01,Belgium,Pfizer/BioNTech,10903073
2021-10-01,Chile,CanSino,567399
2021-10-01,Chile,Oxford/AstraZeneca,510599
2021-10-01,Chile,Pfizer/BioNTech,7302324
2021-10-01,Chile,Sinovac,20785835
2021-10-01,Czechia,Johnson&Johnson,236604
2021-10-01,Czechia,Moderna,921347
2021-10-01,Czechia,Oxford/AstraZeneca,881455
2021-10-01,Czechia,Pfizer/BioNTech,9789408
2021-10-01,Estonia,Johnson&Johnson,51225
2021-10-01,Estonia,Moderna,139344
2021-10-01,Estonia,Oxford/AstraZeneca,236295
2021-10-01,Estonia,Pfizer/BioNTech,914404
2021-10-01,Finland,Johnson&Johnson,0
2021-10-01,Finland,Moderna,819249
2021-10-01,Finland,Oxford/AstraZeneca,553106
2021-10-01,Finland,Pfizer/BioNTech,5932076
2021-10-01,France,Johnson&Johnson,1041814
2021-10-01,France,Moderna,10485785
2021-10-01,France,Oxford/AstraZeneca,7790083
2021-10-01,France,Pfizer/BioNTech,75844607
2021-10-01,Germany,Johnson&Johnson,3197092
2021-10-01,Germany,Moderna,9674272
2021-10-01,Germany,Oxford/AstraZeneca,12693728
2021-10-01,Germany,Pfizer/BioNTech,82522231
2021-10-01,Hungary,Johnson&Johnson,153817
2021-10-01,Hungary,Moderna,685922
2021-10-01,Hungary,Oxford/AstraZeneca,1244840
2021-10-01,Hungary,Pfizer/BioNTech,4744215
2021-10-01,Hungary,Sinopharm/Beijing,2106695
2021-10-01,Hungary,Sputnik V,1805110
2021-10-01,Ireland,Johnson&Johnson,235609
2021-10-01,Ireland,Moderna,568642
2021-10-01,Ireland,Oxford/AstraZeneca,1189342
2021-10-01,Ireland,Pfizer/BioNTech,4704935
2021-10-01,Italy,Johnson&Johnson,1476946
2021-10-01,Italy,Moderna,10716066
2021-10-01,Italy,Oxford/AstraZeneca,12149406
2021-10-01,Italy,Pfizer/BioNTech,60675362
2021-10-01,Latvia,Johnson&Johnson,136828
2021-10-01,Latvia,Moderna,246574
2021-10-01,Latvia,Pfizer/BioNTech,999203
2021-10-01,Lithuania,Johnson&Johnson,194018
2021-10-01,Lithuania,Moderna,261453
2021-10-01,Lithuania,Oxford/AstraZeneca,533266
2021-10-01,Lithuania,Pfizer/BioNTech,2082915
2021-10-01,Luxembourg,Johnson&Johnson,37543
2021-10-01,Luxembourg,Moderna,69853
2021-10-01,Luxembourg,Oxford/AstraZeneca,105290
2021-10-01,Luxembourg,Pfizer/BioNTech,508109
2021-10-01,Netherlands,Johnson&Johnson,828058
2021-10-01,Netherlands,Moderna,1966690
2021-10-01,Netherlands,Oxford/AstraZeneca,2801018
2021-10-01,Netherlands,Pfizer/BioNTech,16829652
2021-10-01,Poland,Johnson&Johnson,1999230
2021-10-01,Poland,Moderna,3034309
2021-10-01,Poland,Oxford/AstraZeneca,5280108
2021-10-01,Poland,Pfizer/BioNTech,25669104
2021-10-01,Portugal,Johnson&Johnson,1121663
2021-10-01,Portugal,Moderna,1935730
2021-10-01,Portugal,Oxford/AstraZeneca,2205764
2021-10-01,Portugal,Pfizer/BioNTech,9763157
2021-10-01,Slovakia,Johnson&Johnson,85971
2021-10-01,Slovakia,Moderna,481526
2021-10-01,Slovakia,Oxford/AstraZeneca,840970
2021-10-01,Slovakia,Pfizer/BioNTech,3135480
2021-10-01,Slovenia,Johnson&Johnson,121267
2021-10-01,Slovenia,Moderna,187497
2021-10-01,Slovenia,Oxford/AstraZeneca,321480
2021-10-01,Slovenia,Pfizer/BioNTech,1322494
2021-10-01,South Korea,Johnson&Johnson,1445780
2021-10-01,South Korea,Moderna,8088091
2021-10-01,South Korea,Oxford/AstraZeneca,21523827
2021-10-01,South Korea,Pfizer/BioNTech,33663201
2021-10-01,Spain,Johnson&Johnson,1961251
2021-10-01,Spain,Moderna,8256589
2021-10-01,Spain,Oxford/AstraZeneca,9773979
2021-10-01,Spain,Pfizer/BioNTech,45490368
2021-10-01,Sweden,Moderna,1710041
2021-10-01,Sweden,Oxford/AstraZeneca,1329940
2021-10-01,Sweden,Pfizer/BioNTech,10279797
2021-10-01,Switzerland,Moderna,6902872
2021-10-01,Switzerland,Pfizer/BioNTech,3574311
2021-10-01,United States,Johnson&Johnson,15022960
2021-10-01,United States,Moderna,151622624
2021-10-01,United States,Pfizer/BioNTech,226714560
