Date,Country,Vaccine,NumberOfVaccinated
2021-09-26,Chile,CanSino,564623
2021-09-26,Chile,Oxford/AstraZeneca,504758
2021-09-26,Chile,Pfizer/BioNTech,7286350
2021-09-26,Chile,Sinovac,20184256
2021-09-26,Czechia,Johnson&Johnson,232081
2021-09-26,Czechia,Moderna,917411
2021-09-26,Czechia,Pfizer/BioNTech,9751013
2021-09-26,France,Johnson&Johnson,1039321
2021-09-26,France,Moderna,10272826
2021-09-26,France,Oxford/AstraZeneca,7788439
2021-09-26,France,Pfizer/BioNTech,75172253
2021-09-26,Germany,Johnson&Johnson,3153980
2021-09-26,Germany,Moderna,9648298
2021-09-26,Germany,Oxford/AstraZeneca,12688489
2021-09-26,Germany,Pfizer/BioNTech,81595055
2021-09-26,Iceland,Johnson&Johnson,53840
2021-09-26,Iceland,Moderna,62514
2021-09-26,Iceland,Oxford/AstraZeneca,115464
2021-09-26,Iceland,Pfizer/BioNTech,320964
2021-09-26,Italy,Johnson&Johnson,1471987
2021-09-26,Italy,Moderna,10537854
2021-09-26,Italy,Oxford/AstraZeneca,12145524
2021-09-26,Italy,Pfizer/BioNTech,59862781
2021-09-26,Latvia,Johnson&Johnson,124075
2021-09-26,Latvia,Moderna,244444
2021-09-26,Latvia,Oxford/AstraZeneca,272888
2021-09-26,Latvia,Pfizer/BioNTech,975987
2021-09-26,South Korea,Johnson&Johnson,1427733
2021-09-26,South Korea,Moderna,6318453
2021-09-26,South Korea,Oxford/AstraZeneca,21433434
2021-09-26,South Korea,Pfizer/BioNTech,30733363
2021-09-26,Switzerland,Moderna,6825764
2021-09-26,Switzerland,Pfizer/BioNTech,3508009
2021-09-26,United States,Johnson&Johnson,14942698
2021-09-26,United States,Moderna,151000534
2021-09-26,United States,Pfizer/BioNTech,223782867
