tDate,Country,Vaccine,NumberOfVaccinated
2021-07-08,Chile,CanSino,471517
2021-07-08,Chile,Oxford/AstraZeneca,383375
2021-07-08,Chile,Pfizer/BioNTech,5281287
2021-07-08,Chile,Sinovac,17792040
2021-07-08,Czechia,Johnson&Johnson,96477
2021-07-08,Czechia,Moderna,753724
2021-07-08,Czechia,Oxford/AstraZeneca,772014
2021-07-08,Czechia,Pfizer/BioNTech,7186069
2021-07-08,France,Johnson&Johnson,609975
2021-07-08,France,Moderna,5563794
2021-07-08,France,Oxford/AstraZeneca,7210435
2021-07-08,France,Pfizer/BioNTech,45747033
2021-07-08,Germany,Johnson&Johnson,2076207
2021-07-08,Germany,Moderna,7209821
2021-07-08,Germany,Oxford/AstraZeneca,11986406
2021-07-08,Germany,Pfizer/BioNTech,59425231
2021-07-08,Iceland,Johnson&Johnson,52599
2021-07-08,Iceland,Moderna,38156
2021-07-08,Iceland,Oxford/AstraZeneca,112776
2021-07-08,Iceland,Pfizer/BioNTech,248405
2021-07-08,Italy,Johnson&Johnson,1263897
2021-07-08,Italy,Moderna,5463798
2021-07-08,Italy,Oxford/AstraZeneca,9623277
2021-07-08,Italy,Pfizer/BioNTech,39747671
2021-07-08,Japan,Moderna,1665227
2021-07-08,Japan,Pfizer/BioNTech,56683163
2021-07-08,Latvia,Johnson&Johnson,71714
2021-07-08,Latvia,Moderna,209592
2021-07-08,Latvia,Oxford/AstraZeneca,286794
2021-07-08,Latvia,Pfizer/BioNTech,652846
2021-07-08,Lithuania,Johnson&Johnson,113558
2021-07-08,Lithuania,Moderna,209286
2021-07-08,Lithuania,Oxford/AstraZeneca,465399
2021-07-08,Lithuania,Pfizer/BioNTech,1602260
2021-07-08,United States,Johnson&Johnson,12708959
2021-07-08,United States,Moderna,135297225
2021-07-08,United States,Pfizer/BioNTech,184073920
