Date,Country,Vaccine,NumberOfVaccinated
2021-06-07,Chile,CanSino,146672
2021-06-07,Chile,Oxford/AstraZeneca,364996
2021-06-07,Chile,Pfizer/BioNTech,3629626
2021-06-07,Chile,Sinovac,15514755
2021-06-07,Czechia,Johnson&Johnson,54206
2021-06-07,Czechia,Moderna,544226
2021-06-07,Czechia,Oxford/AstraZeneca,592598
2021-06-07,Czechia,Pfizer/BioNTech,4806763
2021-06-07,France,Johnson&Johnson,378719
2021-06-07,France,Moderna,3707531
2021-06-07,France,Oxford/AstraZeneca,5527633
2021-06-07,France,Pfizer/BioNTech,31298390
2021-06-07,Germany,Johnson&Johnson,905874
2021-06-07,Germany,Moderna,4485181
2021-06-07,Germany,Oxford/AstraZeneca,9693777
2021-06-07,Germany,Pfizer/BioNTech,40620309
2021-06-07,Iceland,Johnson&Johnson,16041
2021-06-07,Iceland,Moderna,28307
2021-06-07,Iceland,Oxford/AstraZeneca,68240
2021-06-07,Iceland,Pfizer/BioNTech,162002
2021-06-07,Italy,Johnson&Johnson,986786
2021-06-07,Italy,Moderna,3598344
2021-06-07,Italy,Oxford/AstraZeneca,7660819
2021-06-07,Italy,Pfizer/BioNTech,26678194
2021-06-07,Latvia,Johnson&Johnson,28883
2021-06-07,Latvia,Moderna,168089
2021-06-07,Latvia,Oxford/AstraZeneca,205341
2021-06-07,Latvia,Pfizer/BioNTech,472548
2021-06-07,Lithuania,Johnson&Johnson,50990
2021-06-07,Lithuania,Moderna,163042
2021-06-07,Lithuania,Oxford/AstraZeneca,362444
2021-06-07,Lithuania,Pfizer/BioNTech,1250334
2021-06-07,Switzerland,Moderna,3240171
2021-06-07,Switzerland,Pfizer/BioNTech,2346261
2021-06-07,United States,Johnson&Johnson,11194685
2021-06-07,United States,Moderna,127058512
2021-06-07,United States,Pfizer/BioNTech,164371746
