tDate,Country,Vaccine,NumberOfVaccinated
2022-09-24,Czechia,Moderna,1630258
2022-09-24,Czechia,Novavax,10219
2022-09-24,Czechia,Pfizer/BioNTech,15100739
2022-09-24,Italy,Moderna,34233754
2022-09-24,Italy,Pfizer/BioNTech,92693903
2022-09-24,Japan,Moderna,78112312
2022-09-24,Japan,Novavax,206207
2022-09-24,Japan,Pfizer/BioNTech,244342658
2022-09-24,South Korea,Johnson&Johnson,1544393
2022-09-24,South Korea,Moderna,25233440
2022-09-24,South Korea,Novavax,821880
2022-09-24,South Korea,Pfizer/BioNTech,81174511
2022-09-24,South Korea,SKYCovione,158
