Date,Country,Number,HolidayName
2024-04-01,Australia,1,Easter Monday
2024-04-01,Austria,1,Easter Monday
2024-04-01,Belgium,1,Easter Monday
2024-04-01,Canada,1,Easter Monday
2024-04-01,Czechia,1,Easter Monday
2024-04-01,Denmark,1,Easter Monday
2024-04-01,Finland,1,Easter Monday
2024-04-01,France,1,Easter Monday
2024-04-01,Germany,1,Easter Monday
2024-04-01,Hungary,1,Easter Monday
2024-04-01,Iceland,1,Easter Monday
2024-04-01,Ireland,1,Easter Monday
2024-04-01,Italy,1,Easter Monday
2024-04-01,Latvia,1,Easter Monday
2024-04-01,Lithuania,1,Easter Monday
2024-04-01,Luxembourg,1,Easter Monday
2024-04-01,Netherlands,1,Easter Monday
2024-04-01,New Zealand,1,Easter Monday
2024-04-01,Norway,1,Easter Monday
2024-04-01,Poland,1,Easter Monday
2024-04-01,Slovakia,1,Easter Monday
2024-04-01,Slovenia,1,Easter Monday
2024-04-01,Sweden,1,Easter Monday
