 tDate,Country,Number,HolidayName
2022-06-13,Anguilla,1,Sovereign`s Birthday
2022-06-13,Cyprus,1,Orthodox Pentecost Monday
2022-06-13,Greece,1,Orthodox Holy Spirit Monday
2022-06-13,Montserrat,1,Queen`s Birthday Celebration
2022-06-13,Papua New Guinea,1,Queen`s Birthday
2022-06-13,Romania,1,Orthodox Pentecost Monday
2022-06-13,Russia,1,Day off for Russia Day
2022-06-13,Turks and Caicos Islands,1,Queen`s Birthday
2022-06-13,Ukraine,1,Orthodox Pentecost holiday
2022-06-13,Venezuela,1,St Anthony`s Day
