 tDate,Country,Number,HolidayName
2022-02-02,Bhutan,1,Traditional Day of Offerings
2022-02-02,China,1,Spring Festival Golden Week holiday
2022-02-02,Hong Kong,1,Second day of Chinese Lunar New Year
2022-02-02,Liechtenstein,1,Candlemas
2022-02-02,Macau,1,Lunar New Year (Second Day)
2022-02-02,Malaysia,1,Second day of Chinese Lunar New Year
2022-02-02,Mongolia,1,Second Day of Lunar New Year
2022-02-02,South Korea,1,Seollal Holiday
2022-02-02,Taiwan,1,Chinese New Year Holiday
2022-02-02,Vietnam,1,Tet holiday
