tDate,Country,Number,HolidayName
2023-04-10,Australia,1,Easter Monday
2023-04-10,Austria,1,Easter Monday
2023-04-10,Belgium,1,Easter Monday
2023-04-10,Canada,1,Easter Monday
2023-04-10,Costa Rica,1,Battle of Rivas
2023-04-10,Czechia,1,Easter Monday
2023-04-10,Denmark,1,Easter Monday
2023-04-10,Finland,1,Easter Monday
2023-04-10,France,1,Easter Monday
2023-04-10,Germany,1,Easter Monday
2023-04-10,Hungary,1,Easter Monday
2023-04-10,Iceland,1,Easter Monday
2023-04-10,Ireland,1,Easter Monday
2023-04-10,Italy,1,Easter Monday
2023-04-10,Latvia,1,Easter Monday
2023-04-10,Lithuania,1,Easter Monday
2023-04-10,Luxembourg,1,Easter Monday
2023-04-10,Netherlands,1,Easter Monday
2023-04-10,New Zealand,1,Easter Monday
2023-04-10,Norway,1,Easter Monday
2023-04-10,Poland,1,Easter Monday
2023-04-10,Slovakia,1,Easter Monday
2023-04-10,Slovenia,1,Easter Monday
2023-04-10,Sweden,1,Easter Monday
