tDate,Country,Number,HolidayName
2023-08-15,Austria,1,Assumption of Mary
2023-08-15,Belgium,1,Assumption of Mary
2023-08-15,Chile,1,Assumption of Mary
2023-08-15,Colombia,1,Assumption of Mary
2023-08-15,France,1,Assumption of Mary
2023-08-15,Greece,1,Dormition of the Holy Virgin
2023-08-15,Italy,1,Assumption of Mary
2023-08-15,Lithuania,1,Feast of the Assumption of Mary
2023-08-15,Luxembourg,1,Assumption of Mary
2023-08-15,Poland,1,Assumption of Mary
2023-08-15,Portugal,1,Assumption of Mary
2023-08-15,Slovenia,1,Assumption of Mary
2023-08-15,South Korea,1,Liberation Day
2023-08-15,Spain,1,Assumption of Mary
