 tDate,Country,Number,HolidayName
2020-04-19,Albania,1,Easter Sunday (Orthodox)
2020-04-19,Bangladesh,1,Public Holiday
2020-04-19,Bulgaria,1,Easter Sunday
2020-04-19,Egypt,1,Coptic Easter Sunday
2020-04-19,Eritrea,1,Coptic Easter
2020-04-19,Eswatini,1,Birthday of King Mswati III
2020-04-19,Ethiopia,1,Ethiopian Easter Sunday
2020-04-19,Georgia,1,Orthodox Easter Sunday
2020-04-19,Jordan,1,Public Holiday
2020-04-19,Kosovo,1,Orthodox Easter Day
2020-04-19,Kuwait,1,Public Holiday
2020-04-19,Moldova,1,Orthodox Easter Sunday
2020-04-19,Romania,1,Orthodox Easter Day
2020-04-19,Russia,1,Non-Working Day (COVID-19)
2020-04-19,Serbia,1,Easter Day
2020-04-19,Sudan,1,Coptic Easter
2020-04-19,Syria,1,Orthodox Easter Day
2020-04-19,Ukraine,1,Orthodox Easter Day
2020-04-19,Venezuela,1,Declaration of Independence
