tDate,Country,Number,HolidayName
2023-01-01,Australia,1,New Year`s Day
2023-01-01,Austria,1,New Year`s Day
2023-01-01,Belgium,1,New Year`s Day
2023-01-01,Canada,1,New Year`s Day
2023-01-01,Chile,1,New Year`s Day
2023-01-01,China,1,New Year`s Day
2023-01-01,Colombia,1,New Year`s Day
2023-01-01,Costa Rica,1,New Year`s Day
2023-01-01,Czechia,1,New Year`s Day
2023-01-01,Czechia,2,Restoration of the Czech Independence Day
2023-01-01,Denmark,1,New Year`s Day
2023-01-01,Estonia,1,New Year`s Day
2023-01-01,Finland,1,New Year`s Day
2023-01-01,France,1,New Year`s Day
2023-01-01,Germany,1,New Year`s Day
2023-01-01,Greece,1,New Year`s Day
2023-01-01,Hungary,1,New Year`s Day
2023-01-01,Iceland,1,New Year`s Day
2023-01-01,Ireland,1,New Year`s Day
2023-01-01,Italy,1,New Year`s Day
2023-01-01,Japan,1,New Year`s Day
2023-01-01,Latvia,1,New Year`s Day
2023-01-01,Lithuania,1,New Year`s Day
2023-01-01,Luxembourg,1,New Year`s Day
2023-01-01,Mexico,1,New Year`s Day
2023-01-01,Netherlands,1,New Year`s Day
2023-01-01,New Zealand,1,New Year`s Day
2023-01-01,Norway,1,New Year`s Day
2023-01-01,Poland,1,New Year`s Day
2023-01-01,Portugal,1,New Year`s Day
2023-01-01,Slovakia,1,Republic Day
2023-01-01,Slovenia,1,New Year`s Day
2023-01-01,South Korea,1,New Year`s Day
2023-01-01,Spain,1,New Year`s Day
2023-01-01,Sweden,1,New Year`s Day
2023-01-01,Taiwan,1,Republic Day/New Year`s Day
2023-01-01,Turkey,1,New Year`s Day
2023-01-01,United Kingdom,1,New Year`s Day
2023-01-01,United States,1,New Year`s Day
