 tDate,Country,Number,HolidayName
2020-06-01,Andorra,1,Whit Monday
2020-06-01,Anguilla,1,Whit Monday
2020-06-01,Antigua and Barbuda,1,Whit Monday
2020-06-01,Austria,1,Whit Monday
2020-06-01,Barbados,1,Whit Monday
2020-06-01,Belgium,1,Whit Monday
2020-06-01,Benin,1,Whit Monday
2020-06-01,British Virgin Islands,1,Whit Monday
2020-06-01,Brunei,1,Royal Brunei Armed Forces Day observed
2020-06-01,Cabo Verde,1,Children`s Day
2020-06-01,Central African Republic,1,Whit Monday
2020-06-01,Congo,1,Whit Monday
2020-06-01,Cook Islands,1,Queen`s Birthday
2020-06-01,Cote d`Ivoire,1,Whit Monday
2020-06-01,Denmark,1,Whit Monday
2020-06-01,Dominica,1,Whit Monday
2020-06-01,Faroe Islands,1,Whit Monday
2020-06-01,France,1,Whit Monday
2020-06-01,French Guiana,1,Whit Monday
2020-06-01,French Polynesia,1,Whit Monday
2020-06-01,Gabon,1,Whit Monday
2020-06-01,Germany,1,Whit Monday
2020-06-01,Greenland,1,Whit Monday
2020-06-01,Grenada,1,Whit Monday
2020-06-01,Hungary,1,Whit Monday
2020-06-01,Iceland,1,Whit Monday
2020-06-01,Indonesia,1,Pancasila Day
2020-06-01,Ireland,1,June Bank Holiday
2020-06-01,Kenya,1,Madaraka Day
2020-06-01,Liechtenstein,1,Whit Monday
2020-06-01,Luxembourg,1,Whit Monday
2020-06-01,Madagascar,1,Whit Monday
2020-06-01,Martinique,1,Whit Monday
2020-06-01,Monaco,1,Whit Monday
2020-06-01,Mongolia,1,Children`s Day
2020-06-01,Montserrat,1,Whit Monday
2020-06-01,Netherlands,1,Whit Monday
2020-06-01,New Caledonia,1,Whit Monday
2020-06-01,New Zealand,1,Queen`s Birthday
2020-06-01,Norway,1,Whit Monday
2020-06-01,Palau,1,President`s Day
2020-06-01,Reunion,1,Whit Monday
2020-06-01,Romania,1,Children`s Day
2020-06-01,Saint Helena,1,Whit Monday
2020-06-01,Saint Kitts and Nevis,1,Whit Monday
2020-06-01,Saint Lucia,1,Whit Monday
2020-06-01,Saint Martin,1,Whit Monday
2020-06-01,Saint Pierre and Miquelon,1,Whit Monday
2020-06-01,Saint Vincent and the Grenadines,1,Whit Monday
2020-06-01,Samoa,1,Independence Day
2020-06-01,Senegal,1,Whit Monday
2020-06-01,Solomon Islands,1,Whit Monday
2020-06-01,St. Barts,1,Whit Monday
2020-06-01,The Bahamas,1,Whit Monday
2020-06-01,Togo,1,Whit Monday
2020-06-01,Wallis and Futuna,1,Whit Monday
