tDate,Country,Number,HolidayName
2022-07-30,Algeria,1,Muharram
2022-07-30,Bahrain,1,Muharram
2022-07-30,Brunei,1,Muharram/Islamic New Year
2022-07-30,Comoros,1,Muharram
2022-07-30,Djibouti,1,Muharram
2022-07-30,Egypt,1,Muharram
2022-07-30,Indonesia,1,Muharram / Islamic New Year
2022-07-30,Iraq,1,Islamic New Year
2022-07-30,Jordan,1,Muharram/New Year
2022-07-30,Kuwait,1,Islamic New Year
2022-07-30,Lebanon,1,Muharram
2022-07-30,Malaysia,1,Muharram/New Year
2022-07-30,Maldives,1,Muharram/Islamic New Year
2022-07-30,Mauritania,1,Muharram/Islamic New Year
2022-07-30,Morocco,1,Feast of the Throne
2022-07-30,Morocco,2,Hijra New Year
2022-07-30,Niger,1,Muharram
2022-07-30,Oman,1,Muharram
2022-07-30,South Sudan,1,Martyrs Day
2022-07-30,Sudan,1,Muharram
2022-07-30,Syria,1,Muharram
2022-07-30,Tunisia,1,Muharram
2022-07-30,United Arab Emirates,1,Al-Hijra (Islamic New Year)
2022-07-30,Vanuatu,1,Independence Day
2022-07-30,Yemen,1,Muharram
