tDate,Country,Number,HolidayName
2023-04-09,Belgium,1,Easter Sunday
2023-04-09,Denmark,1,Easter Sunday
2023-04-09,Estonia,1,Easter Sunday
2023-04-09,Hungary,1,Easter Sunday
2023-04-09,Iceland,1,Easter Sunday
2023-04-09,Italy,1,Easter Sunday
2023-04-09,Latvia,1,Easter Sunday
2023-04-09,Lithuania,1,Easter Sunday
2023-04-09,Netherlands,1,Easter Sunday
2023-04-09,Norway,1,Easter Sunday
2023-04-09,Poland,1,Easter Sunday
2023-04-09,Portugal,1,Easter Sunday
2023-04-09,Slovenia,1,Easter Sunday
2023-04-09,Sweden,1,Easter Sunday
