 tDate,Country,Number,HolidayName
2021-02-16,Angola,1,Carnival
2021-02-16,Argentina,1,Carnival / Shrove Tuesday
2021-02-16,Bolivia,1,Carnival / Shrove Tuesday
2021-02-16,Brazil,1,Carnival Tuesday
2021-02-16,China,1,Spring Festival Golden Week holiday
2021-02-16,Dominica,1,Carnival Tuesday
2021-02-16,Ecuador,1,Carnival
2021-02-16,French Guiana,1,Carnival / Shrove Tuesday
2021-02-16,Haiti,1,Carnival/Shrove Tuesday
2021-02-16,Lithuania,1,Independence Restoration Day
2021-02-16,North Korea,1,Birth date of Kim Jong Il
2021-02-16,Panama,1,Carnival / Shrove Tuesday
2021-02-16,Serbia,1,Statehood Day of the Republic of Serbia (Day 2)
2021-02-16,Taiwan,1,Chinese New Year Holiday
2021-02-16,Uganda,1,Remembrance of Archbishop Janani Luwum
2021-02-16,Venezuela,1,Carnival / Shrove Tuesday
2021-02-16,Vietnam,1,Tet holiday
