 tDate,Country,Number,HolidayName
2021-12-27,Albania,1,Day off for Christmas Day
2021-12-27,Anguilla,1,Day off for Christmas Day
2021-12-27,Antigua and Barbuda,1,Christmas Day observed
2021-12-27,Barbados,1,Day off for Boxing Day
2021-12-27,Bermuda,1,Christmas/Boxing Day Holiday
2021-12-27,Botswana,1,Day off for Boxing Day
2021-12-27,British Virgin Islands,1,Day off for Christmas Day
2021-12-27,Bulgaria,1,Christmas holiday
2021-12-27,Cayman Islands,1,Day off for Christmas Day
2021-12-27,Cook Islands,1,Christmas Day observed
2021-12-27,Dominica,1,Day off for Boxing Day
2021-12-27,Eswatini,1,Day off for Boxing Day
2021-12-27,Falkland Islands,1,Day off for Christmas Day
2021-12-27,Falkland Islands,2,Christmas Holiday
2021-12-27,Fiji,1,Day off for Christmas Day
2021-12-27,Ghana,1,Day off for Christmas Day
2021-12-27,Gibraltar,1,Day off for Christmas Day
2021-12-27,Guernsey,1,Bank Holiday
2021-12-27,Guyana,1,Day off for Boxing Day
2021-12-27,Hong Kong,1,First Weekday After Christmas Day
2021-12-27,Indonesia,1,Boxing Day
2021-12-27,Isle of Man,1,Day off for Christmas Day
2021-12-27,Jamaica,1,Day off for Boxing Day
2021-12-27,Jersey,1,Day off for Christmas Day
2021-12-27,Kenya,1,Day off for Boxing Day
2021-12-27,Kiribati,1,Day off for Boxing Day
2021-12-27,Kosovo,1,Day off for Christmas Day
2021-12-27,Malawi,1,Day off for Christmas Day
2021-12-27,Montserrat,1,Christmas Day observed
2021-12-27,Namibia,1,Family Day observed
2021-12-27,Nauru,1,Christmas Day observed
2021-12-27,New Zealand,1,Day off for Christmas Day
2021-12-27,North Korea,1,Constitution Day
2021-12-27,Rwanda,1,Christmas Day observed
2021-12-27,Rwanda,2,Boxing Day observed
2021-12-27,Saint Helena,1,Day off for Boxing Day
2021-12-27,Saint Vincent and the Grenadines,1,Day off for Boxing Day
2021-12-27,Samoa,1,Day off for Boxing Day
2021-12-27,Sierra Leone,1,Day off for Boxing Day
2021-12-27,South Africa,1,Day of Goodwill observed
2021-12-27,The Bahamas,1,Day off for Boxing Day
2021-12-27,Tonga,1,Day off for Boxing Day
2021-12-27,Trinidad and Tobago,1,Boxing Day observed
2021-12-27,Turks and Caicos Islands,1,Day off for Christmas Day
2021-12-27,Tuvalu,1,Day off for Christmas Day
2021-12-27,United Kingdom,1,Substitute Bank Holiday for Christmas Day
2021-12-27,Vanuatu,1,Day off for Family Day
2021-12-27,Zimbabwe,1,Boxing Day observed
