 tDate,Country,Number,HolidayName
2020-01-25,Aruba,1,Betico Croes` Birthday
2020-01-25,Bhutan,1,Traditional Day of Offerings
2020-01-25,Brunei,1,Chinese New Year
2020-01-25,China,1,Chinese New Year
2020-01-25,Egypt,1,Revolution Day January 25
2020-01-25,Hong Kong,1,Chinese Lunar New Year`s Day
2020-01-25,Indonesia,1,Chinese Lunar New Year`s Day
2020-01-25,Macau,1,Lunar New Year (First Day)
2020-01-25,Malaysia,1,Chinese Lunar New Year`s Day
2020-01-25,Mauritius,1,Chinese Spring Festival
2020-01-25,Mongolia,1,Lunar New Year`s Day
2020-01-25,North Korea,1,Seollal
2020-01-25,Philippines,1,Chinese Lunar New Year`s Day
2020-01-25,Singapore,1,Chinese Lunar New Year`s Day
2020-01-25,South Korea,1,Seollal
2020-01-25,Suriname,1,Chinese New Year
2020-01-25,Taiwan,1,Chinese New Year`s Day
2020-01-25,Vietnam,1,Vietnamese New Year
